year,tile_y,tile_x,tile_id,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center,n,mean_o3,std_o3,min_o3,max_o3,sum_o3,sumsq_o3
2022,0,0,0,-3.0,-0.5,121.0,123.5,-1.75,122.25,486900,249.8485,4.682957,231.64465,283.987,121651234.70969,30405056265.984573
2022,0,1,1,-3.0,-0.5,123.5,126.0,-1.75,124.75,502427,248.994575,4.633051,229.92804,280.18945,125101597.25234,31160403673.83137
2022,0,2,2,-3.0,-0.5,126.0,128.5,-1.75,127.25,504670,248.880607,5.015856,228.28017,278.97327,125602575.69658,31272742094.997288
2022,0,3,3,-3.0,-0.5,128.5,131.0,-1.75,129.75,511715,248.599903,4.976337,229.58168,279.49332,127212299.1893,31637637245.414223
2022,1,0,4,-0.5,2.0,121.0,123.5,0.75,122.25,514391,252.201344,4.612415,228.46071,283.37845,129730101.28919,32729049162.86247
2022,1,1,5,-0.5,2.0,123.5,126.0,0.75,124.75,516448,252.171542,4.361154,235.38686,279.76675,130233488.39576,32851002205.206017
2022,1,2,6,-0.5,2.0,126.0,128.5,0.75,127.25,513420,252.277925,4.745808,234.39221,288.2949,129524532.39269,32687743883.641953
2022,1,3,7,-0.5,2.0,128.5,131.0,0.75,129.75,514674,251.944135,5.161212,234.19891,285.3525,129669095.60669,32683078010.052696
2023,0,0,0,-3.0,-0.5,121.0,123.5,-1.75,122.25,523954,249.205059,4.656842,232.30548,369.47083,130571987.56383,32550562422.475246
2023,0,1,1,-3.0,-0.5,123.5,126.0,-1.75,124.75,548352,247.551782,4.31382,232.56717,359.9064,135745514.80033,33614248383.980007
2023,0,2,2,-3.0,-0.5,126.0,128.5,-1.75,127.25,548022,246.963647,4.364198,230.28685,305.30795,135341511.83365,33434871104.367134
2023,0,3,3,-3.0,-0.5,128.5,131.0,-1.75,129.75,540376,247.117235,4.74395,227.7959,370.40955,133536223.10441,33011263430.464237
2023,1,0,4,-0.5,2.0,121.0,123.5,0.75,122.25,538174,251.70406,4.695153,236.79149,317.1459,135460580.80697,34107841897.239334
2023,1,1,5,-0.5,2.0,123.5,126.0,0.75,124.75,545226,251.869763,4.598346,228.56679,366.6901,137325943.2373,34599781402.76127
2023,1,2,6,-0.5,2.0,126.0,128.5,0.75,127.25,549157,251.61767,4.477597,234.76964,366.21384,138177604.70064,34778936873.17434
2023,1,3,7,-0.5,2.0,128.5,131.0,0.75,129.75,543231,251.451131,4.754031,227.72722,361.89697,136596049.24907,34359508490.506683
2024,0,0,0,-3.0,-0.5,121.0,123.5,-1.75,122.25,504912,257.614968,4.264714,240.8999,360.08572,130072888.87033,33517906353.45103
2024,0,1,1,-3.0,-0.5,123.5,126.0,-1.75,124.75,543315,256.086526,4.379456,242.3113,386.17603,139135650.99076,35641186099.448364
2024,0,2,2,-3.0,-0.5,126.0,128.5,-1.75,127.25,545252,256.420241,4.873559,215.67892,389.50128,139813649.35313,35864000258.867584
2024,0,3,3,-3.0,-0.5,128.5,131.0,-1.75,129.75,545920,256.143996,4.886551,241.5094,361.50195,139834130.17345,35830708509.81572
2024,1,0,4,-0.5,2.0,121.0,123.5,0.75,122.25,536147,258.808478,4.709556,243.09547,331.0282,138759388.82038,35923997844.89132
2024,1,1,5,-0.5,2.0,123.5,126.0,0.75,124.75,541372,258.926133,4.389766,245.39148,308.99976,140175358.68994,36305495866.41698
2024,1,2,6,-0.5,2.0,126.0,128.5,0.75,127.25,542926,259.574621,4.92148,241.45685,551.7152,140929810.6264,36594952335.59221
2024,1,3,7,-0.5,2.0,128.5,131.0,0.75,129.75,541851,259.527857,5.130207,242.40683,374.94995,140625428.81759,36510477138.24908
2025,0,0,0,-3.0,-0.5,121.0,123.5,-1.75,122.25,522777,240.513501,4.864594,223.8392,268.46683,125734926.63122,30253318546.795547
2025,0,1,1,-3.0,-0.5,123.5,126.0,-1.75,124.75,548057,239.544845,4.482091,225.08693,270.1051,131284229.02507,31459470244.104652
2025,0,2,2,-3.0,-0.5,126.0,128.5,-1.75,127.25,542853,239.923148,4.868429,223.28207,271.74445,130243000.7938,31261177250.524986
2025,0,3,3,-3.0,-0.5,128.5,131.0,-1.75,129.75,533123,240.267619,4.905165,221.06622,273.88354,128092193.73374,30789233631.068165
2025,1,0,4,-0.5,2.0,121.0,123.5,0.75,122.25,535867,242.246422,5.032419,226.2678,273.1476,129811863.52635,31460030433.334015
2025,1,1,5,-0.5,2.0,123.5,126.0,0.75,124.75,549519,242.273329,4.936618,226.95776,271.195,133133797.46372,32268160174.054028
2025,1,2,6,-0.5,2.0,126.0,128.5,0.75,127.25,551844,243.115501,5.097475,224.67064,274.8509,134161830.43376,32631159822.522293
2025,1,3,7,-0.5,2.0,128.5,131.0,0.75,129.75,536008,243.448315,4.961862,225.24316,274.79895,130490244.34099,31780826619.23721
