tile_y,tile_x,tile_id,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget,mean_ratio_to_global,median_ratio_to_global,mean_tile_n,tile_center_x,tile_center_y,tile_center_lon,tile_center_lat,tile_x_min,tile_x_max,tile_y_min,tile_y_max,tile_lon_min,tile_lon_max,tile_lat_min,tile_lat_max,dist_to_nadir_deg,dist_to_nadir_km
0,0,0,31,248,0.7672,0.2754,0.8957,3261.0498,1.9875,581.0242,123.6922,15.6495,123.6922,15.6495,123.0130,124.3714,15.0280,16.2710,123.0130,124.3714,15.0280,16.2710,4.6811,520.5598
0,1,1,31,248,0.5289,0.3316,0.5279,6921.5255,1.5277,590.9315,125.0507,15.6495,125.0507,15.6495,124.3714,125.7299,15.0280,16.2710,124.3714,125.7299,15.0280,16.2710,3.5437,393.7440
0,2,2,31,248,0.5237,0.3788,0.5185,11705.1927,0.6198,581.3468,126.4091,15.6495,126.4091,15.6495,125.7299,127.0883,15.0280,16.2710,125.7299,127.0883,15.0280,16.2710,2.6559,294.6548
0,3,3,31,243,0.6322,0.3792,0.6494,5625.4061,1.1468,561.1989,127.7572,15.6495,127.7572,15.6495,127.0795,128.4350,15.0280,16.2710,127.0795,128.4350,15.0280,16.2710,2.3163,256.7399
0,4,4,31,247,0.4496,0.3009,0.5395,13230.3196,0.9682,572.8848,129.1302,15.6495,129.1302,15.6495,128.4505,129.8099,15.0280,16.2710,128.4505,129.8099,15.0280,16.2710,2.4694,273.7154
0,5,5,31,246,0.6446,0.3968,0.6609,12878.8659,1.8957,570.1613,130.4948,15.6495,130.4948,15.6495,129.8146,131.1750,15.0280,16.2710,129.8146,131.1750,15.0280,16.2710,3.1040,344.5133
0,6,6,31,245,0.7974,0.5428,0.7567,36114.3276,1.7513,584.3082,131.8613,15.6495,131.8613,15.6495,131.1807,132.5420,15.0280,16.2710,131.1807,132.5420,15.0280,16.2710,4.0825,453.6889
0,7,7,31,248,0.6595,0.6205,0.5657,21239.5979,5.7886,513.1815,133.2013,15.6495,133.2013,15.6495,132.5221,133.8805,15.0280,16.2710,132.5221,133.8805,15.0280,16.2710,5.1959,577.8095
1,0,8,31,245,1.2722,1.2126,1.0900,22647.3645,2.2972,552.0185,123.6937,16.8925,123.6937,16.8925,123.0130,124.3743,16.2710,17.5140,123.0130,124.3743,16.2710,17.5140,4.3406,483.1326
1,1,9,31,245,0.8721,0.7080,0.7427,20967.9635,2.2204,570.1653,125.0549,16.8925,125.0549,16.8925,124.3743,125.7356,16.2710,17.5140,124.3743,125.7356,16.2710,17.5140,3.0633,340.9111
1,2,10,31,247,0.7879,0.7611,0.7314,19385.5224,2.4967,555.4286,126.4114,16.8925,126.4114,16.8925,125.7318,127.0912,16.2710,17.5140,125.7318,127.0912,16.2710,17.5140,1.9087,212.2765
1,3,11,31,248,0.8415,0.5032,1.0017,2260.5707,1.2064,549.6774,127.7675,16.8925,127.7675,16.8925,127.0883,128.4467,16.2710,17.5140,127.0883,128.4467,16.2710,17.5140,1.5070,167.5739
1,4,12,31,245,0.7111,0.4406,0.7339,11713.4512,1.2756,551.0903,129.1388,16.8925,129.1388,16.8925,128.4581,129.8194,16.2710,17.5140,128.4581,129.8194,16.2710,17.5140,1.4582,161.9718
1,5,13,31,248,0.6646,0.5078,0.6595,14173.5815,2.2577,552.5847,130.4844,16.8925,130.4844,16.8925,129.8052,131.1637,16.2710,17.5140,129.8052,131.1637,16.2710,17.5140,2.3193,257.9871
1,6,14,31,246,0.7460,0.5617,0.6669,39118.3144,1.8144,567.0605,131.8551,16.8925,131.8551,16.8925,131.1750,132.5353,16.2710,17.5140,131.1750,132.5353,16.2710,17.5140,3.5585,396.0272
1,7,15,31,246,0.8756,0.7412,0.6396,60043.7182,10.3913,515.0269,133.2154,16.8925,133.2154,16.8925,132.5353,133.8956,16.2710,17.5140,132.5353,133.8956,16.2710,17.5140,4.8322,537.8445
2,0,16,31,245,1.0903,0.9571,1.0196,52227.3734,2.3400,545.5000,123.6937,18.1355,123.6937,18.1355,123.0130,124.3743,17.5140,18.7570,123.0130,124.3743,17.5140,18.7570,4.3446,483.5737
2,1,17,31,244,0.8345,0.7805,0.6438,39979.0801,1.6172,563.8992,125.0564,18.1355,125.0564,18.1355,124.3752,125.7375,17.5140,18.7570,124.3752,125.7375,17.5140,18.7570,3.0679,341.4135
2,2,18,31,246,0.6340,0.4001,0.5157,16792.6589,2.1627,550.1089,126.4138,18.1355,126.4138,18.1355,125.7337,127.0940,17.5140,18.7570,125.7337,127.0940,17.5140,18.7570,1.9195,213.4675
2,3,19,31,246,0.6451,0.3817,0.6834,8570.1904,1.1963,555.1788,127.7741,18.1355,127.7741,18.1355,127.0940,128.4543,17.5140,18.7570,127.0940,128.4543,17.5140,18.7570,1.5203,169.0347
2,4,20,31,242,1.0375,0.6801,1.1235,32843.5839,2.3012,546.0287,129.1346,18.1355,129.1346,18.1355,128.4544,129.8148,17.5140,18.7570,128.4544,129.8148,17.5140,18.7570,1.4766,164.0056
2,5,21,31,245,0.8183,0.5817,0.7485,22785.2696,4.3395,558.4000,130.5001,18.1355,130.5001,18.1355,129.8194,131.1807,17.5140,18.7570,129.8194,131.1807,17.5140,18.7570,2.3459,260.9385
2,6,22,31,246,0.8226,0.6664,0.9557,52040.8628,28.1601,556.1745,131.8551,18.1355,131.8551,18.1355,131.1750,132.5353,17.5140,18.7570,131.1750,132.5353,17.5140,18.7570,3.5652,396.7632
2,7,23,31,244,0.8119,0.5870,0.7124,81869.5282,1637.3562,524.8065,133.2298,18.1355,133.2298,18.1355,132.5487,133.9110,17.5140,18.7570,132.5487,133.9110,17.5140,18.7570,4.8504,539.8646
3,0,24,31,248,0.4453,0.2188,0.6018,9193.7977,0.5908,563.5202,123.6922,19.3785,123.6922,19.3785,123.0130,124.3714,18.7570,20.0000,123.0130,124.3714,18.7570,20.0000,4.6923,521.7863
3,1,25,31,246,0.6338,0.4714,0.6288,26431.0033,1.0753,573.3844,125.0535,19.3785,125.0535,19.3785,124.3733,125.7337,18.7570,20.0000,124.3733,125.7337,18.7570,20.0000,3.5565,395.1515
3,2,26,31,247,0.6637,0.4184,0.7265,15449.6153,0.7059,562.6204,126.4114,19.3785,126.4114,19.3785,125.7318,127.0912,18.7570,20.0000,125.7318,127.0912,18.7570,20.0000,2.6751,296.7793
3,3,27,31,247,0.5609,0.3034,0.5888,3510.2272,1.0219,567.8744,127.7708,19.3785,127.7708,19.3785,127.0912,128.4505,18.7570,20.0000,127.0912,128.4505,18.7570,20.0000,2.3409,259.4534
