tile_y,tile_x,tile_id,tile_center_lat,tile_center_lon,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,dist_to_nadir_deg,dist_to_nadir_km,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget
0,0,0,15.6495,123.8094,15.0280,16.2710,123.0130,124.6059,4.5789,509.1684,31,247,0.2919,0.0406,0.4893
0,1,1,15.6495,125.4051,15.0280,16.2710,124.6078,126.2025,3.2680,362.9919,31,246,0.3220,0.1433,0.4810
0,2,2,15.6495,127.0192,15.0280,16.2710,126.2180,127.8205,2.3778,263.5697,31,242,0.3452,0.1667,0.4445
0,3,3,15.6495,128.6081,15.0280,16.2710,127.8088,129.4074,2.4425,270.8433,31,244,0.2394,0.0942,0.2853
0,4,4,15.6495,130.1980,15.0280,16.2710,129.3997,130.9963,3.0946,343.5024,31,245,0.1872,0.1434,0.2242
0,5,5,15.6495,131.7737,15.0280,16.2710,130.9773,132.5702,4.1147,457.2307,31,247,0.3127,0.1920,0.3899
0,6,6,15.6495,133.3665,15.0280,16.2710,132.5702,134.1630,5.3941,599.8472,31,247,0.3424,0.1329,0.5137
0,7,7,15.6495,134.9594,15.0280,16.2710,134.1630,135.7558,6.7884,755.2005,31,247,0.2480,0.0741,0.3644
1,0,8,16.8925,123.8094,16.2710,17.5140,123.0130,124.6059,4.2313,470.9660,31,247,0.3474,0.0806,0.6426
1,1,9,16.8925,125.4080,16.2710,17.5140,124.6097,126.2064,2.7355,304.4104,31,245,0.3306,0.2182,0.3951
1,2,10,16.8925,126.9999,16.2710,17.5140,126.2025,127.7973,1.4752,163.9392,31,246,0.3720,0.2178,0.4660
1,3,11,16.8925,128.6013,16.2710,17.5140,127.8030,129.3997,1.6857,187.4818,31,245,0.5402,0.3885,0.5107
1,4,12,16.8925,130.1980,16.2710,17.5140,129.3997,130.9963,2.2939,255.1018,31,245,0.4511,0.2543,0.4797
1,5,13,16.8925,131.7737,16.2710,17.5140,130.9773,132.5702,3.5124,390.8479,31,247,0.4527,0.3048,0.4243
1,6,14,16.8925,133.3789,16.2710,17.5140,132.5815,134.1763,4.9954,555.9992,31,246,0.4498,0.2878,0.4248
1,7,15,16.8925,134.9594,16.2710,17.5140,134.1630,135.7558,6.4854,721.9029,31,247,0.2942,0.1559,0.3385
2,0,16,18.1355,123.8094,17.5140,18.7570,123.0130,124.6059,4.2355,471.4188,31,247,0.3559,0.2420,0.4030
2,1,17,18.1355,125.3936,17.5140,18.7570,124.6001,126.1872,2.7556,306.6347,31,244,0.4067,0.2360,0.3969
2,2,18,18.1355,126.9951,17.5140,18.7570,126.1987,127.7916,1.4964,166.2833,31,245,0.5414,0.4758,0.4973
2,3,19,18.1355,128.5880,17.5140,18.7570,127.7916,129.3844,1.6936,188.3485,31,247,0.6366,0.5489,0.5939
2,4,20,18.1355,130.1720,17.5140,18.7570,129.3765,130.9674,2.2894,254.5814,31,242,0.5099,0.3466,0.6209
2,5,21,18.1355,131.7737,17.5140,18.7570,130.9773,132.5702,3.5215,391.8499,31,247,0.4273,0.3056,0.4293
2,6,22,18.1355,133.3665,17.5140,18.7570,132.5702,134.1630,4.9889,555.2769,31,247,0.4226,0.2986,0.4612
2,7,23,18.1355,134.9887,17.5140,18.7570,134.1904,135.7871,6.5168,725.3939,31,241,0.3940,0.2492,0.4626
3,0,24,19.3785,123.8094,18.7570,20.0000,123.0130,124.6059,4.5903,510.4230,31,247,0.5692,0.2324,0.7438
3,1,25,19.3785,125.3994,18.7570,20.0000,124.6039,126.1948,3.2889,365.2939,31,244,0.5218,0.1152,0.7164
3,2,26,19.3785,126.9999,18.7570,20.0000,126.2025,127.7973,2.4096,267.0883,31,244,0.4609,0.1982,0.5926
3,3,27,19.3785,128.5608,18.7570,20.0000,127.7683,129.3533,2.4570,272.4358,31,243,0.4981,0.2513,0.6923
3,4,28,19.3785,130.1981,18.7570,20.0000,129.3998,130.9965,3.1146,345.7169,31,241,0.4635,0.1283,0.6982
3,5,29,19.3785,131.8605,18.7570,20.0000,131.0561,132.6648,4.1997,466.6867,31,237,0.4721,0.2635,0.5218
3,6,30,19.3785,133.4169,18.7570,20.0000,132.6166,134.2172,5.4505,606.1199,31,243,0.3839,0.1642,0.4650
3,7,31,19.3785,135.0029,18.7570,20.0000,134.2036,135.8023,6.8376,760.6629,31,244,0.5176,0.2282,0.5809
