day,day_idx,repeat,fft_s,seed_lat,seed_lon
2024-07-01,0,0,0.0254785420,-0.0440000000,-0.2520000000
2024-07-01,0,1,0.0225861670,-0.0440000000,-0.2520000000
2024-07-01,0,2,0.0232181670,-0.0440000000,-0.2520000000
2024-07-01,0,3,0.0218279160,-0.0440000000,-0.2520000000
2024-07-01,0,4,0.0220007910,-0.0440000000,-0.2520000000
2024-07-02,1,0,0.0272757920,-0.0440000000,-0.2520000000
2024-07-02,1,1,0.0291212920,-0.0440000000,-0.2520000000
2024-07-02,1,2,0.0290115000,-0.0440000000,-0.2520000000
2024-07-02,1,3,0.0270052500,-0.0440000000,-0.2520000000
2024-07-02,1,4,0.0268491250,-0.0440000000,-0.2520000000
2024-07-03,2,0,0.0230540840,-0.0880000000,-0.2520000000
2024-07-03,2,1,0.0214225420,-0.0880000000,-0.2520000000
2024-07-03,2,2,0.0216085410,-0.0880000000,-0.2520000000
2024-07-03,2,3,0.0220087080,-0.0880000000,-0.2520000000
2024-07-03,2,4,0.0272697080,-0.0880000000,-0.2520000000
2024-07-04,3,0,0.0195798750,0.0000000000,-0.1260000000
2024-07-04,3,1,0.0284755830,0.0000000000,-0.1260000000
2024-07-04,3,2,0.0270301250,0.0000000000,-0.1260000000
2024-07-04,3,3,0.0268162920,0.0000000000,-0.1260000000
2024-07-04,3,4,0.0266252080,0.0000000000,-0.1260000000
2024-07-05,4,0,0.0219652910,0.0440000000,-0.2520000000
2024-07-05,4,1,0.0254459170,0.0440000000,-0.2520000000
2024-07-05,4,2,0.0252712080,0.0440000000,-0.2520000000
2024-07-05,4,3,0.0253018330,0.0440000000,-0.2520000000
2024-07-05,4,4,0.0252191250,0.0440000000,-0.2520000000
