data_type,day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,coords,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.300000,raw,1.094147,0.571688,0.123239,3.255959,0.039944,81.513019,25.035024,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget_free,0.300000,raw,1.132937,0.385679,0.168505,1.280430,0.137888,9.285990,7.252241,1.958929
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.300000,raw,0.997450,0.354635,0.109425,2.059029,0.025017,82.304033,39.972246,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget_free,0.300000,raw,0.837923,0.441518,0.153790,0.205856,9.345062,0.022028,0.107008,1.847656
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.300000,raw,1.024448,0.335490,0.121501,2.666846,0.042017,63.470231,23.799738,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget_free,0.300000,raw,0.926500,0.504662,0.126925,2.666942,0.042021,63.467084,23.797701,0.000002
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.300000,raw,1.207600,0.351460,0.158815,11.417449,0.289313,39.464007,3.456465,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget_free,0.300000,raw,1.229438,0.377296,0.156488,11.259061,0.421815,26.691930,2.370707,0.675088
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.300000,raw,1.089078,0.346613,0.124850,3.509918,0.050698,69.231814,19.724624,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget_free,0.300000,raw,1.031722,0.396982,0.156358,2.030174,0.123385,16.453927,8.104689,1.530306
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.300000,raw,1.084161,0.349665,0.100137,2.819533,0.027654,101.956735,36.160861,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget_free,0.300000,raw,0.993724,0.448949,0.146096,0.719108,0.121564,5.915486,8.226149,2.110500
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.300000,raw,1.021094,0.341136,0.128626,2.760885,0.047724,57.851522,20.953978,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget_free,0.300000,raw,0.903818,0.377642,0.157161,0.952631,0.704334,1.352527,1.419781,1.832264
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.300000,raw,1.071222,0.333890,0.151687,4.696246,0.107397,43.727929,9.311252,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget_free,0.300000,raw,1.118872,0.347503,0.152421,3.805323,0.201829,18.854212,4.954694,0.980184
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.300000,raw,1.077540,0.387408,0.101336,2.690358,0.024369,110.401661,41.036048,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget_free,0.300000,raw,0.971269,0.388550,0.155224,0.560557,0.143348,3.910462,6.976031,2.122300
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.300000,raw,1.130331,0.339245,0.107895,3.370232,0.032039,105.193154,31.212436,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget_free,0.300000,raw,1.065024,0.374878,0.155364,1.003916,0.146383,6.858150,6.831398,2.356931
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.300000,raw,1.121888,0.371867,0.104409,3.664334,0.029649,123.589245,33.727614,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget_free,0.300000,raw,1.195022,0.377350,0.148748,1.109427,0.112428,9.867921,8.894610,2.552898
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.300000,raw,1.309335,0.336031,0.122700,5.866135,0.053290,110.080212,18.765375,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget_free,0.300000,raw,1.284977,0.461739,0.126319,5.472451,0.058154,94.102905,17.195751,0.403980
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.300000,raw,0.905185,0.346877,0.114817,1.463101,0.035488,41.228454,28.178807,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget_free,0.300000,raw,0.987558,0.368944,0.159764,0.494870,0.165735,2.985901,6.033713,0.963304
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.300000,raw,1.103135,0.340546,0.161894,4.437502,0.076616,57.918687,13.052094,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget_free,0.300000,raw,1.143812,0.372218,0.170049,3.922119,0.095324,41.144977,10.490497,0.527295
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.300000,raw,1.168871,0.338138,0.127178,4.246146,0.047305,89.760192,21.139216,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget_free,0.300000,raw,1.140688,0.460006,0.128365,4.246215,0.047310,89.752199,21.136988,0.000040
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.300000,raw,1.321811,0.355825,0.126705,5.366126,0.039432,136.085646,25.360129,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget_free,0.300000,raw,1.283883,0.476079,0.126086,5.366024,0.039430,136.090925,25.361594,0.000043
