data_type,day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,coords,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget,n_obs,mean_rank,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_y2,mean_y2,max_abs_bridge_scaled,brown_bridge_pvalue_approx,brown_bridge_width
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,1.000000,raw,2.289059,0.519418,0.113100,3.237036,0.030092,107.571054,33.231339,0.000000,1143,2,1141,0.000000,1.194058,7.577626,1144.471722,1.003043,1.915655,0.001299,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,1.000000,raw,1.661402,0.354439,0.108175,2.061642,0.023302,88.475003,42.914823,0.000000,1147,2,1145,0.000000,1.395413,3.351148,1147.572471,1.002247,1.372004,0.046344,64.990514
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,1.000000,raw,1.697312,0.349957,0.115022,2.667169,0.033494,79.632388,29.856525,0.000000,1126,2,1124,0.000000,0.888734,7.445567,1129.663715,1.005039,1.015481,0.253774,64.391774
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,1.000000,raw,1.257636,0.336370,0.141249,8.799557,0.067157,131.029116,14.890422,0.000000,1133,2,1131,0.000000,0.885774,86.920379,1151.274655,1.017926,3.221010,0.000000,64.591971
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,1.000000,raw,1.050176,0.365958,0.109627,3.452155,0.034456,100.189401,29.022274,0.000000,1119,2,1117,0.000000,1.069925,9.982426,1120.306708,1.002960,1.751700,0.004323,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,1.000000,raw,2.206019,0.331344,0.095783,2.822285,0.024630,114.587435,40.600945,0.000000,1092,2,1090,0.000000,1.344941,4.941957,1092.457862,1.002255,1.106143,0.172975,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,1.000000,raw,0.945690,0.376621,0.113746,2.740659,0.032546,84.209182,30.725883,0.000000,1142,2,1140,0.000000,0.932023,7.317384,1147.780933,1.006825,2.740218,0.000001,64.848459
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,1.000000,raw,2.011787,0.325340,0.120315,4.246315,0.046184,91.942710,21.652352,0.000000,1116,2,1114,0.000000,0.861822,20.970093,1119.138916,1.004613,2.411915,0.000018,64.104693
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,1.000000,raw,2.396890,0.326382,0.099766,2.689517,0.020814,129.217151,48.044748,0.000000,1119,2,1117,0.000000,1.509523,4.109738,1119.143154,1.001919,1.318866,0.061686,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,1.000000,raw,2.563541,0.332063,0.102486,3.355699,0.025661,130.770739,38.969745,0.000000,1109,2,1107,0.000000,1.527689,6.194376,1109.323400,1.002099,1.246742,0.089307,63.902970
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,1.000000,raw,2.944405,0.304736,0.100163,3.654572,0.024729,147.785096,40.438417,0.000000,1102,2,1100,0.000000,1.732045,6.480771,1103.130205,1.002846,1.673517,0.007386,63.700608
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,1.000000,raw,1.291945,0.383348,0.111674,5.763896,0.036558,157.665878,27.354046,0.000000,1092,2,1090,0.000000,1.652710,18.655392,1094.343027,1.003984,1.105226,0.173677,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,1.000000,raw,1.133436,0.323213,0.107571,1.452771,0.026725,54.359440,37.417762,0.000000,1135,2,1133,0.000000,0.632652,2.834725,1135.402625,1.002121,1.791278,0.003266,64.649056
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,1.000000,raw,2.207409,0.304644,0.132919,4.269358,0.042356,100.796664,23.609329,0.000000,1169,2,1167,0.000000,0.928530,17.991460,1172.725310,1.004906,1.963934,0.000893,65.611907
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,1.000000,raw,2.656217,0.304239,0.113179,4.169568,0.033910,122.958623,29.489538,0.000000,1143,2,1141,0.000000,1.270690,11.992574,1143.014715,1.001766,1.320803,0.061059,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,1.000000,raw,3.346868,0.326668,0.126457,5.383446,0.033451,160.933516,29.894143,0.000000,1160,2,1158,0.000000,1.764652,15.043130,1163.641353,1.004872,0.845167,0.472691,65.358415
real,20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8 sorted thinning (~1/64),nugget0,1.000000,raw,1.299409,0.038883,0.007854,5.152491,0.164858,31.254156,6.065835,0.000000,282,2,280,0.000000,3.007346,8.116746,281.979027,1.007068,0.734180,0.653836,32.138548
real,20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4 sorted thinning (~1/16),nugget0,1.000000,raw,1.669034,0.319527,0.096812,4.554180,0.047834,95.208655,20.905775,0.000000,1128,2,1126,0.000000,2.227918,8.009079,1128.001532,1.001778,2.243006,0.000085,64.449036
