data_type,day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,coords,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,1.000000,raw,2.289059,0.519418,0.113100,3.237036,0.030092,107.571054,33.231339,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,1.000000,raw,1.661402,0.354439,0.108175,2.061642,0.023302,88.475003,42.914823,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,1.000000,raw,1.697312,0.349957,0.115022,2.667169,0.033494,79.632388,29.856525,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,1.000000,raw,1.257636,0.336370,0.141249,8.799557,0.067157,131.029116,14.890422,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,1.000000,raw,1.050176,0.365958,0.109627,3.452155,0.034456,100.189401,29.022274,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,1.000000,raw,2.206019,0.331344,0.095783,2.822285,0.024630,114.587435,40.600945,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,1.000000,raw,0.945690,0.376621,0.113746,2.740659,0.032546,84.209182,30.725883,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,1.000000,raw,2.011787,0.325340,0.120315,4.246315,0.046184,91.942710,21.652352,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,1.000000,raw,2.396890,0.326382,0.099766,2.689517,0.020814,129.217151,48.044748,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,1.000000,raw,2.563541,0.332063,0.102486,3.355699,0.025661,130.770739,38.969745,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,1.000000,raw,2.944405,0.304736,0.100163,3.654572,0.024729,147.785096,40.438417,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,1.000000,raw,1.291945,0.383348,0.111674,5.763896,0.036558,157.665878,27.354046,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,1.000000,raw,1.133436,0.323213,0.107571,1.452771,0.026725,54.359440,37.417762,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,1.000000,raw,2.207409,0.304644,0.132919,4.269358,0.042356,100.796664,23.609329,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,1.000000,raw,2.656217,0.304239,0.113179,4.169568,0.033910,122.958623,29.489538,0.000000
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,1.000000,raw,3.346868,0.326668,0.126457,5.383446,0.033451,160.933516,29.894143,0.000000
real,20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8 sorted thinning (~1/64),nugget0,1.000000,raw,1.299409,0.038883,0.007854,5.152491,0.164858,31.254156,6.065835,0.000000
real,20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4 sorted thinning (~1/16),nugget0,1.000000,raw,1.669034,0.319527,0.096812,4.554180,0.047834,95.208655,20.905775,0.000000
