data_type,day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,coords,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget,n_obs,mean_rank,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_y2,mean_y2,max_abs_bridge_scaled,brown_bridge_width
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.300000,raw,1.094147,0.840425,0.131688,3.255959,0.039944,81.513019,25.035024,0.000000,1143,2,1141,0.000000,1.616967,12.841383,1138.051301,0.997416,2.052563,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.300000,raw,0.997450,0.333947,0.107497,2.059029,0.025017,82.304033,39.972246,0.000000,1147,2,1145,0.000000,1.496619,4.074028,1146.066800,1.000932,1.269877,64.990514
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.300000,raw,1.024448,0.326242,0.121237,2.666846,0.042017,63.470231,23.799738,0.000000,1126,2,1124,0.000000,1.311005,11.557368,1124.159289,1.000142,0.733879,64.391774
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.300000,raw,1.207600,0.316165,0.156227,11.417449,0.289313,39.464007,3.456465,0.000000,1133,2,1131,0.000000,1.766271,911.797498,1132.092751,1.000966,0.985823,64.591971
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.300000,raw,1.089078,0.359437,0.126398,3.509918,0.050698,69.231814,19.724624,0.000000,1119,2,1117,0.000000,1.532827,20.536165,1115.486312,0.998645,1.384924,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.300000,raw,1.084161,0.341763,0.100596,2.819533,0.027654,101.956735,36.160861,0.000000,1092,2,1090,0.000000,1.711689,6.333445,1090.670196,1.000615,1.107840,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.300000,raw,1.021094,0.340361,0.135913,2.760885,0.047724,57.851522,20.953978,0.000000,1142,2,1140,0.000000,1.253673,14.957540,1132.818847,0.993701,3.181813,64.848459
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.300000,raw,1.071222,0.330287,0.158085,4.696246,0.107397,43.727929,9.311252,0.000000,1116,2,1114,0.000000,1.332919,100.625883,1110.272841,0.996654,1.555697,64.104693
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.300000,raw,1.077540,0.345722,0.100286,2.690358,0.024369,110.401661,41.036048,0.000000,1119,2,1117,0.000000,1.730702,5.130905,1117.409770,1.000367,1.647684,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.300000,raw,1.130331,0.341925,0.110079,3.370232,0.032039,105.193154,31.212436,0.000000,1109,2,1107,0.000000,1.898049,9.329088,1106.968439,0.999971,1.136539,63.902970
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.300000,raw,1.121888,0.360105,0.102587,3.664334,0.029649,123.589245,33.727614,0.000000,1102,2,1100,0.000000,2.146770,9.130287,1097.916252,0.998106,1.748793,63.700608
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.300000,raw,1.309335,0.328282,0.120789,5.866135,0.053290,110.080212,18.765375,0.000000,1092,2,1090,0.000000,2.494559,37.711322,1088.364091,0.998499,0.860215,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.300000,raw,0.905185,0.342387,0.114211,1.463101,0.035488,41.228454,28.178807,0.000000,1135,2,1133,0.000000,0.781608,4.797341,1132.549042,0.999602,2.026273,64.649056
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.300000,raw,1.103135,0.322519,0.159971,4.437502,0.076616,57.918687,13.052094,0.000000,1169,2,1167,0.000000,1.503220,54.432037,1167.190003,1.000163,0.976092,65.611907
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.300000,raw,1.168871,0.328262,0.128504,4.246146,0.047305,89.760192,21.139216,0.000000,1143,2,1141,0.000000,1.899130,22.220092,1143.254108,1.001976,0.871975,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.300000,raw,1.321811,0.347141,0.124435,5.366126,0.039432,136.085646,25.360129,0.000000,1160,2,1158,0.000000,2.706544,20.982197,1158.408646,1.000353,1.460095,65.358415
real,20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8 sorted thinning (~1/64),nugget0,0.300000,raw,1.383968,0.024060,0.008307,5.223207,0.228143,22.894447,4.383216,0.000000,282,2,280,0.000000,3.123116,12.049925,281.952495,1.006973,0.489590,32.138548
real,20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4 sorted thinning (~1/16),nugget0,0.300000,raw,1.277782,0.318963,0.099636,4.619491,0.074271,62.197793,13.464210,0.000000,1128,2,1126,0.000000,2.392787,10.700909,1126.971491,1.000863,1.841235,64.449036
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.500000,raw,1.126622,0.516986,0.081777,3.245450,0.034228,94.818459,29.215811,0.000000,1143,2,1141,0.000000,1.419586,9.704365,1142.293122,1.001133,2.064140,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.500000,raw,0.959928,0.310635,0.082796,2.060249,0.024012,85.800828,41.645852,0.000000,1147,2,1145,0.000000,1.444081,3.697416,1147.187112,1.001910,1.448162,64.990514
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.500000,raw,0.991021,0.310390,0.077894,2.670752,0.037512,71.198170,26.658472,0.000000,1126,2,1124,0.000000,1.111298,9.367909,1127.165468,1.002816,0.515982,64.391774
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.500000,raw,1.277747,0.297418,0.077120,9.727430,0.119721,81.250749,8.352746,0.000000,1133,2,1131,0.000000,1.315555,262.448205,1137.252537,1.005528,2.239659,64.591971
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.500000,raw,1.113207,0.366860,0.073323,3.476012,0.040954,84.874983,24.417346,0.000000,1119,2,1117,0.000000,1.314281,13.914844,1118.117752,1.001001,1.608353,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.500000,raw,1.111339,0.318993,0.071281,2.821100,0.025977,108.598846,38.495215,0.000000,1092,2,1090,0.000000,1.545837,5.586825,1092.132561,1.001956,1.233936,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.500000,raw,1.006886,0.301885,0.078960,2.744502,0.038496,71.292765,25.976578,0.000000,1142,2,1140,0.000000,1.103278,10.105039,1142.574685,1.002258,3.092691,64.848459
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.500000,raw,1.070646,0.310100,0.072907,4.455206,0.066902,66.592625,14.947147,0.000000,1116,2,1114,0.000000,1.088254,43.449156,1114.672795,1.000604,2.173795,64.104693
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.500000,raw,1.115650,0.291955,0.077394,2.689936,0.022465,119.738641,44.513573,0.000000,1119,2,1117,0.000000,1.622059,4.445719,1118.810629,1.001621,1.624827,64.190952
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.500000,raw,1.194592,0.299575,0.076524,3.360886,0.028356,118.524976,35.265993,0.000000,1109,2,1107,0.000000,1.726014,7.501773,1108.740180,1.001572,1.242306,63.902970
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.500000,raw,1.280958,0.308365,0.073573,3.659939,0.026878,136.170354,37.205635,0.000000,1102,2,1100,0.000000,1.955081,7.633970,1101.502538,1.001366,1.796489,63.700608
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.500000,raw,1.479701,0.298268,0.070359,5.819701,0.043597,133.487975,22.937255,0.000000,1092,2,1090,0.000000,2.089873,26.262056,1091.717149,1.001575,1.055163,63.410398
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.500000,raw,0.651907,0.309940,0.076421,1.456390,0.030277,48.102283,33.028446,0.000000,1135,2,1133,0.000000,0.712344,3.605087,1134.744307,1.001540,1.849410,64.649056
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.500000,raw,1.078077,0.331239,0.085112,4.360996,0.055896,78.019474,17.890286,0.000000,1169,2,1167,0.000000,1.214419,30.846810,1170.491031,1.002991,1.407711,65.611907
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.500000,raw,1.240349,0.309939,0.079848,4.215536,0.039854,105.773715,25.091405,0.000000,1143,2,1141,0.000000,1.593662,16.272215,1142.481554,1.001298,0.913503,64.876895
real,20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.500000,raw,1.485305,0.292604,0.082821,5.385061,0.036485,147.596817,27.408570,0.000000,1160,2,1158,0.000000,2.264535,18.074133,1160.529527,1.002184,1.110107,65.358415
real,20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8 sorted thinning (~1/64),nugget0,0.500000,raw,1.381916,0.019776,0.005416,5.188163,0.191456,27.098422,5.223124,0.000000,282,2,280,0.000000,3.025516,9.585657,281.943676,1.006942,0.621508,32.138548
real,20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4 sorted thinning (~1/16),nugget0,0.500000,raw,1.299279,0.289779,0.079059,4.586340,0.058140,78.885047,17.200000,0.000000,1128,2,1126,0.000000,2.290850,9.135639,1127.784178,1.001585,1.937434,64.449036
