day,hour,minute,hour_key,variant,smooth,unit,unit_label,n_obs,n_eigen,max_abs_bridge_scaled,sum_y2,mean_y2,sigmasq,range,nugget,loss
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",1143,1141,2.052563,1138.051301,0.997416,3.255959,0.039944,0.000000,1.094147
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",1147,1145,1.269877,1146.066800,1.000932,2.059029,0.025017,0.000000,0.997450
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",1126,1124,0.733879,1124.159289,1.000142,2.666846,0.042017,0.000000,1.024448
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",1133,1131,0.985823,1132.092751,1.000966,11.417449,0.289313,0.000000,1.207600
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",1119,1117,1.384924,1115.486312,0.998645,3.509918,0.050698,0.000000,1.089078
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",1092,1090,1.107840,1090.670196,1.000615,2.819533,0.027654,0.000000,1.084161
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",1142,1140,3.181813,1132.818847,0.993701,2.760885,0.047724,0.000000,1.021094
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",1116,1114,1.555697,1110.272841,0.996654,4.696246,0.107397,0.000000,1.071222
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",1119,1117,1.647684,1117.409770,1.000367,2.690358,0.024369,0.000000,1.077540
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",1109,1107,1.136539,1106.968439,0.999971,3.370232,0.032039,0.000000,1.130331
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",1102,1100,1.748793,1097.916252,0.998106,3.664334,0.029649,0.000000,1.121888
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",1092,1090,0.860215,1088.364091,0.998499,5.866135,0.053290,0.000000,1.309335
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",1135,1133,2.026273,1132.549042,0.999602,1.463101,0.035488,0.000000,0.905185
