day,hour,minute,hour_key,family,unit,unit_label,variant,smooth,loss,fit_seconds,eig_seconds,sigmasq,range,phi1,phi2,nugget
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.300000,1.188183,0.669514,0.087471,8.771511,0.195369,44.897208,5.118526,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.300000,1.161486,0.335095,0.086787,8.919258,0.225242,39.598634,4.439678,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.300000,1.167435,0.353541,0.090912,11.078103,0.322978,34.299891,3.096188,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.300000,1.162753,0.343571,0.080012,12.496947,0.406688,30.728614,2.458890,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.300000,1.143132,0.329425,0.088682,7.381308,0.173208,42.615278,5.773405,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.300000,1.200416,0.410121,0.090172,15.388814,0.503911,30.538731,1.984476,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.300000,1.142144,0.337608,0.087309,9.909150,0.295232,33.563927,3.387165,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.300000,1.185314,0.348935,0.086518,16.204756,0.584409,27.728437,1.711130,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.300000,1.180594,0.337515,0.090526,8.794454,0.202593,43.409360,4.935993,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.300000,1.169479,0.346704,0.083451,11.531060,0.344074,33.513315,2.906352,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.300000,1.156761,0.321729,0.078691,7.782810,0.179528,43.351412,5.570149,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.300000,1.177598,0.341975,0.076854,11.019348,0.307457,35.840313,3.252489,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.300000,1.193152,0.345976,0.088173,8.716302,0.189092,46.095648,5.288441,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.300000,1.162927,0.345575,0.090352,10.240455,0.286390,35.756971,3.491737,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.300000,1.191467,0.332451,0.091390,11.045982,0.291134,37.941230,3.434844,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.300000,1.165539,0.340490,0.092824,8.223297,0.190965,43.061807,5.236562,0.000000
20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8,nugget0,0.300000,1.661671,0.025999,0.006360,10.288824,0.156711,65.654814,6.381178,0.000000
20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4,nugget0,0.300000,1.578367,0.337207,0.093580,10.568480,0.217019,48.698356,4.607886,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,0.500000,1.239270,0.302248,0.078440,8.230571,0.104438,78.808079,9.575044,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,0.500000,1.192371,0.327071,0.079334,8.160396,0.112088,72.803314,8.921542,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,0.500000,1.202962,0.330889,0.077679,9.300228,0.128409,72.426565,7.787611,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,0.500000,1.183424,0.339285,0.083032,9.723335,0.139609,69.647002,7.162872,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,0.500000,1.169131,0.312545,0.079895,6.827098,0.094234,72.448431,10.611893,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,0.500000,1.246540,0.290329,0.088549,13.043267,0.175662,74.251886,5.692737,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,0.500000,1.138552,0.364655,0.083367,8.306354,0.121059,68.614103,8.260436,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,0.500000,1.230363,0.320162,0.084174,11.657664,0.159062,73.290140,6.286863,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,0.500000,1.213197,0.334024,0.075558,8.048037,0.106274,75.729438,9.409678,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,0.500000,1.197967,0.336103,0.081369,10.478448,0.148465,70.578759,6.735612,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,0.500000,1.191119,0.326316,0.082446,7.188283,0.096340,74.613784,10.379918,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,0.500000,1.220120,0.373128,0.072046,9.225372,0.123688,74.585918,8.084868,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,0.500000,1.233794,0.352762,0.083539,8.050335,0.102515,78.528660,9.754707,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,0.500000,1.188535,0.344929,0.115616,8.821946,0.123741,71.293633,8.081395,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,0.500000,1.236549,0.306974,0.086168,9.211407,0.119950,76.793977,8.336835,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,0.500000,1.197635,0.322412,0.080708,7.653571,0.102812,74.442151,9.726460,0.000000
20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8,nugget0,0.500000,1.659129,0.032266,0.005903,10.291125,0.158677,64.855707,6.302101,0.000000
20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4,nugget0,0.500000,1.584088,0.291806,0.090763,10.506522,0.177747,59.109292,5.625962,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",nugget0,1.000000,2.469617,0.334011,0.079947,7.472406,0.061699,121.110327,16.207675,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",nugget0,1.000000,2.327110,0.320545,0.082987,7.324073,0.064126,114.213298,15.594232,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",nugget0,1.000000,2.379551,0.336465,0.085955,8.146362,0.068347,119.191173,14.631214,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",nugget0,1.000000,2.255889,0.304993,0.081555,7.912696,0.068846,114.933669,14.525222,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",nugget0,1.000000,2.257406,0.324770,0.089641,6.286078,0.058309,107.805969,17.149958,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",nugget0,1.000000,2.469390,0.314139,0.089517,10.432967,0.078460,132.971746,12.745343,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",nugget0,1.000000,2.219648,0.382951,0.121530,7.122918,0.064762,109.985877,15.441126,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",nugget0,1.000000,2.457262,0.341993,0.088537,9.348796,0.073212,127.694865,13.658963,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",nugget0,1.000000,2.311468,0.348691,0.081948,7.213496,0.063120,114.282735,15.842906,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",nugget0,1.000000,1.209403,0.363527,0.091625,9.048504,0.075042,120.579581,13.325914,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",nugget0,1.000000,2.320200,0.342615,0.087111,6.609725,0.059046,111.941537,16.935883,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",nugget0,1.000000,2.417036,0.348755,0.082256,8.182322,0.067480,121.255069,14.819151,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",nugget0,1.000000,2.416775,0.322530,0.091170,7.148952,0.060654,117.863688,16.486849,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",nugget0,1.000000,2.276488,0.326847,0.097139,7.759907,0.067862,114.348798,14.735847,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",nugget0,1.000000,2.490486,0.327148,0.094615,7.918095,0.064654,122.468175,15.466873,0.000000
20220701,0,53,y22m07day01_hm00:53,tiles4x4,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",nugget0,1.000000,2.354187,0.335715,0.091989,6.943685,0.061039,113.758301,16.382988,0.000000
20220701,0,53,y22m07day01_hm00:53,sparse,x8,whole domain x8,nugget0,1.000000,1.663016,0.020790,0.006084,10.291627,0.162048,63.509558,6.170993,0.000000
20220701,0,53,y22m07day01_hm00:53,sparse,x4,whole domain x4,nugget0,1.000000,1.621938,0.324657,0.100014,10.388333,0.147399,70.477693,6.784312,0.000000
