day,hour,minute,hour_key,variant,smooth,unit,unit_label,n_obs,n_eigen,max_abs_bridge_scaled,sum_y2,mean_y2,sigmasq,range,nugget,loss
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",1092,1090,0.708815,1092.139848,1.001963,8.771511,0.195369,0.000000,1.188183
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",1092,1090,0.860139,1092.798784,1.002568,8.655885,0.205366,0.126608,1.214907
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",1119,1117,0.773785,1116.647274,0.999684,8.919258,0.225242,0.000000,1.161486
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",1119,1117,0.773713,1116.641717,0.999679,8.919770,0.225264,0.000014,1.153759
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",1120,1118,1.095913,1116.191496,0.998382,11.078103,0.322978,0.000000,1.167435
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",1120,1118,0.928593,1116.833755,0.998957,11.110650,0.352756,0.139083,1.200130
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",1116,1114,0.918761,1115.209390,1.001086,12.496947,0.406688,0.000000,1.162753
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",1116,1114,0.918430,1115.192748,1.001071,12.504231,0.407085,0.000005,1.153587
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",1130,1128,0.843231,1129.790248,1.001587,7.381308,0.173208,0.000000,1.143132
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",1130,1128,0.656233,1130.066472,1.001832,7.276296,0.185936,0.147160,1.179065
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",1160,1158,0.842550,1159.864215,1.001610,15.388814,0.503911,0.000000,1.200416
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",1160,1158,0.842371,1159.842627,1.001591,15.397348,0.504396,0.000093,1.194539
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",1160,1158,0.771829,1160.455709,1.002121,9.909150,0.295232,0.000000,1.142144
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",1160,1158,0.771598,1160.453776,1.002119,9.912338,0.295449,0.000287,1.129548
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",1121,1119,0.825772,1119.505373,1.000452,16.204756,0.584409,0.000000,1.185314
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",1121,1119,0.578561,1120.111644,1.000993,17.947907,0.776844,0.193168,1.214733
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",1091,1089,1.444743,1091.541752,1.002334,8.794454,0.202593,0.000000,1.180594
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",1091,1089,1.444898,1091.520743,1.002315,8.794530,0.202622,0.000289,1.176202
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",1119,1117,0.766216,1116.606313,0.999648,11.531060,0.344074,0.000000,1.169479
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",1119,1117,0.766003,1116.625548,0.999665,11.541150,0.344618,0.000059,1.161615
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",1120,1118,1.273942,1114.268237,0.996662,7.782810,0.179528,0.000000,1.156761
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",1120,1118,1.036601,1114.383259,0.996765,7.639251,0.196148,0.191259,1.189763
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",1092,1090,0.900643,1089.568265,0.999604,11.019348,0.307457,0.000000,1.177598
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",1092,1090,0.689700,1090.450800,1.000414,11.062362,0.343997,0.179247,1.207833
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",1131,1129,1.245884,1132.664034,1.003245,8.716302,0.189092,0.000000,1.193152
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",1131,1129,1.245796,1132.659633,1.003241,8.717454,0.189147,0.000112,1.190404
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",1157,1155,0.605982,1154.667206,0.999712,10.240455,0.286390,0.000000,1.162927
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",1157,1155,0.606208,1154.641913,0.999690,10.238074,0.286287,0.000142,1.154934
