maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
0,1,11.844941,7.847672,8,8,67.665840,73.741031,0.019041,1,1,11.844941,7.847672,0.000059,0.000089,0.000059,-694.683421,710.378766,-0.005192,0.005309
0,2,7.849184,7.999400,8,8,14.629055,15.778694,0.000075,2,2,19.694125,15.847072,0.000118,0.000147,0.000118,-686.684022,718.378166,-0.005132,0.005369
0,3,9.094626,7.998395,8,8,12.621150,15.391382,0.000201,3,3,28.788751,23.845467,0.000178,0.000215,0.000178,-678.685627,726.376561,-0.005073,0.005429
0,4,8.027159,7.999809,8,8,6.503988,7.236697,0.000024,4,4,36.815910,31.845276,0.000238,0.000275,0.000238,-670.685818,734.376370,-0.005013,0.005489
0,5,3.740311,7.995733,8,8,5.246752,5.824788,0.000533,5,5,40.556221,39.841009,0.000298,0.000303,0.000298,-662.690085,742.372103,-0.004953,0.005549
0,6,2.649613,6.999535,7,7,5.023135,5.388470,0.000066,6,6,43.205834,46.840545,0.000350,0.000323,0.000350,-655.690549,749.371638,-0.004901,0.005601
0,7,5.500919,6.999958,7,7,3.938371,4.007555,0.000006,7,7,48.706753,53.840502,0.000402,0.000364,0.000402,-648.690591,756.371596,-0.004848,0.005653
0,8,1.118927,6.999962,7,7,3.657858,3.960687,0.000005,8,8,49.825680,60.840464,0.000455,0.000372,0.000455,-641.690630,763.371558,-0.004796,0.005706
0,9,7.730832,6.999973,7,7,3.099016,3.225120,0.000004,9,9,57.556512,67.840437,0.000507,0.000430,0.000507,-634.690657,770.371531,-0.004744,0.005758
0,10,5.450655,5.999982,6,6,3.085394,3.145955,0.000003,10,10,63.007167,73.840418,0.000552,0.000471,0.000552,-628.690675,776.371512,-0.004699,0.005803
0,11,5.816742,5.999851,6,6,2.881566,2.959852,0.000025,11,11,68.823909,79.840269,0.000597,0.000514,0.000597,-622.690824,782.371363,-0.004654,0.005848
0,12,7.801195,4.999986,5,5,2.840668,2.843064,0.000003,12,12,76.625104,84.840255,0.000634,0.000573,0.000634,-617.690838,787.371349,-0.004617,0.005885
0,13,7.075568,4.999986,5,5,2.736448,2.770494,0.000003,13,13,83.700673,89.840242,0.000671,0.000626,0.000671,-612.690852,792.371336,-0.004579,0.005922
0,14,15.625114,4.999999,5,5,2.469861,2.452253,0.000000,14,14,99.325787,94.840241,0.000709,0.000742,0.000709,-607.690853,797.371335,-0.004542,0.005960
0,15,9.996282,4.999998,5,5,2.400623,2.435437,0.000000,15,15,109.322069,99.840239,0.000746,0.000817,0.000746,-602.690855,802.371333,-0.004505,0.005997
0,16,6.996983,4.999997,5,5,2.156874,2.215571,0.000001,16,16,116.319052,104.840236,0.000784,0.000869,0.000784,-597.690857,807.371330,-0.004467,0.006034
