maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
0,1,2.198311,7.890579,8,8,59.749409,43.097364,0.013678,1,1,2.198311,7.890579,0.000055,0.000015,0.000055,-718.060098,733.841256,-0.005026,0.005137
0,2,7.253194,7.999370,8,8,14.074193,13.653540,0.000079,2,2,9.451505,15.889949,0.000111,0.000066,0.000111,-710.060728,741.840626,-0.004970,0.005193
0,3,10.452847,7.999509,8,8,13.222625,12.957158,0.000061,3,3,19.904353,23.889458,0.000167,0.000139,0.000167,-702.061219,749.840135,-0.004914,0.005249
0,4,9.661924,7.999651,8,8,7.338934,7.249595,0.000044,4,4,29.566277,31.889109,0.000223,0.000207,0.000223,-694.061568,757.839786,-0.004858,0.005305
0,5,4.634099,7.996569,8,8,6.244884,6.195403,0.000429,5,5,34.200376,39.885678,0.000279,0.000239,0.000279,-686.064999,765.836355,-0.004802,0.005361
0,6,6.830591,7.998797,8,8,5.707256,5.631437,0.000150,6,6,41.030967,47.884475,0.000335,0.000287,0.000335,-678.066202,773.835152,-0.004746,0.005417
0,7,25.974856,7.999965,8,8,4.676430,4.624173,0.000004,7,7,67.005822,55.884441,0.000391,0.000469,0.000391,-670.066236,781.835118,-0.004690,0.005473
0,8,2.133052,7.999962,8,8,4.483019,4.455092,0.000005,8,8,69.138874,63.884403,0.000447,0.000484,0.000447,-662.066274,789.835080,-0.004634,0.005529
0,9,6.830370,7.999937,8,8,4.012422,3.994155,0.000008,9,9,75.969244,71.884339,0.000503,0.000532,0.000503,-654.066338,797.835016,-0.004578,0.005585
0,10,7.444065,7.999961,8,8,3.732511,3.682380,0.000005,10,10,83.413309,79.884300,0.000559,0.000584,0.000559,-646.066377,805.834977,-0.004522,0.005641
0,11,5.029340,7.999855,8,8,3.646822,3.617548,0.000018,11,11,88.442648,87.884155,0.000615,0.000619,0.000615,-638.066522,813.834832,-0.004466,0.005697
0,12,34.680754,7.999980,8,8,3.568971,3.564959,0.000002,12,12,123.123402,95.884135,0.000671,0.000862,0.000671,-630.066542,821.834812,-0.004410,0.005753
0,13,2.040654,7.999994,8,8,3.415276,3.383348,0.000001,13,13,125.164056,103.884129,0.000727,0.000876,0.000727,-622.066548,829.834806,-0.004354,0.005809
0,14,7.173771,7.999997,8,8,3.193927,3.167639,0.000000,14,14,132.337827,111.884126,0.000783,0.000926,0.000783,-614.066551,837.834803,-0.004298,0.005865
0,15,3.222748,7.999994,8,8,3.109863,3.099956,0.000001,15,15,135.560576,119.884120,0.000839,0.000949,0.000839,-606.066557,845.834797,-0.004242,0.005921
0,16,18.079011,8.000000,8,8,2.930142,2.910552,0.000000,16,16,153.639586,127.884119,0.000895,0.001075,0.000895,-598.066558,853.834796,-0.004186,0.005977
