maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
0,1,1.781811,7.969685,8,8,55.387130,47.389734,0.003789,1,1,1.781811,7.969685,0.000056,0.000012,0.000056,-717.980992,733.920362,-0.005026,0.005137
0,2,7.963340,7.999820,8,8,15.570831,14.950937,0.000022,2,2,9.745151,15.969505,0.000112,0.000068,0.000112,-709.981172,741.920182,-0.004970,0.005193
0,3,8.900881,7.999864,8,8,14.578955,14.145202,0.000017,3,3,18.646032,23.969369,0.000168,0.000131,0.000168,-701.981308,749.920046,-0.004914,0.005249
0,4,8.789470,7.999934,8,8,7.628258,7.511498,0.000008,4,4,27.435501,31.969303,0.000224,0.000192,0.000224,-693.981374,757.919980,-0.004858,0.005305
0,5,4.756200,7.998127,8,8,6.346614,6.292500,0.000234,5,5,32.191701,39.967430,0.000280,0.000225,0.000280,-685.983247,765.918107,-0.004802,0.005361
0,6,6.830123,7.999166,8,8,5.783227,5.693488,0.000104,6,6,39.021824,47.966596,0.000336,0.000273,0.000336,-677.984081,773.917273,-0.004746,0.005417
0,7,26.091777,7.999993,8,8,4.661696,4.604551,0.000001,7,7,65.113601,55.966590,0.000392,0.000456,0.000392,-669.984087,781.917267,-0.004690,0.005473
0,8,2.098802,7.999980,8,8,4.455714,4.423190,0.000002,8,8,67.212403,63.966570,0.000448,0.000470,0.000448,-661.984107,789.917247,-0.004634,0.005529
0,9,6.947070,7.999981,8,8,3.950581,3.932307,0.000002,9,9,74.159473,71.966551,0.000504,0.000519,0.000504,-653.984126,797.917228,-0.004578,0.005585
0,10,7.543628,7.999986,8,8,3.661689,3.608079,0.000002,10,10,81.703101,79.966537,0.000560,0.000572,0.000560,-645.984140,805.917214,-0.004522,0.005641
0,11,5.108483,7.999913,8,8,3.579358,3.550657,0.000011,11,11,86.811583,87.966450,0.000616,0.000608,0.000616,-637.984227,813.917127,-0.004466,0.005697
0,12,35.366425,7.999991,8,8,3.499877,3.495093,0.000001,12,12,122.178009,95.966441,0.000672,0.000855,0.000672,-629.984236,821.917118,-0.004410,0.005753
0,13,2.068090,7.999997,8,8,3.341345,3.308313,0.000000,13,13,124.246098,103.966438,0.000728,0.000870,0.000728,-621.984239,829.917115,-0.004354,0.005809
0,14,7.309738,7.999998,8,8,3.124748,3.099346,0.000000,14,14,131.555837,111.966436,0.000784,0.000921,0.000784,-613.984241,837.917113,-0.004298,0.005865
0,15,3.338325,7.999998,8,8,3.041062,3.030925,0.000000,15,15,134.894162,119.966435,0.000840,0.000944,0.000840,-605.984242,845.917112,-0.004242,0.005921
0,16,18.601282,8.000000,8,8,2.867202,2.848303,0.000000,16,16,153.495444,127.966434,0.000896,0.001074,0.000896,-597.984243,853.917111,-0.004186,0.005977
1,1,34.593428,7.957086,8,8,41.286364,39.739953,0.005364,17,17,188.088872,135.923520,0.000951,0.001317,0.000951,-590.027157,861.874197,-0.004130,0.006033
1,2,18.777854,7.999089,8,8,12.010201,11.724553,0.000114,18,18,206.866726,143.922610,0.001007,0.001448,0.001007,-582.028067,869.873287,-0.004074,0.006089
1,3,17.897984,7.999343,8,8,8.539062,9.244637,0.000082,19,19,224.764710,151.921953,0.001063,0.001573,0.001063,-574.028724,877.872630,-0.004018,0.006145
1,4,5.666384,7.998027,8,8,5.825074,6.138572,0.000247,20,20,230.431094,159.919980,0.001119,0.001613,0.001119,-566.030697,885.870657,-0.003962,0.006201
1,5,5.748539,7.999441,8,8,5.052595,4.977534,0.000070,21,21,236.179632,167.919421,0.001175,0.001653,0.001175,-558.031256,893.870098,-0.003906,0.006257
1,6,7.034410,7.999777,8,8,3.995228,4.219877,0.000028,22,22,243.214042,175.919198,0.001231,0.001702,0.001231,-550.031479,901.869875,-0.003850,0.006313
1,7,14.923596,7.999920,8,8,3.801779,3.734721,0.000010,23,23,258.137638,183.919118,0.001287,0.001807,0.001287,-542.031559,909.869795,-0.003794,0.006369
1,8,15.772264,7.999951,8,8,3.414511,3.569302,0.000006,24,24,273.909902,191.919069,0.001343,0.001917,0.001343,-534.031608,917.869746,-0.003738,0.006425
