maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
0,1,11.573178,7.893689,8,8,75.337359,81.539960,0.013289,1,1,11.573178,7.893689,0.000059,0.000086,0.000059,-694.637405,710.424783,-0.005192,0.005310
0,2,7.274358,7.999097,8,8,14.685951,15.860978,0.000113,2,2,18.847536,15.892786,0.000119,0.000141,0.000119,-686.638308,718.423880,-0.005132,0.005370
0,3,10.696279,7.998833,8,8,12.657811,15.465905,0.000146,3,3,29.543815,23.891619,0.000179,0.000221,0.000179,-678.639474,726.422713,-0.005072,0.005429
0,4,8.122516,7.999827,8,8,6.342206,7.025509,0.000022,4,4,37.666331,31.891446,0.000238,0.000282,0.000238,-670.639647,734.422540,-0.005012,0.005489
0,5,3.645501,7.996429,8,8,5.157653,5.697065,0.000446,5,5,41.311832,39.887875,0.000298,0.000309,0.000298,-662.643219,742.418969,-0.004953,0.005549
0,6,2.707741,6.999673,7,7,4.916993,5.259381,0.000047,6,6,44.019573,46.887548,0.000350,0.000329,0.000350,-655.643546,749.418642,-0.004900,0.005601
0,7,5.574552,6.999949,7,7,3.889650,3.948637,0.000007,7,7,49.594126,53.887497,0.000403,0.000371,0.000403,-648.643596,756.418591,-0.004848,0.005654
0,8,1.056966,6.999964,7,7,3.627592,3.906327,0.000005,8,8,50.651092,60.887462,0.000455,0.000379,0.000455,-641.643632,763.418556,-0.004796,0.005706
0,9,7.417948,6.999979,7,7,3.107179,3.219723,0.000003,9,9,58.069040,67.887441,0.000507,0.000434,0.000507,-634.643653,770.418535,-0.004743,0.005758
0,10,5.633555,5.999977,6,6,3.099951,3.159724,0.000004,10,10,63.702595,73.887418,0.000552,0.000476,0.000552,-628.643676,776.418512,-0.004699,0.005803
0,11,5.825324,5.999872,6,6,2.911349,2.981171,0.000021,11,11,69.527920,79.887289,0.000597,0.000520,0.000597,-622.643804,782.418383,-0.004654,0.005848
0,12,7.707826,4.999989,5,5,2.870307,2.870306,0.000002,12,12,77.235746,84.887279,0.000634,0.000577,0.000634,-617.643815,787.418372,-0.004616,0.005885
0,13,7.020436,4.999990,5,5,2.776771,2.808040,0.000002,13,13,84.256182,89.887269,0.000672,0.000630,0.000672,-612.643825,792.418362,-0.004579,0.005923
0,14,15.336559,4.999999,5,5,2.532946,2.516610,0.000000,14,14,99.592741,94.887267,0.000709,0.000744,0.000709,-607.643826,797.418361,-0.004542,0.005960
0,15,9.655499,4.999998,5,5,2.470924,2.503136,0.000000,15,15,109.248240,99.887265,0.000747,0.000817,0.000747,-602.643829,802.418359,-0.004504,0.005997
0,16,6.746639,4.999997,5,5,2.248209,2.302417,0.000001,16,16,115.994879,104.887262,0.000784,0.000867,0.000784,-597.643832,807.418356,-0.004467,0.006035
1,1,3.481329,4.829471,5,5,68.060606,74.071026,0.034106,17,17,119.476208,109.716733,0.000820,0.000893,0.000820,-592.814360,812.247827,-0.004431,0.006071
1,2,1.888806,4.999455,5,5,8.632386,9.662195,0.000109,18,18,121.365014,114.716189,0.000857,0.000907,0.000857,-587.814905,817.247282,-0.004393,0.006108
1,3,1.990860,3.998479,4,4,6.793811,6.493465,0.000380,19,19,123.355874,118.714668,0.000887,0.000922,0.000887,-583.816426,821.245761,-0.004364,0.006138
1,4,1.363921,3.998696,4,4,3.933374,3.785592,0.000326,20,20,124.719795,122.713364,0.000917,0.000932,0.000917,-579.817730,825.244458,-0.004334,0.006168
