year,month,day_idx,day,domain_group,domain_label,model_variant,model_label,vecchia_loss_per_obs,mean_y2,max_abs_bridge_scaled,local_eigen_rank,n_scores,mean_y2_over_expected,lambda_mean,lambda_sd,lambda_min,lambda_p10,lambda_p25,lambda_median,lambda_p75,lambda_p90,lambda_max
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,1,9071,0.989000,36.862106,24.222029,3.482314,18.853343,19.163492,26.143392,48.917600,73.716307,190.991368
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,2,9013,0.990423,10.546262,3.096001,2.249835,7.500581,7.664727,9.452558,13.006550,15.033969,23.494335
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,3,8954,1.103884,9.263110,2.997554,2.207520,6.494331,7.447772,7.819798,11.485141,14.463227,16.649554
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,4,8911,1.079457,5.491369,0.870335,2.203092,4.618220,4.947288,5.273919,6.147660,6.701223,8.053802
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,5,8863,1.076188,4.659394,0.661010,2.135556,4.097952,4.188817,4.550323,5.089691,5.462041,6.754888
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,6,8819,1.064655,4.332003,0.607234,2.085109,3.618117,4.133132,4.191348,4.936032,5.089580,6.098812
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,7,8744,1.032383,3.629935,0.341005,2.083062,3.385966,3.497107,3.641474,3.870867,3.906805,4.604557
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,8,8684,1.029115,3.518226,0.344382,2.053941,3.161293,3.474853,3.529422,3.738438,3.869297,4.308855
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,9,8276,1.068217,3.168785,0.152501,2.061047,3.075738,3.094366,3.172084,3.229051,3.283632,3.837237
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,10,8191,1.052291,3.090972,0.131534,2.085468,3.031942,3.056529,3.092671,3.183321,3.206548,3.514460
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,11,8115,0.980862,2.959291,0.113508,2.059443,2.911796,2.920756,2.962855,3.027134,3.042898,3.316553
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,12,8026,1.010380,2.861468,0.111981,2.057515,2.833808,2.845112,2.874409,2.913604,2.933194,3.194176
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,13,7788,0.917795,2.828353,0.098769,2.060287,2.772889,2.824146,2.841943,2.879452,2.884010,3.043816
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,14,7661,0.907833,2.610409,0.069149,2.062909,2.588230,2.593803,2.606069,2.616790,2.684982,2.870327
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,15,7503,0.835825,2.586421,0.065651,2.055305,2.582053,2.586155,2.594606,2.608190,2.613690,2.773252
2023,7,6,2023-07-07,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.247052,1.000053,8.515154,16,7184,0.781549,2.425649,0.049974,2.040757,2.420075,2.422174,2.426268,2.430545,2.454808,2.603497
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,1,9071,0.956191,37.661859,24.004072,3.336021,19.845528,20.177205,27.316932,50.154514,72.859915,255.685354
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,2,9013,0.948276,11.044224,3.254017,2.097549,7.833323,7.997514,9.933771,13.728868,15.704496,24.106042
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,3,8954,1.057623,9.673207,3.178314,2.054051,6.730957,7.710835,8.161282,12.154473,15.145456,17.089927
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,4,8911,1.047382,5.668884,0.968051,2.049536,4.712495,5.045092,5.413613,6.416235,7.019930,8.470935
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,5,8863,1.053993,4.771573,0.736225,1.978922,4.145894,4.250825,4.656539,5.278189,5.662454,7.059958
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,6,8819,1.049477,4.398489,0.677184,1.923167,3.636896,4.148741,4.256956,5.090311,5.256880,6.331386
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,7,8744,1.033546,3.637309,0.383396,1.920818,3.361394,3.480601,3.646454,3.916256,3.961305,4.729571
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,8,8684,1.027521,3.507360,0.384916,1.887496,3.114273,3.441906,3.519351,3.764944,3.907143,4.394927
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,9,8276,1.076116,3.135194,0.170528,1.895320,3.034787,3.050002,3.132442,3.213217,3.259234,3.896092
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,10,8191,1.074259,3.033170,0.147256,1.922761,2.966233,2.984958,3.044382,3.135135,3.158875,3.512246
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,11,8115,0.999342,2.893223,0.128674,1.893654,2.833632,2.843768,2.896052,2.970884,2.992617,3.303901
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,12,8026,1.050301,2.790295,0.126104,1.891818,2.759075,2.770570,2.802678,2.851576,2.869868,3.163446
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,13,7788,0.931538,2.743740,0.110014,1.894860,2.683297,2.732673,2.758663,2.801919,2.809306,2.992926
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,14,7661,0.947077,2.507943,0.077235,1.897662,2.481866,2.488734,2.503633,2.517452,2.589637,2.796734
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,15,7503,0.873139,2.476626,0.073056,1.889344,2.469566,2.474261,2.484941,2.502092,2.508384,2.684532
2023,7,6,2023-07-07,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.245962,1.000066,8.394251,16,7184,0.824686,2.299810,0.055744,1.873119,2.292972,2.295527,2.300745,2.305413,2.332538,2.497115
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,1,9071,0.961195,36.647737,21.004253,3.227470,20.411152,20.729787,27.687185,48.323646,68.388100,212.573323
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,2,9013,0.922775,11.296959,3.226073,1.988944,8.106905,8.246997,10.254917,14.026116,15.865649,23.468124
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,3,8954,1.035467,9.902763,3.184177,1.944727,6.909794,7.934787,8.437815,12.551538,15.317405,16.774259
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,4,8911,1.022190,5.817242,1.027029,1.940177,4.804634,5.148854,5.546681,6.628009,7.240061,8.699087
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,5,8863,1.033160,4.876151,0.787339,1.866346,4.194046,4.327473,4.766023,5.439345,5.816203,7.242427
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,6,8819,1.034650,4.471867,0.728094,1.805937,3.667049,4.191061,4.336160,5.218307,5.392483,6.494312
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,7,8744,1.025748,3.666571,0.418610,1.803356,3.363896,3.491337,3.676076,3.974977,4.026979,4.841913
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,8,8684,1.021638,3.522119,0.419249,1.765974,3.099051,3.439793,3.532717,3.812196,3.959562,4.474619
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,9,8276,1.083477,3.132229,0.186360,1.774599,3.024804,3.037379,3.121304,3.224429,3.269105,3.965150
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,10,8191,1.077059,3.010006,0.161468,1.804656,2.934688,2.952144,3.022291,3.121487,3.144696,3.537783
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,11,8115,1.010564,2.861131,0.142342,1.772896,2.790490,2.801859,2.863793,2.949797,2.973756,3.314645
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,12,8026,1.068164,2.754093,0.139021,1.771170,2.718637,2.732087,2.769065,2.822817,2.842877,3.161718
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,13,7788,0.941923,2.696017,0.120340,1.774463,2.633169,2.679878,2.710617,2.760986,2.770372,2.975131
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,14,7661,0.971931,2.442910,0.084613,1.777334,2.412874,2.420981,2.438768,2.455332,2.530138,2.759105
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,15,7503,0.901944,2.405527,0.079770,1.768400,2.395839,2.401061,2.414178,2.434726,2.441770,2.632850
2023,7,6,2023-07-07,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.245601,1.000061,8.397518,16,7184,0.857497,2.213224,0.060684,1.750567,2.205029,2.208018,2.214394,2.219461,2.249012,2.428702
