year,domain_group,domain_label,model_variant,local_eigen_rank,n_days,n_scores_mean,mean_y2_over_expected_mean,lambda_median_mean,lambda_p25_mean,lambda_p75_mean,lambda_p10_mean,lambda_p90_mean
2023,full,full,fine_tuned_gc,1,1,9071.000000,0.961195,27.687185,20.729787,48.323646,20.411152,68.388100
2023,full,full,fine_tuned_gc,2,1,9013.000000,0.922775,10.254917,8.246997,14.026116,8.106905,15.865649
2023,full,full,fine_tuned_gc,3,1,8954.000000,1.035467,8.437815,7.934787,12.551538,6.909794,15.317405
2023,full,full,fine_tuned_gc,4,1,8911.000000,1.022190,5.546681,5.148854,6.628009,4.804634,7.240061
2023,full,full,fine_tuned_gc,5,1,8863.000000,1.033160,4.766023,4.327473,5.439345,4.194046,5.816203
2023,full,full,fine_tuned_gc,6,1,8819.000000,1.034650,4.336160,4.191061,5.218307,3.667049,5.392483
2023,full,full,fine_tuned_gc,7,1,8744.000000,1.025748,3.676076,3.491337,3.974977,3.363896,4.026979
2023,full,full,fine_tuned_gc,8,1,8684.000000,1.021638,3.532717,3.439793,3.812196,3.099051,3.959562
2023,full,full,fine_tuned_gc,9,1,8276.000000,1.083477,3.121304,3.037379,3.224429,3.024804,3.269105
2023,full,full,fine_tuned_gc,10,1,8191.000000,1.077059,3.022291,2.952144,3.121487,2.934688,3.144696
2023,full,full,fine_tuned_gc,11,1,8115.000000,1.010564,2.863793,2.801859,2.949797,2.790490,2.973756
2023,full,full,fine_tuned_gc,12,1,8026.000000,1.068164,2.769065,2.732087,2.822817,2.718637,2.842877
2023,full,full,fine_tuned_gc,13,1,7788.000000,0.941923,2.710617,2.679878,2.760986,2.633169,2.770372
2023,full,full,fine_tuned_gc,14,1,7661.000000,0.971931,2.438768,2.420981,2.455332,2.412874,2.530138
2023,full,full,fine_tuned_gc,15,1,7503.000000,0.901944,2.414178,2.401061,2.434726,2.395839,2.441770
2023,full,full,fine_tuned_gc,16,1,7184.000000,0.857497,2.214394,2.208018,2.219461,2.205029,2.249012
2023,full,full,gc_a075_b1,1,1,9071.000000,0.956191,27.316932,20.177205,50.154514,19.845528,72.859915
2023,full,full,gc_a075_b1,2,1,9013.000000,0.948276,9.933771,7.997514,13.728868,7.833323,15.704496
2023,full,full,gc_a075_b1,3,1,8954.000000,1.057623,8.161282,7.710835,12.154473,6.730957,15.145456
2023,full,full,gc_a075_b1,4,1,8911.000000,1.047382,5.413613,5.045092,6.416235,4.712495,7.019930
2023,full,full,gc_a075_b1,5,1,8863.000000,1.053993,4.656539,4.250825,5.278189,4.145894,5.662454
2023,full,full,gc_a075_b1,6,1,8819.000000,1.049477,4.256956,4.148741,5.090311,3.636896,5.256880
2023,full,full,gc_a075_b1,7,1,8744.000000,1.033546,3.646454,3.480601,3.916256,3.361394,3.961305
2023,full,full,gc_a075_b1,8,1,8684.000000,1.027521,3.519351,3.441906,3.764944,3.114273,3.907143
2023,full,full,gc_a075_b1,9,1,8276.000000,1.076116,3.132442,3.050002,3.213217,3.034787,3.259234
2023,full,full,gc_a075_b1,10,1,8191.000000,1.074259,3.044382,2.984958,3.135135,2.966233,3.158875
2023,full,full,gc_a075_b1,11,1,8115.000000,0.999342,2.896052,2.843768,2.970884,2.833632,2.992617
2023,full,full,gc_a075_b1,12,1,8026.000000,1.050301,2.802678,2.770570,2.851576,2.759075,2.869868
2023,full,full,gc_a075_b1,13,1,7788.000000,0.931538,2.758663,2.732673,2.801919,2.683297,2.809306
2023,full,full,gc_a075_b1,14,1,7661.000000,0.947077,2.503633,2.488734,2.517452,2.481866,2.589637
2023,full,full,gc_a075_b1,15,1,7503.000000,0.873139,2.484941,2.474261,2.502092,2.469566,2.508384
2023,full,full,gc_a075_b1,16,1,7184.000000,0.824686,2.300745,2.295527,2.305413,2.292972,2.332538
2023,full,full,matern_s03,1,1,9071.000000,0.989000,26.143392,19.163492,48.917600,18.853343,73.716307
2023,full,full,matern_s03,2,1,9013.000000,0.990423,9.452558,7.664727,13.006550,7.500581,15.033969
2023,full,full,matern_s03,3,1,8954.000000,1.103884,7.819798,7.447772,11.485141,6.494331,14.463227
2023,full,full,matern_s03,4,1,8911.000000,1.079457,5.273919,4.947288,6.147660,4.618220,6.701223
2023,full,full,matern_s03,5,1,8863.000000,1.076188,4.550323,4.188817,5.089691,4.097952,5.462041
2023,full,full,matern_s03,6,1,8819.000000,1.064655,4.191348,4.133132,4.936032,3.618117,5.089580
2023,full,full,matern_s03,7,1,8744.000000,1.032383,3.641474,3.497107,3.870867,3.385966,3.906805
2023,full,full,matern_s03,8,1,8684.000000,1.029115,3.529422,3.474853,3.738438,3.161293,3.869297
2023,full,full,matern_s03,9,1,8276.000000,1.068217,3.172084,3.094366,3.229051,3.075738,3.283632
2023,full,full,matern_s03,10,1,8191.000000,1.052291,3.092671,3.056529,3.183321,3.031942,3.206548
2023,full,full,matern_s03,11,1,8115.000000,0.980862,2.962855,2.920756,3.027134,2.911796,3.042898
2023,full,full,matern_s03,12,1,8026.000000,1.010380,2.874409,2.845112,2.913604,2.833808,2.933194
2023,full,full,matern_s03,13,1,7788.000000,0.917795,2.841943,2.824146,2.879452,2.772889,2.884010
2023,full,full,matern_s03,14,1,7661.000000,0.907833,2.606069,2.593803,2.616790,2.588230,2.684982
2023,full,full,matern_s03,15,1,7503.000000,0.835825,2.594606,2.586155,2.608190,2.582053,2.613690
2023,full,full,matern_s03,16,1,7184.000000,0.781549,2.426268,2.422174,2.430545,2.420075,2.454808
