day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2024-07-1,DW_Real,18126.0,1.0,9.4033,0.1261,0.1428,1.0413,0.0146,-0.204,0.4246,166113.616,0.0,0.0
2024-07-2,DW_Real,18126.0,1.0,6.9982,0.14,0.183,1.3232,-0.0147,0.2415,2.4503,434780.608,0.0,0.0
2024-07-3,DW_Real,18126.0,1.0,17.4925,0.1538,0.1915,1.6396,-0.053,-0.2803,1.5814,822283.824,0.0,0.0
2024-07-4,DW_Real,18126.0,1.0,12.6267,0.1589,0.2141,1.555,0.0337,-0.1499,1.1794,411927.488,0.0,0.0
2024-07-5,DW_Real,18126.0,1.0,15.2663,0.162,0.2176,1.5505,0.0875,-0.3102,0.2564,303518.0,0.0,0.0
2024-07-6,DW_Real,18126.0,1.0,8.0439,0.1314,0.2004,1.0993,-0.0,-0.0,2.8706,597323.424,0.0,0.0
2024-07-7,DW_Real,18126.0,1.0,10.2491,0.1278,0.2154,0.9205,-0.0335,-0.1025,1.4607,408356.688,0.0,0.0
2024-07-8,DW_Real,18126.0,1.0,11.0829,0.1617,0.1666,0.791,-0.0195,-0.2146,0.6078,221960.928,0.0,0.0
2024-07-9,DW_Real,18126.0,1.0,9.0215,0.1488,0.1967,1.0251,0.0226,-0.2038,0.5579,-14711.696,0.0,0.0
2024-07-10,DW_Real,18126.0,1.0,4.1499,0.1244,0.2215,0.9538,-0.0083,0.115,0.6908,-563186.576,0.0,0.0
2024-07-11,DW_Real,18126.0,1.0,5.0994,0.1658,0.1883,0.8352,-0.0091,-0.1088,0.0983,-873132.016,0.0,0.0
2024-07-12,DW_Real,18126.0,1.0,7.2934,0.1405,0.2463,1.1179,-0.2741,-0.1928,0.2799,-425925.024,0.0,0.0
2024-07-13,DW_Real,18126.0,1.0,9.0584,0.2224,0.3108,1.6244,0.0081,-0.0985,0.2504,-549331.872,0.0,0.0
2024-07-14,DW_Real,18126.0,1.0,5.846,0.2769,0.3468,1.5116,0.0076,-0.1756,2.8179,219389.952,0.0,0.0
2024-07-15,DW_Real,18126.0,1.0,8.5376,0.161,0.2113,0.8572,0.0905,-0.0651,0.3013,-245671.04,0.0,0.0
2024-07-16,DW_Real,18126.0,1.0,9.7777,0.2437,0.3284,1.3324,-0.0127,-0.1305,0.5342,-362364.784,0.0,0.0
2024-07-17,DW_Real,18126.0,1.0,6.6835,0.1477,0.147,0.7765,-0.1811,-0.1711,0.8939,-29709.056,0.0,0.0
2024-07-18,DW_Real,18126.0,1.0,5.2613,0.0998,0.1276,0.6689,0.0158,-0.0834,0.3889,-264096.368,0.0,0.0
2024-07-19,DW_Real,18126.0,1.0,7.668,0.1776,0.2229,0.6768,0.0094,-0.229,0.5813,-261811.056,0.0,0.0
2024-07-20,DW_Real,18126.0,1.0,10.3948,0.134,0.2016,0.8973,0.0368,-0.3355,0.8205,241814.576,0.0,0.0
2024-07-21,DW_Real,18126.0,1.0,6.5184,0.1451,0.2159,0.8539,0.0053,-0.3515,0.5348,-335940.864,0.0,0.0
2024-07-22,DW_Real,18126.0,1.0,9.7621,0.1262,0.1699,0.9216,-0.0095,-0.22,0.5126,170969.904,0.0,0.0
2024-07-23,DW_Real,18126.0,1.0,10.1526,0.1165,0.1788,0.9295,-0.0213,0.0831,1.3687,466632.144,0.0,0.0
2024-07-24,DW_Real,18126.0,1.0,6.3244,0.1491,0.2677,1.0914,-0.0018,-0.251,0.9614,-233673.152,0.0,0.0
2024-07-25,DW_Real,18126.0,1.0,9.0591,0.1648,0.3593,1.3863,-0.0256,-0.2822,1.114,-51133.856,0.0,0.0
2024-07-26,DW_Real,18126.0,1.0,11.4529,0.1346,0.2426,1.0688,0.0139,-0.0893,0.4537,115122.592,0.0,0.0
2024-07-27,DW_Real,18126.0,1.0,8.9115,0.2095,0.2586,1.2713,0.0292,-0.1052,0.5077,-303375.168,0.0,0.0
2024-07-28,DW_Real,18126.0,1.0,6.4344,0.0945,0.1255,0.9255,0.0,-0.0,0.6309,35279.504,0.0,0.0
2024-07-29,DW_Real,18126.0,1.0,3.9873,0.1253,0.1686,2.7868,0.0,-0.0,0.7327,-607178.832,0.0,0.0
2024-07-30,DW_Real,18126.0,1.0,3.5392,0.0816,0.1697,1.6,0.0,-0.0,1.5613,-122835.52,0.0,0.0
2024-07-31,DW_Real,18126.0,1.0,10.8419,0.1891,0.2474,1.1667,-0.03,0.1063,1.6106,322800.32,0.0,0.0
