day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2024-07-1,Vecc_Only_mm16,18126.0,1.0,11.7899,0.26,0.2691,1.4136,-0.0229,-0.1994,0.0,0.9484,145.8147,0.0
2024-07-2,Vecc_Only_mm16,18126.0,1.0,14.5729,0.2009,0.2239,1.4815,-0.0313,-0.2362,0.0,1.1591,139.9881,0.0
2024-07-3,Vecc_Only_mm16,18126.0,1.0,12.9477,0.1876,0.1946,1.3294,-0.0679,-0.25,0.0,1.1459,137.1047,0.0
2024-07-4,Vecc_Only_mm16,18126.0,1.0,12.7787,0.2034,0.239,1.7275,0.014,-0.1525,0.0,1.0741,154.2656,0.0
2024-07-5,Vecc_Only_mm16,18126.0,1.0,13.2714,0.1886,0.2049,1.3737,0.0486,-0.1994,0.0,1.1465,145.6881,0.0
2024-07-6,Vecc_Only_mm16,18126.0,1.0,13.1773,0.2093,0.2182,1.348,0.0293,-0.2913,0.0,1.104,137.1144,0.0
2024-07-7,Vecc_Only_mm16,18126.0,1.0,15.4892,0.2423,0.2959,1.6714,0.0056,-0.3653,0.0,1.0839,145.6734,0.0
2024-07-8,Vecc_Only_mm16,18126.0,1.0,13.9132,0.2505,0.2234,1.2422,-0.039,-0.3394,0.0,1.0764,142.8397,0.0
2024-07-9,Vecc_Only_mm16,18126.0,1.0,7.775,0.1736,0.1813,0.9726,0.0275,-0.2795,0.1711,0.9749,88.4863,0.0
2024-07-10,Vecc_Only_mm16,18126.0,1.0,5.4584,0.1851,0.1926,0.9895,-0.0003,-0.0371,0.0,0.7217,145.6745,0.0
2024-07-11,Vecc_Only_mm16,18126.0,1.0,6.8554,0.2516,0.2517,1.1788,-0.006,-0.0465,0.0,0.7002,142.8763,0.0
2024-07-12,Vecc_Only_mm16,18126.0,1.0,9.7003,0.2288,0.2485,1.4336,0.0002,0.0048,0.0,0.8998,168.5409,0.0
2024-07-13,Vecc_Only_mm16,18126.0,1.0,9.8996,0.3037,0.3024,1.3273,-0.0099,0.0014,0.0,0.7953,148.5229,0.0
2024-07-14,Vecc_Only_mm16,18126.0,1.0,7.4845,0.2053,0.2247,1.2697,0.0035,-0.0227,0.0,0.8202,151.3901,0.0
2024-07-15,Vecc_Only_mm16,18126.0,1.0,9.6414,0.2125,0.2358,1.5364,-0.0006,0.0004,0.0,0.925,145.6603,0.0
2024-07-16,Vecc_Only_mm16,18126.0,1.0,10.0615,0.2206,0.2426,1.2995,-0.0162,-0.0014,0.0,0.934,139.9516,0.0
2024-07-17,Vecc_Only_mm16,18126.0,1.0,7.6546,0.1624,0.168,1.3776,0.0005,0.0035,0.0,0.9431,162.8305,0.0
2024-07-18,Vecc_Only_mm16,18126.0,1.0,8.8498,0.2021,0.2034,1.2637,0.0088,-0.0051,0.0,0.9262,148.518,0.0
2024-07-19,Vecc_Only_mm16,18126.0,1.0,8.7637,0.1986,0.2223,1.3469,-0.0,-0.0135,0.0,0.9088,145.6766,0.0
2024-07-20,Vecc_Only_mm16,18126.0,1.0,8.3303,0.1759,0.189,0.921,0.0099,-0.0315,0.0,0.9509,142.7975,0.0
2024-07-21,Vecc_Only_mm16,18126.0,1.0,6.4444,0.1601,0.1673,0.6932,0.0092,-0.2178,0.0,0.8719,142.8107,0.0
2024-07-22,Vecc_Only_mm16,18126.0,1.0,9.4901,0.187,0.2062,0.8011,0.0163,-0.0601,0.0,0.9846,145.6737,0.0
2024-07-23,Vecc_Only_mm16,18126.0,1.0,8.7207,0.1786,0.1811,1.1123,0.0037,-0.0479,0.0,0.9752,145.6544,0.0
2024-07-24,Vecc_Only_mm16,18126.0,1.0,7.5253,0.1813,0.2334,0.9515,-0.0437,-0.039,0.0,0.8504,151.4176,0.0
2024-07-25,Vecc_Only_mm16,18126.0,1.0,9.814,0.1835,0.27,0.9525,-0.0142,-0.0542,0.0,0.9477,148.5352,0.0
2024-07-26,Vecc_Only_mm16,18126.0,1.0,9.5285,0.146,0.1808,0.9438,0.0103,-0.0334,0.0,1.0736,202.8446,0.0
2024-07-27,Vecc_Only_mm16,18126.0,1.0,7.4388,0.1494,0.1969,1.4913,0.0032,-0.0049,0.0,0.9174,171.4052,0.0
2024-07-28,Vecc_Only_mm16,18126.0,1.0,7.4984,0.1609,0.1925,1.5314,0.0055,-0.001,0.0,0.9077,162.866,0.0
2024-07-29,Vecc_Only_mm16,18126.0,1.0,8.8412,0.183,0.222,2.6959,0.0022,-0.0101,0.0,0.9055,177.1315,0.0
2024-07-30,Vecc_Only_mm16,18126.0,1.0,5.4394,0.1079,0.1244,1.7152,-0.0004,-0.0097,0.1596,0.9489,148.5232,0.0
2024-07-31,Vecc_Only_mm16,18126.0,1.0,6.1651,0.1408,0.1457,1.5164,0.0033,-0.0074,0.4407,1.0069,125.6677,0.0
