day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2024-07-1,Vecc_Only_mm8,18126.0,1.0,13.7281,0.3013,0.3271,1.6105,-0.0016,-0.1533,0.0,0.9491,13.3524,0.0
2024-07-2,Vecc_Only_mm8,18126.0,1.0,15.0108,0.2075,0.2391,1.4895,-0.0099,-0.2112,0.0,1.1572,12.486,0.0
2024-07-3,Vecc_Only_mm8,18126.0,1.0,12.9797,0.1868,0.2062,1.325,-0.0792,-0.2519,0.0,1.1424,11.6551,0.0
2024-07-4,Vecc_Only_mm8,18126.0,1.0,13.363,0.2173,0.2674,1.8244,0.0175,-0.1305,0.0,1.0608,13.6798,0.0
2024-07-5,Vecc_Only_mm8,18126.0,1.0,13.4834,0.2089,0.2352,1.3344,0.0491,-0.115,0.0,1.1051,11.6552,0.0
2024-07-6,Vecc_Only_mm8,18126.0,1.0,14.6622,0.2278,0.247,1.2795,0.0177,-0.1033,0.0,1.1146,11.6662,0.0
2024-07-7,Vecc_Only_mm8,18126.0,1.0,16.6413,0.2716,0.3511,1.6974,0.0144,-0.3441,0.0,1.0591,13.6841,0.0
2024-07-8,Vecc_Only_mm8,18126.0,1.0,15.5747,0.2666,0.2653,1.2094,-0.0132,-0.2961,0.0,1.0888,12.4836,0.0
2024-07-9,Vecc_Only_mm8,18126.0,1.0,8.9779,0.2403,0.253,1.1437,0.0368,-0.1804,0.0,0.8515,13.4227,0.0
2024-07-10,Vecc_Only_mm8,18126.0,1.0,6.018,0.1944,0.2064,1.1534,0.0015,-0.0203,0.0,0.746,12.7729,0.0
2024-07-11,Vecc_Only_mm8,18126.0,1.0,8.1046,0.2903,0.3067,1.5033,0.0027,-0.021,0.0,0.7082,14.4162,0.0
2024-07-12,Vecc_Only_mm8,18126.0,1.0,10.7954,0.2481,0.2771,1.6129,-0.0015,-0.0002,0.0,0.9127,14.4103,0.0
2024-07-14,Vecc_Only_mm8,18126.0,1.0,8.9551,0.2467,0.2842,1.6317,0.0019,-0.0281,0.0,0.8158,14.1371,0.0
2024-07-15,Vecc_Only_mm8,18126.0,1.0,11.5293,0.246,0.271,1.8342,0.0027,0.0079,0.0,0.9496,14.2103,0.0
2024-07-16,Vecc_Only_mm8,18126.0,1.0,11.2739,0.237,0.2718,1.4434,-0.003,0.0067,0.0,0.9521,12.7572,0.0
2024-07-17,Vecc_Only_mm8,18126.0,1.0,7.7861,0.1544,0.1633,1.3939,0.0016,0.0089,0.0,0.9717,14.1544,0.0
2024-07-18,Vecc_Only_mm8,18126.0,1.0,10.0094,0.2226,0.2324,1.5463,0.0104,0.0002,0.0,0.9375,13.9542,0.0
2024-07-19,Vecc_Only_mm8,18126.0,1.0,9.5286,0.2152,0.2414,1.4662,0.0007,0.0025,0.0,0.916,12.7558,0.0
2024-07-20,Vecc_Only_mm8,18126.0,1.0,8.9517,0.1893,0.2085,1.1155,0.0055,-0.0117,0.0,0.9503,14.1346,0.0
2024-07-21,Vecc_Only_mm8,18126.0,1.0,6.9555,0.1687,0.184,0.8297,0.0165,-0.133,0.0,0.8808,12.8808,0.0
2024-07-22,Vecc_Only_mm8,18126.0,1.0,10.9812,0.209,0.2344,1.0578,0.0193,-0.0347,0.0,1.0046,11.6546,0.0
2024-07-23,Vecc_Only_mm8,18126.0,1.0,9.3413,0.184,0.1914,1.2142,0.0026,-0.0255,0.0,0.9933,12.847,0.0
2024-07-24,Vecc_Only_mm8,18126.0,1.0,8.767,0.2154,0.281,1.1798,-0.0281,-0.016,0.0,0.8463,13.3243,0.0
2024-07-25,Vecc_Only_mm8,18126.0,1.0,11.6521,0.2243,0.3349,1.203,-0.0076,-0.0441,0.0,0.939,14.6797,0.0
2024-07-26,Vecc_Only_mm8,18126.0,1.0,10.3746,0.1611,0.2024,1.0931,0.0119,-0.0211,0.0,1.0707,12.8476,0.0
2024-07-27,Vecc_Only_mm8,18126.0,1.0,9.6497,0.1842,0.254,1.7995,0.0066,-0.0031,0.0,0.9454,13.5991,0.0
2024-07-28,Vecc_Only_mm8,18126.0,1.0,7.6196,0.1628,0.1954,1.596,0.0118,0.0004,0.0,0.9122,14.2273,0.0
2024-07-29,Vecc_Only_mm8,18126.0,1.0,7.5962,0.1586,0.1991,2.3556,0.0049,-0.0074,0.0,0.8934,13.3246,0.0
2024-07-30,Vecc_Only_mm8,18126.0,1.0,5.285,0.0925,0.1119,1.5104,0.0024,-0.0066,0.0606,0.9641,13.5786,0.0
2024-07-31,Vecc_Only_mm8,18126.0,1.0,5.5022,0.1072,0.1151,1.2526,0.0077,-0.0035,0.2159,0.9987,11.2022,0.0
