day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2024-07-11,DW_Real,18126.0,1.0,4.6286,0.1596,0.142,0.6839,0.009,-0.0607,0.4204,-597037.76,15.1297,0.0
2024-07-15,DW_Real,18126.0,1.0,5.7694,0.1624,0.1746,1.1136,0.0,-0.0,0.8959,-235958.464,19.9482,0.0
2024-07-16,DW_Real,18126.0,1.0,7.1232,0.15,0.1759,0.7898,0.0112,-0.0747,0.7907,-83271.056,20.6083,0.0
2024-07-17,DW_Real,18126.0,1.0,5.1201,0.1335,0.1374,0.9629,-0.0,-0.0,1.0315,-131548.272,19.3444,0.0
2024-07-18,DW_Real,18126.0,1.0,7.4717,0.1352,0.1483,0.7615,-0.0179,-0.388,0.7151,23710.112,21.0362,0.0
2024-07-19,DW_Real,18126.0,1.0,6.6007,0.1558,0.1968,0.7584,-0.0,0.0,0.657,-257097.6,19.0971,0.0
2024-07-20,DW_Real,18126.0,1.0,6.7249,0.1388,0.1623,0.9312,0.0015,-0.3439,0.9748,-1713.984,20.9653,0.0
2024-07-21,DW_Real,18126.0,1.0,4.8431,0.139,0.1544,0.952,-0.0055,-0.2503,0.9093,-259097.248,20.3494,0.0
2024-07-22,DW_Real,18126.0,1.0,9.5667,0.1566,0.1933,0.7804,0.0216,-0.1807,0.7008,83128.224,19.1068,0.0
2024-07-24,DW_Real,18126.0,1.0,5.2398,0.1395,0.2309,0.7672,-0.0097,-0.2575,0.7571,-398072.784,21.6021,0.0
2024-07-27,DW_Real,18126.0,1.0,3.4316,0.1274,0.1854,0.812,0.0365,0.4212,1.0787,-413641.472,20.2581,0.0
2024-07-28,DW_Real,18126.0,1.0,3.865,0.1202,0.1473,1.2813,-0.0,0.0,1.2361,-231102.176,25.2495,0.0
2024-07-29,DW_Real,18126.0,1.0,3.3103,0.0814,0.0905,1.6249,-0.0,-0.0,1.0823,-253241.136,25.2522,0.0
2024-07-30,DW_Real,18126.0,1.0,3.1506,0.0961,0.122,1.7733,0.0,-0.0,1.2796,-284949.84,29.6162,0.0
2024-07-31,DW_Real,18126.0,1.0,3.7731,0.1158,0.1111,1.0649,-0.0,0.0,1.7315,19425.152,24.0294,0.0
2024-07-1,DW_Real,18126.0,1.0,10.4107,0.2285,0.3126,1.3846,-0.0019,-0.2094,0.6265,-216247.648,19.7005,0.0
2024-07-2,DW_Real,18126.0,1.0,12.3555,0.178,0.2246,1.45,-0.0248,-0.2704,0.818,229388.192,20.844,0.0
2024-07-3,DW_Real,18126.0,1.0,11.5048,0.1693,0.1845,1.202,-0.063,-0.2824,1.117,353366.368,20.1112,0.0
2024-07-4,DW_Real,18126.0,1.0,11.7714,0.1313,0.1715,1.338,0.0121,-0.1687,0.6623,364507.264,21.4019,0.0
2024-07-5,DW_Real,18126.0,1.0,11.6932,0.1305,0.1659,1.0633,0.0709,-0.2435,0.9293,456633.904,20.6419,0.0
2024-07-6,DW_Real,18126.0,1.0,12.7951,0.1841,0.2111,1.3361,0.0191,-0.345,0.8229,272380.624,21.1331,0.0
2024-07-7,DW_Real,18126.0,1.0,12.1004,0.149,0.2591,1.289,0.0125,-0.4165,0.9999,284664.176,18.6682,0.0
2024-07-8,DW_Real,18126.0,1.0,12.6649,0.1374,0.1345,0.8812,0.004,-0.3455,0.3137,417783.6,18.0278,0.0
2024-07-9,DW_Real,18126.0,1.0,8.1996,0.1784,0.2212,1.0462,0.0209,-0.2737,1.0319,-11855.056,20.6121,0.0
2024-07-10,DW_Real,18126.0,1.0,4.5843,0.1753,0.2145,0.7081,0.0,0.0,0.4056,-785147.504,14.9375,0.0
2024-07-11,DW_Real,18126.0,1.0,4.6286,0.1596,0.142,0.6839,0.009,-0.0607,0.4204,-597037.76,15.0009,0.0
2024-07-12,DW_Real,18126.0,1.0,6.1179,0.1195,0.1425,0.7811,-0.0,-0.0,0.5172,-178968.496,16.2886,0.0
2024-07-13,DW_Real,18126.0,1.0,5.1156,0.162,0.1914,0.919,0.0065,-0.0265,0.5802,-513623.872,18.0554,0.0
2024-07-14,DW_Real,18126.0,1.0,6.3409,0.2264,0.2502,1.1871,-0.005,-0.138,0.7103,-477630.208,17.4355,0.0
2024-07-15,DW_Real,18126.0,1.0,5.7694,0.1624,0.1746,1.1136,0.0,-0.0,0.8959,-235958.464,20.0164,0.0
2024-07-16,DW_Real,18126.0,1.0,7.1232,0.15,0.1759,0.7898,0.0112,-0.0747,0.7907,-83271.056,20.3802,0.0
2024-07-17,DW_Real,18126.0,1.0,5.1201,0.1335,0.1374,0.9629,-0.0,-0.0,1.0315,-131548.272,19.091,0.0
2024-07-18,DW_Real,18126.0,1.0,7.4717,0.1352,0.1483,0.7615,-0.0179,-0.388,0.7151,23710.112,21.2976,0.0
2024-07-19,DW_Real,18126.0,1.0,6.6007,0.1558,0.1968,0.7584,-0.0,0.0,0.657,-257097.6,19.3848,0.0
2024-07-20,DW_Real,18126.0,1.0,6.7249,0.1388,0.1623,0.9312,0.0015,-0.3439,0.9748,-1713.984,21.251,0.0
2024-07-21,DW_Real,18126.0,1.0,4.8431,0.139,0.1544,0.952,-0.0055,-0.2503,0.9093,-259097.248,20.6121,0.0
2024-07-22,DW_Real,18126.0,1.0,9.5667,0.1566,0.1933,0.7804,0.0216,-0.1807,0.7008,83128.224,19.3985,0.0
2024-07-23,DW_Real,18126.0,1.0,8.3093,0.1592,0.1866,1.006,0.0088,-0.0246,1.1775,136261.728,22.4148,0.0
2024-07-24,DW_Real,18126.0,1.0,5.2398,0.1395,0.2309,0.7672,-0.0097,-0.2575,0.7571,-398072.784,21.9341,0.0
