day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2024-07-01,DW_0,18126.0,0.1,12.8365,0.153,0.194,0.6407,0.069,-0.1635,0.2742,1.566,0.0,0.8208
2024-07-01,DW_1,18126.0,0.1,12.746,0.1478,0.1893,0.669,0.017,-0.1727,0.2074,1.548,0.0,0.1064
2024-07-01,DW_2,18126.0,0.1,12.3141,0.1384,0.1772,0.6541,0.0352,-0.1875,0.1376,1.561,0.0,0.2958
2024-07-01,DW_3,18126.0,0.1,13.2512,0.1512,0.1917,0.6655,-0.0048,-0.1944,0.1556,1.594,0.0,0.486
2024-07-01,DW_4,18126.0,0.1,12.5916,0.1461,0.1866,0.7063,0.0236,-0.1716,0.1904,1.498,0.0,0.0969
2024-07-01,DW_5,18126.0,0.1,12.3306,0.1429,0.1824,0.6521,-0.0299,-0.1321,0.2286,1.586,0.0,0.9015
2024-07-01,DW_6,18126.0,0.1,13.0008,0.1561,0.201,0.6682,-0.014,-0.1658,0.2985,1.538,0.0,0.6253
2024-07-01,DW_7,18126.0,0.1,12.8561,0.1484,0.1891,0.6511,0.0333,-0.1335,0.189,1.555,0.0,0.2345
2024-07-01,DW_8,18126.0,0.1,12.522,0.1517,0.1922,0.7093,0.0569,-0.172,0.3206,1.55,0.0,0.6186
2024-07-01,DW_9,18126.0,0.1,13.3415,0.1584,0.196,0.7601,0.0134,-0.1991,0.2424,1.61,0.0,0.1651
2024-07-01,DW_10,18126.0,0.1,12.9717,0.1533,0.1935,0.6569,0.0332,-0.1681,0.2509,1.588,0.0,0.1984
2024-07-01,DW_11,18126.0,0.1,12.9504,0.1551,0.1923,0.6964,0.0301,-0.1885,0.2336,1.508,0.0,0.1523
2024-07-01,DW_12,18126.0,0.1,13.1319,0.1484,0.1892,0.7225,0.0097,-0.1871,0.1302,1.567,0.0,0.2794
2024-07-01,DW_13,18126.0,0.1,12.8561,0.1466,0.1844,0.6602,0.0331,-0.1472,0.1308,1.536,0.0,0.2713
2024-07-01,DW_14,18126.0,0.1,12.7255,0.1494,0.1871,0.6863,0.0072,-0.1982,0.1805,1.467,0.0,0.2818
2024-07-01,DW_15,18126.0,0.1,12.2412,0.1406,0.178,0.6618,0.0048,-0.2087,0.1952,1.586,0.0,0.3224
