day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2024-07-01,Vecc_0,18126.0,0.1,11.4392,0.1724,0.1852,1.0488,0.0511,-0.1739,1.1884,1.3049,623.9529,1.4446
2024-07-01,Vecc_1,18126.0,0.1,12.0059,0.1837,0.1998,1.1138,0.0423,-0.1735,1.2529,1.3085,458.165,1.5419
2024-07-01,Vecc_2,18126.0,0.1,12.1554,0.1887,0.2009,1.1339,0.0389,-0.1752,1.2236,1.3036,460.0477,1.4983
2024-07-01,Vecc_3,18126.0,0.1,11.618,0.1742,0.1901,1.1168,0.043,-0.1809,1.2168,1.3082,516.0262,1.4863
2024-07-01,Vecc_0,18126.0,0.1,11.7825,0.1782,0.1919,1.0609,0.04,-0.173,1.2052,1.3069,486.8231,1.4682
2024-07-01,Vecc_1,18126.0,0.1,11.9225,0.1765,0.1922,1.0946,0.04,-0.1665,1.1562,1.3061,543.5542,1.3934
2024-07-01,Vecc_2,18126.0,0.1,11.7695,0.178,0.1944,1.1539,0.0458,-0.1816,1.2316,1.3076,488.1762,1.5101
2024-07-01,Vecc_3,18126.0,0.1,11.5825,0.1745,0.1883,1.0736,0.0397,-0.1796,1.236,1.3108,587.5539,1.5155
2024-07-01,Vecc_4,18126.0,0.1,11.5174,0.1732,0.1859,1.0734,0.0443,-0.172,1.2033,1.3076,550.6498,1.4654
2024-07-01,Vecc_5,18126.0,0.1,11.4859,0.1729,0.1865,1.0374,0.0479,-0.1645,1.2203,1.3089,507.9033,1.492
2024-07-01,Vecc_6,18126.0,0.1,11.9839,0.1866,0.1998,1.201,0.0428,-0.1709,1.2293,1.3016,549.9028,1.5075
2024-07-01,Vecc_7,18126.0,0.1,11.8796,0.1778,0.1937,1.0972,0.0395,-0.1756,1.184,1.3059,533.1891,1.4362
2024-07-01,Vecc_8,18126.0,0.1,11.9643,0.1805,0.1955,1.1323,0.0422,-0.1807,1.258,1.3136,552.5857,1.5498
2024-07-01,Vecc_9,18126.0,0.1,11.6081,0.1788,0.1947,1.1217,0.0451,-0.1696,1.2553,1.305,536.9292,1.5456
2024-07-01,Vecc_10,18126.0,0.1,11.8293,0.1804,0.1965,1.1344,0.0472,-0.1748,1.2513,1.3082,483.4703,1.5402
2024-07-01,Vecc_11,18126.0,0.1,11.7334,0.1774,0.1902,1.0797,0.0451,-0.1806,1.1726,1.3032,495.6324,1.4189
2024-07-01,Vecc_12,18126.0,0.1,11.3639,0.1704,0.1823,1.0456,0.049,-0.1653,1.2006,1.3081,488.8055,1.4622
2024-07-01,Vecc_13,18126.0,0.1,12.1538,0.1865,0.2005,1.1252,0.0383,-0.1867,1.2548,1.3099,513.9742,1.5461
2024-07-01,Vecc_14,18126.0,0.1,11.5105,0.1748,0.1894,1.0499,0.0444,-0.1718,1.2047,1.3037,456.0518,1.4675
2024-07-01,Vecc_15,18126.0,0.1,11.9139,0.1793,0.1939,1.0976,0.0431,-0.1784,1.2066,1.3083,546.6452,1.4707
2024-07-01,Vecc_16,18126.0,0.1,11.7268,0.1796,0.1947,1.1057,0.0413,-0.1777,1.2127,1.3025,521.7441,1.4802
2024-07-01,Vecc_17,18126.0,0.1,12.3437,0.1886,0.2034,1.2117,0.0521,-0.1708,1.2313,1.3078,491.3856,1.5137
2024-07-01,Vecc_18,18126.0,0.1,12.1521,0.1837,0.1967,1.1251,0.0455,-0.1769,1.1859,1.3063,540.0159,1.44
2024-07-01,Vecc_19,18126.0,0.1,11.9485,0.1836,0.1984,1.1188,0.0424,-0.1849,1.2309,1.3051,467.8636,1.5088
2024-07-01,Vecc_20,18126.0,0.1,11.9856,0.1827,0.2005,1.1489,0.0425,-0.1802,1.2513,1.3079,528.152,1.5401
2024-07-01,Vecc_21,18126.0,0.1,11.7526,0.1812,0.1962,1.1596,0.0458,-0.175,1.225,1.302,421.6146,1.5002
2024-07-01,Vecc_22,18126.0,0.1,11.725,0.1805,0.1942,1.0891,0.0546,-0.1725,1.2648,1.3087,479.0462,1.5638
2024-07-01,Vecc_23,18126.0,0.1,12.0086,0.183,0.1995,1.1319,0.0445,-0.1729,1.2219,1.3053,525.9731,1.4949
2024-07-01,Vecc_24,18126.0,0.1,11.7639,0.1797,0.1943,1.0746,0.0507,-0.177,1.2178,1.3047,533.7741,1.4898
2024-07-01,Vecc_25,18126.0,0.1,11.4532,0.1729,0.1871,1.0293,0.0392,-0.1676,1.2146,1.3068,512.702,1.4824
2024-07-01,Vecc_26,18126.0,0.1,12.2624,0.188,0.2048,1.1815,0.0472,-0.1797,1.2347,1.3057,448.8511,1.5165
2024-07-01,Vecc_27,18126.0,0.1,11.7283,0.1769,0.1939,1.1028,0.0436,-0.1827,1.2177,1.3065,383.7048,1.4879
2024-07-01,Vecc_28,18126.0,0.1,11.5235,0.1771,0.1911,1.0899,0.0419,-0.1739,1.2568,1.307,626.6063,1.5473
