day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2024-07-01,DW_0,18126.0,0.1,13.4702,0.1594,0.1972,0.6601,-0.0207,-0.1479,0.1948,1.531,0.0,0.7435
2024-07-01,DW_1,18126.0,0.1,13.9762,0.1683,0.2122,0.7787,0.0232,-0.1892,0.2964,1.62,0.0,0.115
2024-07-01,DW_2,18126.0,0.1,12.8491,0.1492,0.1892,0.6818,0.0483,-0.1685,0.2135,1.59,0.0,0.4633
2024-07-01,DW_3,18126.0,0.1,13.7472,0.1579,0.2026,0.7751,0.0307,-0.1893,0.2058,1.653,0.0,0.1799
2024-07-01,DW_4,18126.0,0.1,13.8664,0.1664,0.212,0.6723,0.0046,-0.1881,0.283,1.581,0.0,0.3101
2024-07-01,DW_5,18126.0,0.1,13.938,0.1601,0.2043,0.7367,0.0107,-0.1617,0.1751,1.607,0.0,0.226
2024-07-01,DW_6,18126.0,0.1,13.1377,0.155,0.1952,0.6872,-0.0452,-0.1616,0.2214,1.541,0.0,1.1626
2024-07-01,DW_7,18126.0,0.1,13.4688,0.1559,0.1987,0.7146,0.0048,-0.1728,0.1862,1.564,0.0,0.3096
2024-07-01,DW_8,18126.0,0.1,12.691,0.1448,0.1854,0.6685,0.0142,-0.1801,0.1937,1.621,0.0,0.1606
2024-07-01,DW_9,18126.0,0.1,13.3436,0.1518,0.1927,0.6967,0.0377,-0.1657,0.1692,1.646,0.0,0.3008
2024-07-01,DW_10,18126.0,0.1,13.4283,0.1624,0.2074,0.7617,0.0267,-0.1768,0.2828,1.493,0.0,0.1124
2024-07-01,DW_11,18126.0,0.1,13.3091,0.1543,0.1988,0.7106,0.0456,-0.1349,0.2236,1.598,0.0,0.4211
2024-07-01,DW_12,18126.0,0.1,12.6495,0.1497,0.1904,0.6585,0.014,-0.1924,0.2685,1.576,0.0,0.1514
2024-07-01,DW_13,18126.0,0.1,13.0048,0.1541,0.1971,0.6816,0.0265,-0.1609,0.2446,1.511,0.0,0.084
2024-07-01,DW_14,18126.0,0.1,13.1871,0.1557,0.197,0.7211,0.0256,-0.1802,0.214,1.503,0.0,0.088
2024-07-01,DW_15,18126.0,0.1,13.1171,0.1521,0.19,0.6667,0.0063,-0.1589,0.1987,1.627,0.0,0.2808
2024-07-01,DW_16,18126.0,0.1,13.0903,0.1495,0.1893,0.6599,0.0401,-0.1619,0.182,1.647,0.0,0.3339
2024-07-01,DW_17,18126.0,0.1,12.9167,0.1582,0.1968,0.6877,0.0555,-0.0972,0.3318,1.584,0.0,0.6191
2024-07-01,DW_18,18126.0,0.1,12.4804,0.1418,0.1804,0.7038,0.0586,-0.1572,0.1813,1.621,0.0,0.6484
2024-07-01,DW_19,18126.0,0.1,12.7813,0.1521,0.1911,0.6805,-0.0144,-0.1767,0.2431,1.523,0.0,0.6285
2024-07-01,DW_20,18126.0,0.1,13.1272,0.1564,0.2002,0.7012,0.0452,-0.1653,0.2848,1.577,0.0,0.41
