Iteration,Heads,MAPE,FrobNorm,Time,Est_SigmaSq,Est_RangeLat,Est_RangeLon,Est_RangeTime,Est_AdvecLat,Est_AdvecLon,Est_Nugget
1,0,13.709602,0.520561,97.70614,12.567453,0.141169,0.179911,1.115845,0.02434,-0.173033,0.122385
1,100,13.323568,0.462325,96.652906,12.630927,0.142159,0.181153,1.125074,0.024318,-0.172935,0.126585
1,300,12.542184,0.343692,99.091132,12.768734,0.144358,0.183922,1.146079,0.024333,-0.173159,0.136137
2,0,13.541302,0.470992,95.530257,12.611885,0.143275,0.181714,1.11346,0.027794,-0.170495,0.153629
2,100,13.265236,0.428418,94.732241,12.658155,0.143986,0.182607,1.119829,0.027763,-0.17042,0.156363
2,300,12.508123,0.317548,98.000586,12.785501,0.146042,0.185175,1.138316,0.027775,-0.170357,0.165108
3,0,12.946156,0.865315,96.075261,12.203969,0.136532,0.174495,1.061913,0.022913,-0.176729,0.132671
3,100,12.681799,0.82239,96.006687,12.247507,0.137212,0.175352,1.068282,0.022904,-0.176634,0.135582
3,300,11.831526,0.681367,97.367511,12.391631,0.139543,0.178281,1.090672,0.022965,-0.176724,0.146463
4,0,15.162793,0.849363,99.321638,12.223799,0.134875,0.172452,1.022271,0.024146,-0.172424,0.097104
4,100,14.923202,0.808215,99.009772,12.265316,0.13551,0.173253,1.027889,0.024151,-0.172377,0.099806
4,300,14.009185,0.664597,99.752724,12.410844,0.137825,0.176162,1.049029,0.024189,-0.172177,0.110816
5,0,12.070347,0.534472,99.603708,12.543432,0.140717,0.178382,1.055555,0.021411,-0.176398,0.119506
5,100,11.648814,0.462692,96.964108,12.61824,0.141896,0.179857,1.066242,0.021369,-0.176266,0.12454
5,300,10.862327,0.326001,100.374292,12.766715,0.14428,0.182842,1.089726,0.021292,-0.17684,0.135242
6,0,13.745585,0.739803,98.438292,12.334564,0.137394,0.174151,1.036095,0.022636,-0.175429,0.104017
6,100,13.379228,0.68076,98.500573,12.394584,0.138326,0.175313,1.044653,0.022618,-0.175334,0.108019
6,300,12.028939,0.479139,102.149425,12.602822,0.141683,0.179501,1.076353,0.022511,-0.17555,0.123673
7,0,14.201382,0.642474,96.892819,12.431586,0.137985,0.176728,1.048425,0.025506,-0.171453,0.119842
7,100,13.751006,0.572708,96.096632,12.503038,0.139085,0.178112,1.058247,0.025471,-0.171326,0.124604
7,300,12.843323,0.431216,98.124362,12.650716,0.141449,0.181089,1.080094,0.02547,-0.171345,0.135351
8,0,16.545653,0.707717,95.92367,12.367267,0.137049,0.174426,1.034258,0.016137,-0.171726,0.104011
8,100,16.019687,0.620014,96.010018,12.456653,0.138424,0.176156,1.046902,0.016127,-0.171581,0.110039
8,300,15.103419,0.476243,98.66329,12.605272,0.140825,0.179171,1.068614,0.016089,-0.171743,0.12144
9,0,11.14488,0.46348,95.761614,12.619372,0.141819,0.180928,1.092953,0.021396,-0.174067,0.135073
9,100,10.736773,0.393712,95.746545,12.695064,0.142989,0.182394,1.103704,0.021366,-0.173931,0.139765
9,300,9.996326,0.280191,97.709393,12.827711,0.145107,0.185062,1.123215,0.021316,-0.174087,0.14889
10,0,12.692316,0.471951,96.400067,12.618143,0.142009,0.181422,1.121812,0.023031,-0.179997,0.13258
10,100,12.267177,0.408134,98.009408,12.68939,0.143119,0.182815,1.132272,0.022999,-0.179893,0.137108
10,300,11.487261,0.295769,98.479607,12.826218,0.145303,0.185566,1.151326,0.023104,-0.179571,0.146442
11,0,12.053808,0.533649,96.380458,12.545581,0.140351,0.179957,1.076148,0.020989,-0.174036,0.124755
11,100,11.765466,0.480325,94.207952,12.601737,0.141194,0.181028,1.083934,0.020987,-0.174002,0.127871
11,300,10.961895,0.367098,97.591842,12.724116,0.143187,0.183538,1.101457,0.020994,-0.173955,0.13725
12,0,12.686646,0.642381,99.41713,12.433814,0.139469,0.17689,1.045936,0.022665,-0.170115,0.108639
12,100,12.274427,0.573756,98.023137,12.504305,0.140555,0.178243,1.055649,0.02265,-0.169993,0.113028
12,300,11.657061,0.467652,99.283618,12.614798,0.142327,0.180454,1.071767,0.02273,-0.17007,0.120977
13,0,12.236122,0.296384,97.898925,12.810853,0.144187,0.182481,1.107786,0.023589,-0.174749,0.127173
13,100,11.922015,0.256964,97.265224,12.861601,0.144971,0.183461,1.114864,0.023548,-0.17466,0.130299
13,300,10.963681,0.178415,97.690622,13.025764,0.147541,0.186657,1.138743,0.023478,-0.174555,0.14055
14,0,11.92155,0.434809,98.661687,12.650522,0.142887,0.181015,1.085516,0.021203,-0.178935,0.126702
14,100,11.572038,0.373688,99.538576,12.717345,0.143907,0.182297,1.094839,0.021184,-0.178811,0.130558
14,300,10.571731,0.242171,98.495425,12.876509,0.146473,0.185503,1.118406,0.021262,-0.178916,0.141755
15,0,12.919648,0.626146,96.498718,12.447815,0.139964,0.178244,1.070772,0.024641,-0.171877,0.132944
15,100,12.449447,0.555525,95.063809,12.520745,0.141127,0.1797,1.081525,0.024631,-0.171687,0.138243
15,300,11.511285,0.406548,98.507139,12.679356,0.143651,0.182879,1.10622,0.024546,-0.172029,0.149031
16,0,13.364205,0.673046,95.03436,12.397992,0.13889,0.177914,1.063404,0.024965,-0.178704,0.140174
16,100,12.922177,0.598583,95.879018,12.474355,0.140064,0.179392,1.074283,0.024944,-0.178559,0.144857
16,300,12.282936,0.493008,98.580264,12.583841,0.141827,0.181621,1.089426,0.02505,-0.178407,0.152898
17,0,15.402618,0.503466,97.082172,12.58073,0.14091,0.179293,1.084243,0.016815,-0.174419,0.115983
17,100,15.104444,0.450637,96.587708,12.637194,0.14177,0.180373,1.092054,0.016782,-0.174322,0.119482
17,300,14.341688,0.324189,98.538357,12.779052,0.144032,0.183207,1.112196,0.016632,-0.174242,0.129332
18,0,17.6366,0.419705,97.186364,12.664189,0.143714,0.181766,1.090946,0.032982,-0.174005,0.139421
