model,k,AIC,ΔAIC
L1+L8+L28,4,1223.1009383921244,0.0
L1+L7+L28+L19,5,1224.3592634990607,1.26
L1+L7+L28+L15,5,1224.892682968326,1.79
L1+L7+L28+L17,5,1224.9432762105016,1.84
L1+L7+L28+L18,5,1224.9466738242525,1.85
L1+L7+L28+L8,5,1225.0456772566106,1.94
L1+L7+L28+L22,5,1225.2426535801358,2.14
L1+L7+L26,4,1225.6585008692005,2.56
L1+L7+L28+L21,5,1225.6819074648624,2.58
L1+L19+L28,4,1225.9649655986887,2.86
L1+L7+L28+L14,5,1226.0019959202336,2.9
L1+L7+L14+L28,5,1226.0019959202336,2.9
L1+L7+L28+L26,5,1226.1422450445139,3.04
L1+L7+L28+L16,5,1226.175695905447,3.07
L1+L15+L28,4,1226.4082139417385,3.31
L1+L17+L28,4,1226.4155763776578,3.31
L1+L7+L28,4,1226.4300825829519,3.33
L1+L18+L28,4,1226.465517725981,3.36
L1+L7+L27,4,1226.5006847308562,3.4
L1+L7+L28+L11,5,1226.641943976553,3.54
L1+L22+L28,4,1226.654837010164,3.55
L1+L11+L28,4,1226.8339915647643,3.73
L1+L7+L28+L12,5,1226.8597607642673,3.76
L1+L7+L28+L25,5,1226.8992962124405,3.8
L1+L26,3,1226.972780736721,3.87
L1+L21+L28,4,1227.0246677129237,3.92
L1+L14+L28,4,1227.078731343884,3.98
L1+L9+L28,4,1227.148698304822,4.05
L28+L1,3,1227.2487594242186,4.15
L1+L28,3,1227.2487594242186,4.15
L1+L7+L25,4,1227.2722516514714,4.17
L1+L12+L28,4,1227.3659776226873,4.27
L1+L26+L28,4,1227.4059410932762,4.31
L1+L27,3,1227.463927544019,4.36
L1+L16+L28,4,1227.5560952850465,4.46
L1+L7+L28+L9,5,1227.643666664556,4.54
L1+L7+L28+L20,5,1227.7311355616646,4.63
L1+L7+L28+L27,5,1227.7412699661609,4.64
L1+L7+L28+L23,5,1227.7548215338793,4.65
L1+L6+L28,4,1227.7888745317337,4.69
L1+L7+L28+L13,5,1227.8385349226953,4.74
L1+L7+L28+L10,5,1227.8967091844586,4.8
L1+L7+L28+L2,5,1227.9618363149461,4.86
L1+L2+L7+L28,5,1227.9618363149464,4.86
L1+L10+L28,4,1228.0545257691397,4.95
L1+L25+L28,4,1228.077843753323,4.98
L1+L7+L28+L4,5,1228.0858316145593,4.98
L1+L7+L28+L3,5,1228.1271477669125,5.03
L1+L7+L28+L5,5,1228.3026402266698,5.2
L1+L7+L28+L24,5,1228.310287797927,5.21
L1+L7+L28+L6,5,1228.3679076552924,5.27
L1+L25,3,1228.4348111574734,5.33
L1+L13+L28,4,1228.6356751321762,5.53
L1+L27+L28,4,1228.6650905342685,5.56
L1+L2+L26,4,1228.6993581934823,5.6
L1+L23+L28,4,1228.7955563871315,5.69
L1+L20+L28,4,1228.7967498405235,5.7
L1+L2+L14+L28,5,1228.8904779398613,5.79
L1+L2+L28,4,1228.9647868165832,5.86
L1+L5+L28,4,1229.1573769558613,6.06
L1+L3+L28,4,1229.165095591355,6.06
L1+L2+L27,4,1229.1813080123945,6.08
L1+L24+L28,4,1229.2109693882667,6.11
L1+L4+L28,4,1229.2200010758168,6.12
L1+L7+L24,4,1229.699832406305,6.6
L1+L7+L22,4,1229.7639997486847,6.66
L1+L7+L23,4,1229.8873390841945,6.79
L1+L2+L25,4,1230.205495651417,7.1
L1+L24,3,1230.5256978964542,7.42
L1+L23,3,1230.8538862985292,7.75
L1+L7+L21,4,1231.1673425404522,8.07
L1+L22,3,1231.17758697367,8.08
L1+L2+L24,4,1232.2490944553922,9.15
L1+L14+L21,4,1232.2673228571366,9.17
L1+L21,3,1232.4614564494343,9.36
L1+L2+L23,4,1232.5780568928124,9.48
L1+L2+L22,4,1232.9762114991738,9.88
L1+L7+L19,4,1233.2611976801152,10.16
L1+L2+L21,4,1234.3040220286514,11.2
L1+L7+L20,4,1234.3432960530185,11.24
L1+L7+L18,4,1234.6360067096834,11.54
L1+L19,3,1234.6527009057654,11.55
L1+L20,3,1235.310950669168,12.21
L1+L7+L17,4,1235.7962067097299,12.7
L1+L18,3,1235.9329536278506,12.83
L1+L2+L19,4,1236.513880762684,13.41
L1+L17,3,1237.0968970680906,14.0
L1+L2+L20,4,1237.0974557113198,14.0
L1+L2+L18,4,1237.7795086187962,14.68
L1+L7+L15,4,1237.9175718192657,14.82
L1+L7+L16,4,1238.358335974145,15.26
L1+L2+L17,4,1238.9741503507598,15.87
L1+L15,3,1239.3501247590448,16.25
L1+L16,3,1239.636833808999,16.54
L1+L14+L7,4,1239.8115156998958,16.71
L1+L7+L14,4,1239.8115156998958,16.71
L1+L14,3,1240.8186597203742,17.72
L1+L2+L15,4,1241.2003066729674,18.1
L1+L2+L16,4,1241.481689066002,18.38
L1+L7+L12,4,1242.3041608292822,19.2
L1+L8,3,1242.4273821031888,19.33
L1+L7+L13,4,1242.4322650175002,19.33
L1+L14+L2,4,1242.6930147854082,19.59
L1+L2+L14,4,1242.6930147854084,19.59
L1+L12,3,1242.7569845466235,19.66
L1+L14+L3,4,1242.7972249653458,19.7
L1+L7+L11,4,1242.9790030365236,19.88
L1+L11,3,1243.1660746402467,20.07
L1+L13,3,1243.2030282844667,20.1
L1+L2+L8,4,1244.0729769625877,20.97
L1+L7+L8,4,1244.3639673438965,21.26
L1+L2+L12,4,1244.5966219343409,21.5
L1+L2+L11,4,1245.0293943481877,21.93
L1+L2+L13,4,1245.029580887309,21.93
L1+L7+L10,4,1245.0644257529354,21.96
L1+L10,3,1245.3159778228105,22.22
L1+L9,3,1245.9037538479743,22.8
L1+L7+L9,4,1246.2378794321603,23.14
L1+L7,3,1246.8539095906215,23.75
L7+L1,3,1246.8539095906215,23.75
L1+L2+L10,4,1247.1580307266952,24.06
L1+L2+L9,4,1247.6642722944305,24.56
L1+L7+L4,4,1248.4312231857737,25.33
L1+L7+L2,4,1248.478251216122,25.38
L1+L2+L7,4,1248.4782512161223,25.38
L1+L7+L3,4,1248.5970706741216,25.5
L1+L7+L5,4,1248.648011288678,25.55
L1+L7+L6,4,1248.8149994230773,25.71
L1+L6,3,1249.1637372033779,26.06
L1+L2+L6,4,1250.8013621871464,27.7
