source,time0_utc,time1_utc,time_pair,dt_hours,row_shift,col_shift,peak_corr,valid_pixels,dlat_deg,dlon_deg,v_lat_kmh,v_lon_kmh,speed_kmh,bearing_to_deg,wind_from_deg
GEOS-CF,2024-07-14 00:30:00,2024-07-14 01:30:00,00-01 UTC,1.0,0,0,0.5176273864975194,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 01:30:00,2024-07-14 02:30:00,01-02 UTC,1.0,0,0,0.5737988045156392,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 02:30:00,2024-07-14 03:30:00,02-03 UTC,1.0,0,0,0.5751377867195736,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 03:30:00,2024-07-14 04:30:00,03-04 UTC,1.0,0,0,0.6197647157203919,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 04:30:00,2024-07-14 05:30:00,04-05 UTC,1.0,0,0,0.5148645339762045,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 05:30:00,2024-07-14 06:30:00,05-06 UTC,1.0,0,0,0.5309485034318029,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 06:30:00,2024-07-14 07:30:00,06-07 UTC,1.0,0,0,0.6381771869425658,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 07:30:00,2024-07-14 08:30:00,07-08 UTC,1.0,0,0,0.596439877507967,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 08:30:00,2024-07-14 09:30:00,08-09 UTC,1.0,0,0,0.6528408118904128,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 09:30:00,2024-07-14 10:30:00,09-10 UTC,1.0,0,0,0.624443845667214,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 10:30:00,2024-07-14 11:30:00,10-11 UTC,1.0,0,0,0.6148681384092765,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 11:30:00,2024-07-14 12:30:00,11-12 UTC,1.0,0,0,0.6635635396174543,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 12:30:00,2024-07-14 13:30:00,12-13 UTC,1.0,0,0,0.653061721604992,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 13:30:00,2024-07-14 14:30:00,13-14 UTC,1.0,0,0,0.6521338488566125,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 14:30:00,2024-07-14 15:30:00,14-15 UTC,1.0,0,0,0.7039224793413442,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 15:30:00,2024-07-14 16:30:00,15-16 UTC,1.0,0,0,0.6823623717184525,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 16:30:00,2024-07-14 17:30:00,16-17 UTC,1.0,0,0,0.6544339100664534,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 17:30:00,2024-07-14 18:30:00,17-18 UTC,1.0,0,0,0.660291113862191,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 18:30:00,2024-07-14 19:30:00,18-19 UTC,1.0,0,0,0.7023114908396778,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 19:30:00,2024-07-14 20:30:00,19-20 UTC,1.0,0,0,0.702136133489558,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 20:30:00,2024-07-14 21:30:00,20-21 UTC,1.0,0,0,0.636658174866707,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 21:30:00,2024-07-14 22:30:00,21-22 UTC,1.0,0,0,0.7048934862405596,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
GEOS-CF,2024-07-14 22:30:00,2024-07-14 23:30:00,22-23 UTC,1.0,0,0,0.6483376824794604,861,0.0,0.0,0.0,0.0,0.0,0.0,180.0
