year,month,model_variant,model_label,direction,bin_idx,k_mid,n_days,loss_median,loss_mean,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,ratio_EI_over_continuous_p10,ratio_EI_over_continuous_p90,whitened_ratio_mean,whitened_ratio_median,whitened_ratio_p10,whitened_ratio_p90,global_scale_mean,profile_sigmasq_mean
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,0,0.086451,30,,,736.542751,903.920043,845.921271,2714.492285,2529.562625,1.399682,1.197758,0.322030,2.555943,1.420538,1.207074,0.337841,2.595779,0.853349,0.850665,0.788181,0.918230,3.041146,2.463521,0.810178,6.327122,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,1,0.259354,30,,,46.611976,70.704869,66.757540,67.431484,63.706104,0.743262,0.525222,0.354611,1.374091,0.760782,0.527640,0.358890,1.364438,1.033970,1.036027,1.010819,1.056264,1.700465,1.235015,0.659750,2.996878,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,2,0.432257,30,,,13.352134,20.361984,19.313475,19.535832,18.554474,0.646420,0.549740,0.338629,1.024520,0.664005,0.581377,0.356820,1.025783,1.030213,1.021177,1.003452,1.063228,1.074383,0.999788,0.596597,1.782864,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,4,0.778063,30,,,4.282161,7.485167,7.127872,7.250850,6.916804,0.603949,0.544976,0.343184,0.891624,0.620339,0.563318,0.348896,0.889860,1.021688,1.008517,0.997309,1.057227,0.902003,0.882388,0.501039,1.221137,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,5,0.950966,30,,,2.519440,4.398011,4.196988,4.249741,4.063255,0.551277,0.503382,0.320880,0.768273,0.569443,0.542568,0.322329,0.772350,1.024750,1.010781,0.999184,1.058399,0.696369,0.679758,0.476138,0.946327,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,6,1.123869,30,,,2.044007,3.038194,2.903983,2.926254,2.802260,0.692878,0.600858,0.315042,1.248851,0.711579,0.598802,0.354270,1.302437,1.029567,1.015005,1.002052,1.065787,0.815812,0.776033,0.329506,1.488407,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,7,1.296772,30,,,1.524154,2.669518,2.552279,2.578838,2.470958,0.587051,0.559080,0.314230,0.917460,0.601960,0.561150,0.326198,0.921621,1.025588,1.010230,0.999393,1.056219,0.726629,0.748141,0.374239,1.087261,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,8,1.469674,30,,,1.214272,1.773067,1.698968,1.716899,1.647874,0.682350,0.652583,0.472499,0.975682,0.704492,0.657272,0.480517,0.983273,1.025787,1.012044,1.000588,1.063462,0.807662,0.727695,0.554177,1.158566,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,9,1.642577,30,,,0.921578,1.323224,1.268885,1.272551,1.222901,0.737008,0.684306,0.498603,1.014270,0.756191,0.690196,0.536495,1.029723,1.032045,1.011938,1.001422,1.074887,0.772029,0.757658,0.515028,1.021919,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,11,1.988383,30,,,0.675132,0.937684,0.900464,0.901187,0.867268,0.709119,0.670718,0.526671,0.940157,0.730092,0.678696,0.559207,0.946797,1.033476,1.012862,1.002267,1.089594,0.765116,0.755034,0.572244,0.971967,0.970030,17.465490
