year,month,day_idx,day,model_variant,model_label,loss,bin_idx,k_mid,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_I_over_EI_mean,global_scale,profile_sigmasq
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,0,0.086451,2.738427,1.791844,3.414558,2.685366,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,1,0.259354,1.573347,0.475116,3.035244,1.542861,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,2,0.432257,1.034418,0.525384,1.586093,1.014375,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,3,0.605160,1.172524,0.404849,2.020617,1.149805,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,4,0.778063,0.701210,0.361561,1.249993,0.687623,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,5,0.950966,0.793816,0.442421,1.437799,0.778434,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,6,1.123869,1.014153,0.488614,1.706269,0.994502,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,7,1.296772,0.850792,0.377492,1.544491,0.834307,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,8,1.469674,1.008978,0.433238,1.657359,0.989428,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,9,1.642577,0.990254,0.442184,1.685343,0.971066,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,10,1.815480,0.959362,0.501145,1.498795,0.940773,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,11,1.988383,1.067191,0.562711,1.545632,1.046513,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,12,2.161286,1.070442,0.644197,1.615315,1.049701,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,13,2.334189,1.287753,0.533486,2.177712,1.262801,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,14,2.507092,1.157530,0.654908,1.620378,1.135101,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,15,2.679994,1.099589,0.608055,1.710924,1.078283,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,16,2.852897,1.112325,0.558134,1.694520,1.090772,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,17,3.025800,1.131446,0.634767,1.667189,1.109522,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,18,3.198703,1.114009,0.639056,1.526544,1.092424,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,19,3.371606,1.163641,0.471222,1.899342,1.141094,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,20,3.544509,1.178697,0.654556,1.739233,1.155858,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,21,3.717412,1.171363,0.671726,1.729238,1.148666,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,22,3.890315,1.150518,0.655316,1.756384,1.128225,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,23,4.063217,1.209562,0.712218,1.762294,1.186125,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,24,4.236120,1.169667,0.619630,1.824983,1.147003,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,25,4.409023,1.286017,0.667458,1.998422,1.261098,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,26,4.581926,1.145080,0.620151,1.723988,1.122892,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,27,4.754829,1.148886,0.618995,1.717877,1.126625,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,28,4.927732,1.203425,0.668060,1.847587,1.180107,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,29,5.100635,1.155720,0.583794,1.626502,1.133327,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,30,5.273538,1.089635,0.662277,1.567643,1.068522,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,31,5.446440,1.114227,0.684443,1.635558,1.092637,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,32,5.619343,1.100601,0.633329,1.582720,1.079276,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,33,5.792246,1.104139,0.619900,1.691072,1.082745,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,34,5.965149,1.120510,0.611300,1.683113,1.098799,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,35,6.138052,1.064411,0.615484,1.672074,1.043786,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,36,6.310955,1.121433,0.611645,1.643362,1.099703,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,37,6.483858,1.015975,0.566622,1.491083,0.996289,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,38,6.656761,1.009155,0.626498,1.481870,0.989601,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,39,6.829663,1.112349,0.634313,1.668105,1.090795,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,40,7.002566,1.056949,0.629776,1.540201,1.036469,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,41,7.175469,1.082606,0.630020,1.677979,1.061629,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,42,7.348372,1.052924,0.636250,1.495643,1.032522,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,43,7.521275,1.054775,0.608801,1.646799,1.034337,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,44,7.694178,1.054770,0.578810,1.527051,1.034333,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,45,7.867081,1.014134,0.533991,1.480870,0.994483,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,46,8.039983,0.990376,0.550784,1.429916,0.971187,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,47,8.212886,0.962175,0.530027,1.536220,0.943531,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,48,8.385789,0.997269,0.506928,1.481261,0.977946,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,49,8.558692,0.957246,0.550286,1.391070,0.938698,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,50,8.731595,1.079746,0.591373,1.498300,1.058824,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,51,8.904498,0.945858,0.539465,1.438872,0.927530,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,52,9.077401,0.884678,0.496999,1.311850,0.867536,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,53,9.250304,0.946666,0.501355,1.481129,0.928323,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,54,9.423206,0.975180,0.528734,1.365867,0.956284,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,55,9.596109,0.955294,0.488917,1.420290,0.936784,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,56,9.769012,0.856726,0.450403,1.295088,0.840126,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,57,9.941915,0.897233,0.495595,1.263563,0.879848,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,58,10.114818,0.914396,0.484075,1.285822,0.896679,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,59,10.287721,0.916042,0.536268,1.305621,0.898293,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,60,10.460624,0.801786,0.469962,1.166763,0.786250,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,61,10.633527,0.837940,0.474489,1.265970,0.821704,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,62,10.806429,0.882717,0.488504,1.267770,0.865613,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,63,10.979332,0.845493,0.487864,1.206433,0.829111,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,64,11.152235,0.864721,0.442983,1.183253,0.847965,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,65,11.325138,0.840331,0.500621,1.242423,0.824048,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,66,11.498041,0.769187,0.457423,1.166518,0.754283,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,67,11.670944,0.795273,0.510858,1.195587,0.779864,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,68,11.843847,0.811965,0.502096,1.245581,0.796232,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,69,12.016750,0.789863,0.452401,1.207774,0.774558,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,70,12.189652,0.741258,0.447812,1.069930,0.726896,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,71,12.362555,0.801106,0.490023,1.145878,0.785584,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,72,12.535458,0.763997,0.503160,1.120978,0.749193,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,73,12.708361,0.723103,0.414889,1.116474,0.709091,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,74,12.881264,0.734382,0.451836,1.177241,0.720152,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,75,13.054167,0.796830,0.564049,1.170161,0.781390,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,76,13.227070,0.730473,0.419361,1.104960,0.716319,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,77,13.399972,0.793898,0.433791,1.167507,0.778515,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,78,13.572875,0.728017,0.434432,1.076815,0.713911,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,79,13.745778,0.843057,0.361989,1.467257,0.826722,0.980624,14.424325
