year,month,model_variant,model_label,parameter,n,mean,median,sd,p10,p90
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,sigmasq,30,22.604578,22.281472,8.865599,11.063851,34.093095
2025,7,gc_a075_b1,GC a=0.75 b=1 nugget0,sigmasq,30,17.127117,17.004063,6.231885,9.137741,24.910929
2025,7,matern_s03,Matern s=0.3 nugget0,sigmasq,30,14.996278,15.100145,4.603142,8.302539,21.364510
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,range_lat,30,0.165277,0.148977,0.105794,0.040699,0.299975
2025,7,gc_a075_b1,GC a=0.75 b=1 nugget0,range_lat,30,0.291062,0.269037,0.171388,0.084286,0.503971
2025,7,matern_s03,Matern s=0.3 nugget0,range_lat,30,0.248708,0.241250,0.138371,0.085289,0.377031
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,range_lon,30,0.224778,0.221018,0.131565,0.057094,0.410876
2025,7,gc_a075_b1,GC a=0.75 b=1 nugget0,range_lon,30,0.396629,0.390048,0.213499,0.119793,0.680819
2025,7,matern_s03,Matern s=0.3 nugget0,range_lon,30,0.340703,0.316002,0.174362,0.120823,0.551591
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,range_time,30,0.916886,0.767324,0.446171,0.492909,1.465070
2025,7,gc_a075_b1,GC a=0.75 b=1 nugget0,range_time,30,1.640546,1.437494,0.689662,0.985076,2.471139
2025,7,matern_s03,Matern s=0.3 nugget0,range_time,30,1.488274,1.404895,0.445240,1.026168,1.901876
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,advec_lat,30,0.000168,-0.000027,0.029455,-0.031120,0.043406
2025,7,gc_a075_b1,GC a=0.75 b=1 nugget0,advec_lat,30,0.000186,-0.000047,0.029341,-0.031059,0.043138
2025,7,matern_s03,Matern s=0.3 nugget0,advec_lat,30,0.000415,-0.000298,0.028257,-0.030247,0.041762
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,advec_lon,30,-0.125312,-0.053307,0.136555,-0.338735,0.005131
2025,7,gc_a075_b1,GC a=0.75 b=1 nugget0,advec_lon,30,-0.125085,-0.052887,0.135327,-0.336985,0.004769
2025,7,matern_s03,Matern s=0.3 nugget0,advec_lon,30,-0.122357,-0.042152,0.137126,-0.334766,0.003117
2025,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
2025,7,gc_a075_b1,GC a=0.75 b=1 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
2025,7,matern_s03,Matern s=0.3 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
