hour_index,day_index,hour_slot,hour_utc,hour,month,method,nugget_mode,tile_id,tile_y,tile_x,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_center_lat,tile_center_lon,sigmasq,range_lat,range_lon,smooth,nugget,phi1,phi2,phi3,sigma,success,loss,message,n_eval,raw_params,nll,n_restarts,fit_engine,fit_method,n,n_fit,n_initial_fit,outlier_whitened_threshold,n_qc_initial_fit,n_qc_removed,n_qc_fit,qc_max_abs_whitened,qc_refit,qc_initial_success,qc_precomputed,qc_initial_method,qc_tile_y,qc_tile_x,qc_tile_max_points,qc_tile_workers,qc_tiles_fit,qc_tiles_failed,qc_tiles_too_small,qc_global_removed,qc_global_max_abs_whitened,qc_global_message
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,0,0,0,-2.988000,-1.745000,121.046000,123.534500,-2.366500,122.290250,10.525327,0.399224,0.417414,0.393397,0.000000,25.215556,2.395703,1.093204,3.244276,True,1.860363,finite_loss,46,"[3.2274611167087577, 0.8736766677451546, 0.08911304045480296, -1.8139440352318237, -14.773457280956428]",1099.474697,1,torch_full_bessel_autograd,full_likelihood,591,591,591,10.000000,591,0,591,4.035229,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,1,0,1,-2.988000,-1.745000,123.534500,126.023000,-2.366500,124.778750,8.423915,0.230129,0.204587,0.274183,0.000001,41.175312,4.887907,0.790335,2.902398,True,2.091134,finite_loss,49,"[3.717838848814641, 1.5867641716075933, -0.23529885908106044, -2.2954173975183023, -13.598320537676948]",2122.500708,1,torch_full_bessel_autograd,full_likelihood,1015,1015,1015,10.000000,1015,0,1015,3.633440,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,2,0,2,-2.988000,-1.745000,126.023000,128.511500,-2.366500,127.267250,5.570786,0.134284,0.135413,0.598699,0.653077,41.139230,7.384816,1.016889,2.360251,True,1.929269,finite_loss,25,"[3.7169621783603755, 1.999426001861634, 0.01674788658170814, -1.2427437702164692, -0.42606056841528195]",2180.073683,1,torch_full_bessel_autograd,full_likelihood,1130,1130,1130,10.000000,1130,0,1130,3.779592,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,3,0,3,-2.988000,-1.745000,128.511500,131.000000,-2.366500,129.755750,11.000487,0.215664,0.211534,0.492533,0.000004,52.003293,4.727363,0.962071,3.316698,True,1.958383,finite_loss; precomputed_vecchia_whitened_outlier_qc |w|>10 removed 1/1094,58,"[3.9513070388373244, 1.5533675045499957, -0.03866687095773751, -1.5121136089901777, -12.432504369938691]",2140.512091,1,torch_full_bessel_autograd,full_likelihood,1094,1093,1094,10.000000,1094,1,1093,18.501346,True,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,4,1,0,-1.745000,-0.502000,121.046000,123.534500,-1.123500,122.290250,9.513101,0.332339,0.389318,0.331377,0.000007,24.435269,2.568591,1.372295,3.084331,True,1.932951,finite_loss,44,"[3.196027529507993, 0.9433576714928645, 0.3164847470700109, -2.042154087561327, -11.847226682990474]",1712.594418,1,torch_full_bessel_autograd,full_likelihood,886,886,886,10.000000,886,0,886,3.727887,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,5,1,1,-1.745000,-0.502000,123.534500,126.023000,-1.123500,124.778750,9.241990,0.224365,0.294315,0.297811,0.000007,31.401676,3.397718,1.720740,3.040064,True,2.060084,finite_loss,55,"[3.446861274691937, 1.2231040308440613, 0.5427546016479528, -2.1845413035771672, -11.820534289482563]",2296.994076,1,torch_full_bessel_autograd,full_likelihood,1115,1115,1115,10.000000,1115,0,1115,5.448485,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,6,1,2,-1.745000,-0.502000,126.023000,128.511500,-1.123500,127.267250,17.116718,0.149693,0.168267,0.534758,0.000000,101.723408,5.942927,1.263557,4.137236,True,2.282201,finite_loss,42,"[4.622257438896312, 1.7822017901725309, 0.23393089081679122, -1.3997201784200388, -14.740368193678457]",2371.206880,1,torch_full_bessel_autograd,full_likelihood,1039,1039,1039,10.000000,1039,0,1039,4.717311,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,7,1,3,-1.745000,-0.502000,128.511500,131.000000,-1.123500,129.755750,16.622074,0.350407,0.471999,0.323376,0.482284,35.216338,2.118649,1.814415,4.077018,True,2.248708,finite_loss,36,"[3.561510129416796, 0.7507785597457155, 0.5957632724845884, -2.0746832787357516, -0.7292217273045218]",2100.292932,1,torch_full_bessel_autograd,full_likelihood,934,934,934,10.000000,934,0,934,4.349355,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,8,2,0,-0.502000,0.741000,121.046000,123.534500,0.119500,122.290250,7.747898,0.117108,0.203438,0.461596,0.953572,38.084814,4.915503,3.017799,2.783505,True,2.139528,finite_loss,27,"[3.6398156196032754, 1.5923940444364044, 1.104527668890512, -1.5998790674349672, -0.04754025783444603]",2053.946598,1,torch_full_bessel_autograd,full_likelihood,960,960,960,10.000000,960,0,960,4.487867,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,9,2,1,-0.502000,0.741000,123.534500,126.023000,0.119500,124.778750,12.839738,0.250308,0.281198,0.467532,0.000000,45.660768,3.556207,1.262045,3.583258,True,1.983917,finite_loss,42,"[3.821239453800278, 1.2686945231718048, 0.23273355060061288, -1.5826451057500779, -15.270871081379]",1950.189952,1,torch_full_bessel_autograd,full_likelihood,983,983,983,10.000000,983,0,983,3.976224,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,10,2,2,-0.502000,0.741000,126.023000,128.511500,0.119500,127.267250,14.450927,0.240426,0.336839,0.402257,0.397155,42.901561,2.968776,1.962827,3.801437,True,2.164679,finite_loss,34,"[3.758908201323481, 1.08814965782423, 0.6743855497941162, -1.7842561744127667, -0.9234290179140293]",2277.242044,1,torch_full_bessel_autograd,full_likelihood,1052,1052,1052,10.000000,1052,0,1052,3.554582,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,11,2,3,-0.502000,0.741000,128.511500,131.000000,0.119500,129.755750,12.787872,0.109266,0.182053,0.396807,1.427258,70.242410,5.492893,2.776065,3.576013,True,2.433484,finite_loss; precomputed_vecchia_whitened_outlier_qc |w|>10 removed 2/1103,29,"[4.251952252685479, 1.7034550118716087, 1.0210344208278372, -1.8024428905988044, 0.35575514725170565]",2679.265637,1,torch_full_bessel_autograd,full_likelihood,1103,1101,1103,10.000000,1103,2,1101,14.062485,True,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,12,3,0,0.741000,1.984000,121.046000,123.534500,1.362500,122.290250,4.704512,0.115901,0.200079,0.354767,0.000003,23.513320,4.998035,2.980093,2.168989,True,1.811026,finite_loss,60,"[3.1575670489322136, 1.6090449188412337, 1.0919546463624412, -1.9514548634742868, -12.650566176847642]",2086.301434,1,torch_full_bessel_autograd,full_likelihood,1152,1152,1152,10.000000,1152,0,1152,5.084550,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,13,3,1,0.741000,1.984000,123.534500,126.023000,1.362500,124.778750,16.284978,0.488601,0.753914,0.422586,0.000000,21.600586,1.326412,2.380859,4.035465,True,1.818915,finite_loss,52,"[3.0727204244593804, 0.2824773121925074, 0.8674615120380904, -1.7184103124215002, -14.817201320934736]",2062.649569,1,torch_full_bessel_autograd,full_likelihood,1134,1134,1134,10.000000,1134,0,1134,4.622497,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,14,3,2,0.741000,1.984000,126.023000,128.511500,1.362500,127.267250,19.819363,0.200907,0.226188,0.493244,0.000001,87.623222,4.421092,1.267510,4.451894,True,2.261779,finite_loss,43,"[4.4730460526529106, 1.4863866685419442, 0.23705407122229566, -1.5101543399977977, -14.007428061104656]",2402.009408,1,torch_full_bessel_autograd,full_likelihood,1062,1062,1062,10.000000,1062,0,1062,4.247937,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
56,8,0,0,2024-07-08T00:00:00Z,2024-07,full_likelihood,free,15,3,3,0.741000,1.984000,128.511500,131.000000,1.362500,129.755750,13.379573,0.073209,0.110147,0.559569,0.000002,121.470632,9.078813,2.263688,3.657810,True,2.393865,finite_loss,49,"[4.799672524358267, 2.205943415246424, 0.8169954858962686, -1.3371000294520101, -13.066917421495985]",2714.643091,1,torch_full_bessel_autograd,full_likelihood,1134,1134,1134,10.000000,1134,0,1134,3.763219,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,3,18.501346,
