hour_index,day_index,hour_slot,hour_utc,hour,hour_exact,hour_key,n_rows,source_file
0,1,0,0,2024-07-01T00:00:00Z,2024-07-01T00:56:00Z,y24m07day01_hm00:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
1,1,1,1,2024-07-01T01:00:00Z,2024-07-01T01:56:00Z,y24m07day01_hm01:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
2,1,2,2,2024-07-01T02:00:00Z,2024-07-01T02:56:00Z,y24m07day01_hm02:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
3,1,3,3,2024-07-01T03:00:00Z,2024-07-01T03:56:00Z,y24m07day01_hm03:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
4,1,4,4,2024-07-01T04:00:00Z,2024-07-01T04:52:00Z,y24m07day01_hm04:52,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
5,1,5,5,2024-07-01T05:00:00Z,2024-07-01T05:52:00Z,y24m07day01_hm05:52,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
6,1,6,6,2024-07-01T06:00:00Z,2024-07-01T06:52:00Z,y24m07day01_hm06:52,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
7,1,7,7,2024-07-01T07:00:00Z,2024-07-01T07:52:00Z,y24m07day01_hm07:52,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
8,2,0,0,2024-07-02T00:00:00Z,2024-07-02T00:56:00Z,y24m07day02_hm00:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
9,2,1,1,2024-07-02T01:00:00Z,2024-07-02T01:56:00Z,y24m07day02_hm01:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
10,2,2,2,2024-07-02T02:00:00Z,2024-07-02T02:56:00Z,y24m07day02_hm02:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
11,2,3,3,2024-07-02T03:00:00Z,2024-07-02T03:56:00Z,y24m07day02_hm03:56,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
12,2,4,4,2024-07-02T04:00:00Z,2024-07-02T04:52:00Z,y24m07day02_hm04:52,72504,/home/jl2815/tco/data/pickle_2024/tco_grid_lat-3to7_lon111to131_24_07.pkl
