variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n0,1,32.03665345,0.64880876,0.82960103,0.64880876,0.82960103,0.00026727,0.00020902,-0.00005824,-0.03420631,0.03474085
s05_n0,2,30.16002810,0.03195829,0.94604115,0.68076704,1.77564218,0.00057205,0.00021932,-0.00035273,-0.03390153,0.03504563
s05_n0,3,29.91612385,1.01595662,0.88498588,1.69672366,2.66062805,0.00085716,0.00054662,-0.00031054,-0.03361642,0.03533074
s05_n0,4,29.37989419,0.08313260,0.91305459,1.77985627,3.57368264,0.00115132,0.00057341,-0.00057791,-0.03332226,0.03562489
s05_n0,5,29.17778703,1.30772480,0.85681970,3.08758107,4.43050235,0.00142735,0.00099471,-0.00043264,-0.03304623,0.03590093
s05_n0,6,28.79079017,1.58166367,0.87437994,4.66924475,5.30488228,0.00170905,0.00150427,-0.00020478,-0.03276453,0.03618263
s05_n0,7,28.67996176,0.23518782,0.92919770,4.90443257,6.23407999,0.00200840,0.00158004,-0.00042837,-0.03246518,0.03648198
s05_n0,8,28.19460503,20.92155580,0.99739739,25.82598836,7.23147738,0.00232973,0.00832023,0.00599050,-0.03214385,0.03680331
s05_n0,9,27.67396732,1.16253034,0.92856051,26.98851871,8.16003789,0.00262888,0.00869475,0.00606588,-0.03184470,0.03710246
s05_n0,10,27.51263073,0.03012195,0.99071494,27.01864066,9.15075283,0.00294805,0.00870446,0.00575641,-0.03152553,0.03742163
s05_n0,11,27.14760342,5.81056112,0.99810498,32.82920178,10.14885781,0.00326961,0.01057642,0.00730681,-0.03120397,0.03774319
s05_n0,12,26.96121853,0.03534332,0.92039376,32.86454510,11.06925157,0.00356612,0.01058780,0.00702168,-0.03090745,0.03803970
s05_n0,13,26.72045529,0.23515607,0.98612388,33.09970117,12.05537545,0.00388382,0.01066356,0.00677974,-0.03058976,0.03835740
s05_n0,14,26.43200042,2.89530004,0.94100706,35.99500121,12.99638251,0.00418698,0.01159633,0.00740935,-0.03028660,0.03866056
s05_n0,15,26.32714877,0.14373071,0.99497970,36.13873192,13.99136221,0.00450753,0.01164263,0.00713511,-0.02996605,0.03898111
s05_n0,16,25.93401205,14.76009745,0.99397973,50.89882937,14.98534194,0.00482775,0.01639782,0.01157007,-0.02964583,0.03930133
s05_n0,17,25.91000675,0.05318957,0.97931017,50.95201894,15.96465210,0.00514325,0.01641495,0.01127170,-0.02933033,0.03961683
s05_n0,18,25.73040369,22.11990495,0.93136341,73.07192389,16.89601551,0.00544330,0.02354121,0.01809791,-0.02903028,0.03991688
s05_n0,19,25.40024942,10.82196479,0.98684369,83.89388868,17.88285920,0.00576123,0.02702767,0.02126644,-0.02871235,0.04023481
s05_n0,20,25.35588728,6.42588068,0.95852807,90.31976936,18.84138727,0.00607003,0.02909786,0.02302783,-0.02840354,0.04054361
s05_n0,21,25.17581906,0.15484844,0.99014927,90.47461779,19.83153654,0.00638903,0.02914775,0.02275872,-0.02808455,0.04086261
s05_n0,22,24.92382122,0.00409699,0.98930794,90.47871479,20.82084447,0.00670775,0.02914907,0.02244132,-0.02776583,0.04118133
s05_n0,23,24.88222259,5.36765431,0.98470382,95.84636910,21.80554830,0.00702498,0.03087834,0.02385336,-0.02744860,0.04149856
s05_n0,24,24.84346963,0.11554872,0.99681974,95.96191782,22.80236803,0.00734612,0.03091557,0.02356944,-0.02712746,0.04181970
s05_n0,25,24.60403754,0.26792851,0.98858340,96.22984633,23.79095143,0.00766461,0.03100188,0.02333727,-0.02680897,0.04213819
s05_n0,26,24.44356545,0.27365117,0.99411645,96.50349750,24.78506788,0.00798488,0.03109004,0.02310516,-0.02648870,0.04245846
s05_n0,27,24.34816989,0.12893103,0.99919970,96.63242853,25.78426758,0.00830679,0.03113158,0.02282479,-0.02616679,0.04278037
s05_n0,28,24.21751026,3.94875264,0.99735686,100.58118117,26.78162444,0.00862810,0.03240373,0.02377563,-0.02584548,0.04310168
s05_n0,29,24.06838344,3.83704570,0.98472582,104.41822687,27.76635026,0.00894534,0.03363989,0.02469455,-0.02552823,0.04341892
s05_n0,30,23.87003520,0.00138580,0.98979685,104.41961267,28.75614711,0.00926422,0.03364034,0.02437612,-0.02520936,0.04373780
s05_n0,31,23.59869467,3.95887081,0.99437464,108.37848347,29.75052176,0.00958458,0.03491575,0.02533117,-0.02488900,0.04405815
s05_n0,32,23.52530485,2.16574492,0.99889045,110.54422839,30.74941220,0.00990638,0.03561348,0.02570709,-0.02456720,0.04437996
