variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n1_rangelon_short,1,22.52811736,0.93867944,0.82108452,0.93867944,0.82108452,0.00026452,0.00030241,0.00003788,-0.03420905,0.03473810
s05_n1_rangelon_short,2,21.14886055,1.30948632,0.86815400,2.24816576,1.68923852,0.00054421,0.00072428,0.00018007,-0.03392937,0.03501779
s05_n1_rangelon_short,3,21.12317017,0.02077022,0.96700146,2.26893598,2.65623998,0.00085575,0.00073097,-0.00012478,-0.03361783,0.03532933
s05_n1_rangelon_short,4,20.67378001,0.01368578,0.90570982,2.28262176,3.56194980,0.00114754,0.00073538,-0.00041215,-0.03332604,0.03562111
s05_n1_rangelon_short,5,20.59068454,2.04375389,0.84855253,4.32637564,4.41050233,0.00142091,0.00139381,-0.00002710,-0.03305267,0.03589449
s05_n1_rangelon_short,6,20.24872614,1.97045709,0.85178067,6.29683273,5.26228300,0.00169532,0.00202862,0.00033330,-0.03277826,0.03616890
s05_n1_rangelon_short,7,20.17332651,0.31103388,0.93173298,6.60786662,6.19401598,0.00199549,0.00212882,0.00013333,-0.03247808,0.03646907
s05_n1_rangelon_short,8,19.82769000,31.75413090,0.99965253,38.36199752,7.19366851,0.00231755,0.01235889,0.01004134,-0.03215603,0.03679113
s05_n1_rangelon_short,9,19.59290525,2.04370311,0.91790751,40.40570063,8.11157601,0.00261327,0.01301730,0.01040403,-0.03186031,0.03708684
s05_n1_rangelon_short,10,19.36956314,0.36887909,0.99510082,40.77457972,9.10667683,0.00293385,0.01313614,0.01020229,-0.03153973,0.03740743
s05_n1_rangelon_short,11,19.15036718,0.22713596,0.92837357,41.00171568,10.03505040,0.00323294,0.01320932,0.00997637,-0.03124064,0.03770652
s05_n1_rangelon_short,12,19.08510734,5.56614491,0.99265395,46.56786059,11.02770435,0.00355274,0.01500253,0.01144979,-0.03092084,0.03802632
s05_n1_rangelon_short,13,18.79328762,0.01751255,0.98187735,46.58537314,12.00958170,0.00386907,0.01500817,0.01113911,-0.03060451,0.03834265
s05_n1_rangelon_short,14,18.61877371,1.33970645,0.93260288,47.92507960,12.94218458,0.00416952,0.01543978,0.01127026,-0.03030406,0.03864310
s05_n1_rangelon_short,15,18.54496402,0.20121810,0.99413859,48.12629770,13.93632317,0.00448979,0.01550461,0.01101481,-0.02998378,0.03896337
s05_n1_rangelon_short,16,18.35969669,5.90520316,0.95573221,54.03150086,14.89205538,0.00479770,0.01740706,0.01260936,-0.02967588,0.03927128
s05_n1_rangelon_short,17,18.34467975,15.97978987,0.99834359,70.01129073,15.89039897,0.00511933,0.02255518,0.01743585,-0.02935425,0.03959291
s05_n1_rangelon_short,18,18.26491186,29.11491858,0.95981188,99.12620931,16.85021085,0.00542855,0.03193499,0.02650644,-0.02904503,0.03990213
s05_n1_rangelon_short,19,17.97145171,1.27481647,0.96135697,100.40102579,17.81156783,0.00573826,0.03234569,0.02660743,-0.02873532,0.04021184
s05_n1_rangelon_short,20,17.93083131,2.30126639,0.99125966,102.70229218,18.80282748,0.00605761,0.03308708,0.02702947,-0.02841597,0.04053119
s05_n1_rangelon_short,21,17.89855431,20.41475905,0.98589751,123.11705123,19.78872500,0.00637523,0.03966400,0.03328876,-0.02809835,0.04084881
s05_n1_rangelon_short,22,17.69503210,0.59944162,0.98888788,123.71649285,20.77761288,0.00669382,0.03985712,0.03316330,-0.02777976,0.04116740
s05_n1_rangelon_short,23,17.65069039,5.64565392,0.98771606,129.36214676,21.76532894,0.00701203,0.04167595,0.03466392,-0.02746155,0.04148561
s05_n1_rangelon_short,24,17.62816959,8.22162139,0.99080515,137.58376815,22.75613409,0.00733123,0.04432467,0.03699344,-0.02714235,0.04180481
s05_n1_rangelon_short,25,17.48636133,2.52328548,0.98964581,140.10705363,23.74577990,0.00765006,0.04513758,0.03748752,-0.02682352,0.04212364
s05_n1_rangelon_short,26,17.23468979,3.69779895,0.99526849,143.80485259,24.74104838,0.00797070,0.04632888,0.03835818,-0.02650288,0.04244428
s05_n1_rangelon_short,27,17.20510604,0.34455859,0.99761739,144.14941118,25.73866577,0.00829210,0.04643989,0.03814779,-0.02618148,0.04276568
s05_n1_rangelon_short,28,17.05936251,3.10014722,0.98065553,147.24955839,26.71932130,0.00860803,0.04743865,0.03883062,-0.02586555,0.04308161
s05_n1_rangelon_short,29,17.02093370,1.48349487,0.99399607,148.73305326,27.71331737,0.00892826,0.04791658,0.03898832,-0.02554532,0.04340184
s05_n1_rangelon_short,30,16.90666473,0.78625078,0.98358741,149.51930404,28.69690478,0.00924514,0.04816988,0.03892474,-0.02522844,0.04371872
s05_n1_rangelon_short,31,16.76292137,0.67074414,0.99445521,150.19004817,29.69135998,0.00956552,0.04838597,0.03882045,-0.02490806,0.04403909
s05_n1_rangelon_short,32,16.70849651,2.36700303,0.99795144,152.55705121,30.68931143,0.00988702,0.04914853,0.03926151,-0.02458656,0.04436060
s05_n1_rangelon_short,33,16.61588465,6.17953838,0.99467883,158.73658959,31.68399026,0.01020747,0.05113937,0.04093189,-0.02426611,0.04468105
s05_n1_rangelon_short,34,16.54010502,0.00010114,0.97520610,158.73669073,32.65919636,0.01052165,0.05113940,0.04061775,-0.02395193,0.04499523
s05_n1_rangelon_short,35,16.32645277,0.45922910,0.98379914,159.19591983,33.64299550,0.01083859,0.05128735,0.04044875,-0.02363499,0.04531217
s05_n1_rangelon_short,36,16.28984858,1.48737526,0.99801226,160.68329509,34.64100776,0.01116012,0.05176653,0.04060641,-0.02331346,0.04563370
s05_n1_rangelon_short,37,16.15615635,0.66068257,0.98709103,161.34397766,35.62809879,0.01147812,0.05197937,0.04050125,-0.02299545,0.04595170
s05_n1_rangelon_short,38,16.08500940,18.55573096,0.99604782,179.89970862,36.62414660,0.01179902,0.05795738,0.04615836,-0.02267456,0.04627260
s05_n1_rangelon_short,39,16.07520379,10.04878353,0.99431637,189.94849216,37.61846297,0.01211935,0.06119475,0.04907540,-0.02235423,0.04659293
s05_n1_rangelon_short,40,15.95303359,1.55257998,0.97482397,191.50107214,38.59328695,0.01243340,0.06169493,0.04926153,-0.02204017,0.04690698
s05_n1_rangelon_short,41,15.91968357,3.18904656,0.96878376,194.69011870,39.56207070,0.01274551,0.06272233,0.04997682,-0.02172807,0.04721909
s05_n1_rangelon_short,42,15.88135047,0.46319561,0.98922556,195.15331431,40.55129626,0.01306421,0.06287156,0.04980735,-0.02140937,0.04753779
s05_n1_rangelon_short,43,15.81869450,1.29201125,0.98058573,196.44532556,41.53188200,0.01338012,0.06328780,0.04990768,-0.02109346,0.04785370
s05_n1_rangelon_short,44,15.77710003,0.28374405,0.98661675,196.72906961,42.51849875,0.01369797,0.06337921,0.04968124,-0.02077561,0.04817155
s05_n1_rangelon_short,45,15.70006754,6.11158170,0.99317661,202.84065130,43.51167536,0.01401794,0.06534815,0.05133021,-0.02045564,0.04849152
s05_n1_rangelon_short,46,15.63979279,0.02786128,0.98261585,202.86851258,44.49429120,0.01433450,0.06535712,0.05102262,-0.02013908,0.04880808
s05_n1_rangelon_short,47,15.61896030,0.82975602,0.96209310,203.69826861,45.45638430,0.01464445,0.06562444,0.05097999,-0.01982913,0.04911803
s05_n1_rangelon_short,48,15.51661333,4.71713957,0.98825597,208.41540818,46.44464027,0.01496284,0.06714414,0.05218130,-0.01951074,0.04943641
s05_n1_rangelon_short,49,15.43184183,0.83158392,0.98551812,209.24699210,47.43015839,0.01528033,0.06741205,0.05213171,-0.01919324,0.04975391
s05_n1_rangelon_short,50,15.32873186,4.75637575,0.99436928,214.00336785,48.42452767,0.01560069,0.06894438,0.05334370,-0.01887289,0.05007426
s05_n1_rangelon_short,51,15.31972004,4.02201436,0.94121830,218.02538221,49.36574596,0.01590391,0.07024014,0.05433622,-0.01856967,0.05037749
s05_n1_rangelon_short,52,15.20765506,0.41661929,0.97581338,218.44200150,50.34155935,0.01621829,0.07037436,0.05415607,-0.01825529,0.05069187
s05_n1_rangelon_short,53,15.17739398,0.06993522,0.98632340,218.51193672,51.32788274,0.01653604,0.07039689,0.05386084,-0.01793753,0.05100962
s05_n1_rangelon_short,54,15.14129139,3.15789715,0.97799532,221.66983386,52.30587806,0.01685112,0.07141425,0.05456313,-0.01762246,0.05132470
s05_n1_rangelon_short,55,15.07186174,1.60901163,0.98833830,223.27884549,53.29421636,0.01716953,0.07193262,0.05476309,-0.01730405,0.05164311
s05_n1_rangelon_short,56,15.06193842,0.27181073,0.98518127,223.55065622,54.27939763,0.01748692,0.07202019,0.05453327,-0.01698666,0.05196050
s05_n1_rangelon_short,57,14.98524489,0.05452336,0.99028941,223.60517958,55.26968704,0.01780596,0.07203775,0.05423180,-0.01666762,0.05227954
s05_n1_rangelon_short,58,14.97067393,7.39767740,0.99353006,231.00285698,56.26321710,0.01812604,0.07442102,0.05629499,-0.01634754,0.05259962
s05_n1_rangelon_short,59,14.92341425,0.03766819,0.99232887,231.04052517,57.25554596,0.01844573,0.07443316,0.05598743,-0.01602785,0.05291931
s05_n1_rangelon_short,60,14.86075149,0.06264127,0.95518856,231.10316644,58.21073452,0.01875346,0.07445334,0.05569988,-0.01572012,0.05322704
s05_n1_rangelon_short,61,14.80350609,0.28225264,0.98137579,231.38541909,59.19211031,0.01906962,0.07454427,0.05547465,-0.01540396,0.05354320
s05_n1_rangelon_short,62,14.78658390,1.28809860,0.97983439,232.67351768,60.17194470,0.01938529,0.07495925,0.05557396,-0.01508829,0.05385887
s05_n1_rangelon_short,63,14.69483179,0.35392555,0.98833309,233.02744323,61.16027779,0.01970370,0.07507327,0.05536958,-0.01476988,0.05417728
s05_n1_rangelon_short,64,14.62833203,1.09247558,0.99566297,234.11991881,62.15594076,0.02002447,0.07542523,0.05540077,-0.01444911,0.05449804
s05_n1_rangelon_short,65,14.58956535,0.08159531,0.99357123,234.20151412,63.14951199,0.02034456,0.07545152,0.05510696,-0.01412902,0.05481814
s05_n1_rangelon_short,66,14.56767278,6.22879165,0.98570367,240.43030577,64.13521566,0.02066212,0.07745822,0.05679610,-0.01381146,0.05513570
s05_n1_rangelon_short,67,14.47853673,1.49400972,0.97128519,241.92431550,65.10650085,0.02097503,0.07793953,0.05696450,-0.01349855,0.05544861
s05_n1_rangelon_short,68,14.43074929,0.00372619,0.92870428,241.92804169,66.03520513,0.02127423,0.07794074,0.05666651,-0.01319935,0.05574781
s05_n1_rangelon_short,69,14.38705145,1.79164210,0.97967238,243.71968379,67.01487752,0.02158984,0.07851794,0.05692809,-0.01288373,0.05606342
s05_n1_rangelon_short,70,14.34977986,0.63783951,0.99519463,244.35752330,68.01007215,0.02191046,0.07872343,0.05681297,-0.01256312,0.05638404
s05_n1_rangelon_short,71,14.30912874,1.32568139,0.98617320,245.68320469,68.99624535,0.02222817,0.07915052,0.05692235,-0.01224541,0.05670175
s05_n1_rangelon_short,72,14.27732765,4.97257004,0.99469216,250.65577473,69.99093751,0.02254863,0.08075250,0.05820388,-0.01192495,0.05702221
s05_n1_rangelon_short,73,14.18777297,4.34254308,0.98790490,254.99831782,70.97884241,0.02286690,0.08215152,0.05928462,-0.01160668,0.05734047
s05_n1_rangelon_short,74,14.14525198,3.24188713,0.99946101,258.24020495,71.97830342,0.02318889,0.08319594,0.06000706,-0.01128469,0.05766247
s05_n1_rangelon_short,75,14.13179177,0.28338826,0.99927644,258.52359321,72.97757985,0.02351082,0.08328724,0.05977642,-0.01096276,0.05798440
s05_n1_rangelon_short,76,14.10433331,1.75628469,0.98654669,260.27987790,73.96412654,0.02382865,0.08385305,0.06002440,-0.01064493,0.05830223
