variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n1_rangetime_short,1,32.65069437,0.75266273,0.79139483,0.75266273,0.79139483,0.00025496,0.00024248,-0.00001248,-0.03421862,0.03472854
s05_n1_rangetime_short,2,30.26416241,1.06232487,0.80077762,1.81498760,1.59217245,0.00051294,0.00058473,0.00007178,-0.03396064,0.03498652
s05_n1_rangetime_short,3,29.97298698,0.16651733,0.94735384,1.98150493,2.53952629,0.00081815,0.00063837,-0.00017977,-0.03365543,0.03529173
s05_n1_rangetime_short,4,29.43907064,1.59837511,0.81023558,3.57988004,3.34976187,0.00107918,0.00115331,0.00007414,-0.03339440,0.03555276
s05_n1_rangetime_short,5,29.36474012,0.06914068,0.91744231,3.64902072,4.26720418,0.00137474,0.00117559,-0.00019916,-0.03309884,0.03584832
s05_n1_rangetime_short,6,28.71454358,0.01760183,0.85207048,3.66662255,5.11927466,0.00164925,0.00118126,-0.00046799,-0.03282433,0.03612283
s05_n1_rangetime_short,7,28.53360935,0.22468621,0.96714923,3.89130876,6.08642390,0.00196083,0.00125364,-0.00070719,-0.03251275,0.03643441
s05_n1_rangetime_short,8,27.88545004,4.24980735,0.94234299,8.14111612,7.02876689,0.00226442,0.00262278,0.00035836,-0.03220916,0.03673800
s05_n1_rangetime_short,9,27.54300204,20.79165088,0.98945441,28.93276699,8.01822130,0.00258319,0.00932112,0.00673793,-0.03189039,0.03705677
s05_n1_rangetime_short,10,27.23285023,0.88454941,0.93511692,29.81731640,8.95333822,0.00288445,0.00960609,0.00672164,-0.03158913,0.03735803
s05_n1_rangetime_short,11,26.67573980,2.84838540,0.99432879,32.66570180,9.94766701,0.00320479,0.01052374,0.00731895,-0.03126879,0.03767837
s05_n1_rangetime_short,12,26.37671719,1.21488532,0.98932203,33.88058712,10.93698904,0.00352351,0.01091514,0.00739162,-0.03095006,0.03799709
s05_n1_rangetime_short,13,26.09966846,0.02703542,0.92507158,33.90762253,11.86206062,0.00382154,0.01092385,0.00710231,-0.03065204,0.03829512
s05_n1_rangetime_short,14,25.86962824,5.50107749,0.97171389,39.40870002,12.83377451,0.00413459,0.01269610,0.00856151,-0.03033899,0.03860817
s05_n1_rangetime_short,15,25.56670098,3.59431195,0.94687557,43.00301197,13.78065008,0.00443964,0.01385406,0.00941442,-0.03003394,0.03891322
s05_n1_rangetime_short,16,25.32144974,15.74115470,0.99323010,58.74416668,14.77388018,0.00475963,0.01892531,0.01416569,-0.02971395,0.03923321
s05_n1_rangetime_short,17,25.21185423,2.45253680,0.99589296,61.19670348,15.76977313,0.00508047,0.01971543,0.01463496,-0.02939311,0.03955405
s05_n1_rangetime_short,18,24.86420302,7.79338704,0.99253592,68.99009053,16.76230905,0.00540023,0.02222619,0.01682596,-0.02907335,0.03987381
s05_n1_rangetime_short,19,24.82286063,0.10109117,0.98892735,69.09118169,17.75123640,0.00571883,0.02225876,0.01653993,-0.02875475,0.04019241
s05_n1_rangetime_short,20,24.65234262,0.00219389,0.96511386,69.09337558,18.71635026,0.00602975,0.02225946,0.01622971,-0.02844383,0.04050333
s05_n1_rangetime_short,21,24.25016667,6.75941477,0.99023518,75.85279036,19.70658543,0.00634877,0.02443711,0.01808834,-0.02812481,0.04082235
s05_n1_rangetime_short,22,24.03131257,0.19161243,0.99590163,76.04440279,20.70248707,0.00666962,0.02449884,0.01782923,-0.02780396,0.04114319
s05_n1_rangetime_short,23,23.97109002,20.89191671,0.98854026,96.93631949,21.69102733,0.00698809,0.03122948,0.02424140,-0.02748549,0.04146167
s05_n1_rangetime_short,24,23.72517169,0.49931426,0.96831909,97.43563375,22.65934641,0.00730005,0.03139035,0.02409030,-0.02717353,0.04177363
s05_n1_rangetime_short,25,23.42497821,0.68035653,0.99509599,98.11599028,23.65444241,0.00762063,0.03160953,0.02398890,-0.02685295,0.04209421
s05_n1_rangetime_short,26,23.28807694,0.67324743,0.97711876,98.78923770,24.63156116,0.00793543,0.03182643,0.02389100,-0.02653815,0.04240900
s05_n1_rangetime_short,27,23.11577258,4.67442364,0.97458849,103.46366134,25.60614966,0.00824940,0.03333237,0.02508296,-0.02622418,0.04272298
s05_n1_rangetime_short,28,23.03428046,0.40406396,0.99037335,103.86772530,26.59652301,0.00856847,0.03346254,0.02489407,-0.02590511,0.04304205
s05_n1_rangetime_short,29,22.79621401,0.19166271,0.95798145,104.05938801,27.55450446,0.00887710,0.03352429,0.02464719,-0.02559648,0.04335067
s05_n1_rangetime_short,30,22.57192689,6.48981584,0.99945479,110.54920384,28.55395925,0.00919908,0.03561508,0.02641599,-0.02527449,0.04367266
s05_n1_rangetime_short,31,22.48361779,4.06457460,0.99489020,114.61377845,29.54884945,0.00951960,0.03692454,0.02740494,-0.02495398,0.04399318
s05_n1_rangetime_short,32,22.24800239,0.35445280,0.95300204,114.96823125,30.50185149,0.00982663,0.03703873,0.02721211,-0.02464695,0.04430021
s05_n1_rangetime_short,33,22.12028856,0.01594584,0.99357539,114.98417709,31.49542687,0.01014672,0.03704387,0.02689715,-0.02432686,0.04462030
s05_n1_rangetime_short,34,21.98488220,2.45745602,0.96963348,117.44163311,32.46506035,0.01045910,0.03783558,0.02737647,-0.02401447,0.04493268
s05_n1_rangetime_short,35,21.79753758,2.53840586,0.98579662,119.98003897,33.45085697,0.01077669,0.03865336,0.02787667,-0.02369689,0.04525027
s05_n1_rangetime_short,36,21.64036145,1.03201075,0.97698071,121.01204972,34.42783768,0.01109144,0.03898584,0.02789440,-0.02338214,0.04556502
