dataset_id,Q_minus_M3_cells,JKQ_minus_M3_cells,signal_regime,speed_cells,jk_j90_cells,surface_clear,jkq_j90_cells,jkq_valid_fraction,subgrid_stable
a022_s0p75_reference_r00,-0.5022886541,-0.5022886541,reference,0.7500000000,1.0000000000,False,0.0862395119,1.0000000000,True
a022_s0p75_reference_r01,-0.2320916872,-0.2320916872,reference,0.7500000000,0.0000000000,True,0.1187756437,1.0000000000,True
a022_s0p75_reference_r02,-0.3390572187,-0.3390572187,reference,0.7500000000,0.0000000000,True,0.1196962303,1.0000000000,True
a022_s0p75_reference_r03,-0.0683080231,-0.0683080231,reference,0.7500000000,0.0000000000,True,0.1111005136,1.0000000000,True
a022_s0p75_reference_r04,-0.3808527266,-0.3808527266,reference,0.7500000000,0.0000000000,True,0.1143952791,1.0000000000,True
a022_s0p75_strong_r00,-0.3188078735,-0.3188078735,strong,0.7500000000,0.0000000000,True,0.0639249969,1.0000000000,True
a022_s0p75_strong_r01,-0.2803333473,-0.2803333473,strong,0.7500000000,0.0000000000,True,0.0730054640,1.0000000000,True
a022_s0p75_strong_r02,-0.2202709071,0.0000000000,strong,0.7500000000,1.0000000000,False,0.5372227638,0.7142857143,False
a022_s0p75_strong_r03,-0.2893018635,-0.2893018635,strong,0.7500000000,0.0000000000,True,0.0453541414,1.0000000000,True
a022_s0p75_strong_r04,-0.2954183771,-0.2954183771,strong,0.7500000000,0.0000000000,True,0.0532997429,1.0000000000,True
a022_s0p75_weak_r00,-0.2285220856,-0.2285220856,weak,0.7500000000,1.0000000000,False,0.2374983777,1.0000000000,True
a022_s0p75_weak_r01,-0.3986319276,-0.3986319276,weak,0.7500000000,0.4000000000,True,0.3870848039,0.8571428571,True
a022_s0p75_weak_r02,0.3292017812,0.0000000000,weak,0.7500000000,1.0000000000,False,0.5851601946,0.7142857143,False
a022_s0p75_weak_r03,-0.3581571840,-0.3581571840,weak,0.7500000000,1.0000000000,False,0.4143357244,1.0000000000,True
a022_s0p75_weak_r04,0.0923602502,0.0923602502,weak,0.7500000000,0.0000000000,True,0.3308707232,1.0000000000,True
a022_s2p0_reference_r00,-0.1413312636,-0.1413312636,reference,2.0000000000,0.0000000000,True,0.0963930136,1.0000000000,True
a022_s2p0_reference_r01,-0.1113965852,-0.1113965852,reference,2.0000000000,0.0000000000,True,0.1027664779,1.0000000000,True
a022_s2p0_reference_r02,-0.4508502633,-0.4508502633,reference,2.0000000000,1.0000000000,False,0.2728679681,0.8571428571,True
a022_s2p0_reference_r03,-0.0771427136,-0.0771427136,reference,2.0000000000,0.0000000000,True,0.1026247299,1.0000000000,True
a022_s2p0_reference_r04,-0.1524263746,-0.1524263746,reference,2.0000000000,0.0000000000,True,0.0866226520,1.0000000000,True
a022_s2p0_strong_r00,-0.1411768077,-0.1411768077,strong,2.0000000000,0.0000000000,True,0.0340983143,1.0000000000,True
a022_s2p0_strong_r01,-0.2022129884,-0.2022129884,strong,2.0000000000,0.0000000000,True,0.0639080293,1.0000000000,True
a022_s2p0_strong_r02,-0.0205206429,0.0000000000,strong,2.0000000000,1.0000000000,False,0.5363278383,0.7142857143,False
a022_s2p0_strong_r03,-0.1058440889,-0.1058440889,strong,2.0000000000,0.0000000000,True,0.0643511350,1.0000000000,True
a022_s2p0_strong_r04,-0.2012083871,-0.2012083871,strong,2.0000000000,0.0000000000,True,0.0583237454,1.0000000000,True
a022_s2p0_weak_r00,-0.0229791610,-0.0229791610,weak,2.0000000000,0.4000000000,True,0.4493271674,1.0000000000,True
a022_s2p0_weak_r01,-0.2859982011,-0.2859982011,weak,2.0000000000,1.0000000000,False,0.4597298108,0.8571428571,True
a022_s2p0_weak_r02,0.2441404166,0.2441404166,weak,2.0000000000,0.0000000000,True,0.1280176306,1.0000000000,True
a022_s2p0_weak_r03,-0.0317767523,-0.0317767523,weak,2.0000000000,1.0000000000,False,0.4739264711,0.8571428571,True
a022_s2p0_weak_r04,-0.0824066040,0.0000000000,weak,2.0000000000,1.0000000000,False,0.5535480629,1.0000000000,False
a022_s4p0_reference_r00,-0.3833926728,0.0000000000,reference,4.0000000000,1.0000000000,False,0.4974802265,0.7142857143,False
a022_s4p0_reference_r01,-0.4676518943,-0.4676518943,reference,4.0000000000,1.0000000000,False,0.1493541711,1.0000000000,True
a022_s4p0_reference_r02,-0.5370335361,0.0000000000,reference,4.0000000000,0.4000000000,True,0.4978791619,0.4285714286,False
a022_s4p0_reference_r03,-0.3543961942,-0.3543961942,reference,4.0000000000,0.0000000000,True,0.0940699806,1.0000000000,True
a022_s4p0_reference_r04,-0.2140830818,-0.2140830818,reference,4.0000000000,0.0000000000,True,0.1090537971,1.0000000000,True
a022_s4p0_strong_r00,-0.6010579923,-0.6010579923,strong,4.0000000000,0.0000000000,True,0.2327546863,0.8571428571,True
a022_s4p0_strong_r01,-0.5166715724,0.0000000000,strong,4.0000000000,0.4000000000,True,0.4961102487,0.7142857143,False
a022_s4p0_strong_r02,-0.5223648990,-0.5223648990,strong,4.0000000000,0.4000000000,True,0.3157529988,0.8571428571,True
a022_s4p0_strong_r03,-0.4190352249,-0.4190352249,strong,4.0000000000,0.0000000000,True,0.0534999049,1.0000000000,True
a022_s4p0_strong_r04,-0.4853100542,-0.4853100542,strong,4.0000000000,0.0000000000,True,0.0687305847,1.0000000000,True
a022_s4p0_weak_r00,0.0612915218,0.0612915218,weak,4.0000000000,0.4000000000,True,0.3392428111,1.0000000000,True
a022_s4p0_weak_r01,-0.1329592396,-0.1329592396,weak,4.0000000000,0.0000000000,True,0.2074901356,1.0000000000,True
a022_s4p0_weak_r02,0.4107848481,0.0000000000,weak,4.0000000000,1.0000000000,False,0.5518639412,0.8571428571,False
a022_s4p0_weak_r03,-0.5201568944,-0.5201568944,weak,4.0000000000,1.0000000000,False,0.3755787268,0.8571428571,True
a022_s4p0_weak_r04,-0.4618027254,-0.4618027254,weak,4.0000000000,0.0000000000,True,0.2657749762,0.8571428571,True
a067_s0p75_reference_r00,-0.6988526797,-0.6988526797,reference,0.7500000000,1.0000000000,False,0.2611167555,0.8571428571,True
