dataset,day,direction,n_bands,lambda1_fraction_mean,lambda1_fraction_sd,lambda1_fraction_min,lambda1_fraction_max,top5_fraction_mean,top5_fraction_sd,top5_fraction_min,top5_fraction_max,effective_rank_entropy_mean,effective_rank_entropy_sd,effective_rank_entropy_min,effective_rank_entropy_max,effective_rank_participation_mean,effective_rank_participation_sd,effective_rank_participation_min,effective_rank_participation_max,spectral_rank_centroid_mean,spectral_rank_centroid_sd,spectral_rank_centroid_min,spectral_rank_centroid_max,modes_80_mean,modes_80_sd,modes_80_min,modes_80_max,modes_90_mean,modes_90_sd,modes_90_min,modes_90_max,modes_95_mean,modes_95_sd,modes_95_min,modes_95_max,mean_point_variance_mean,mean_point_variance_sd,mean_point_variance_min,mean_point_variance_max
simulation,13,east_west,5,0.09385072272555872,0.01267453990158214,0.07927152205864213,0.10725609366979082,0.40123614197831065,0.0336679224295683,0.3606307283528808,0.43593384940187846,33.75385250377164,2.0599133383366213,31.775361019236737,36.159064126786035,21.286909968493855,1.9512130004011041,19.44578903002996,23.41100301522153,0.17365227778440695,0.008272066218922885,0.16545320477217781,0.18310396492144393,20.4,1.1401754250991378,19.0,22.0,37.6,1.3416407864998738,36.0,39.0,54.8,1.3038404810405297,53.0,56.0,9.568056264346144,0.44264074230948247,9.044957747541327,10.10721057183504
simulation,13,north_south,5,0.07857579561439834,0.01946380071484533,0.06102454345967863,0.10811263015567481,0.32583748580927313,0.05322482323679829,0.27114164456824463,0.40945302647791054,40.7464387360177,4.432646561971664,35.477535157402365,45.708116819161184,27.37187363912812,4.642495285639101,21.188624884936253,32.66461374696511,0.2030063647970714,0.018481972222293964,0.1830524231827375,0.2234850033469249,25.8,2.7748873851023217,23.0,29.0,42.4,2.7928480087537886,39.0,45.0,58.0,2.5495097567963922,55.0,61.0,8.639058076002375,0.867369054729675,7.580623342135458,9.594762971027
simulation,19,east_west,5,0.09341585162557915,0.009794172783207891,0.08633081997454072,0.10967648550849232,0.39526110220252947,0.014011270063836692,0.3774698195565789,0.4158551710961662,33.41607377096337,0.8582542869925636,31.902764857466963,34.02775230396901,21.070369952987573,0.7384806266489587,19.84456195569073,21.608283881654987,0.17233479580271652,0.003628085069612759,0.16590941438811865,0.17465275083619858,20.8,0.4472135954999579,20.0,21.0,37.2,0.8366600265340756,36.0,38.0,54.6,0.8944271909999159,53.0,55.0,9.756442536927793,0.325023376183563,9.504827151252746,10.325667121657517
simulation,19,north_south,5,0.07173733206337005,0.003852563661536665,0.06724313752528892,0.07667869412937221,0.30807821091467175,0.011461946038302702,0.2946009889724954,0.3250583705342932,42.24181927682668,2.889690143230287,37.406537904665065,45.19027878137722,28.79031637727686,2.1939159551417804,25.206634204764498,31.201155270057956,0.20942817796088078,0.013159594399487851,0.18755870100859365,0.2230739589473004,26.8,2.2803508501982757,23.0,29.0,43.6,2.7018512172212596,39.0,46.0,59.0,2.345207879911715,55.0,61.0,8.361403067995829,0.8687261325277605,7.367785706420884,9.763771371672409
simulation,25,east_west,5,0.10776090988506207,0.012942131222372304,0.08911314903644064,0.1252068081281049,0.4239875050610646,0.02436959600221732,0.397125973451199,0.44563461444364805,32.167657448422425,1.4223299326388994,30.910126373884957,33.74338179965289,19.66044647615336,1.2333589978095263,18.622386718174166,21.049337663211013,0.16750451672990677,0.005894913188585275,0.16181566345631718,0.17486258520304632,20.0,1.0,19.0,21.0,36.2,1.3038404810405297,35.0,38.0,53.8,0.8366600265340756,53.0,55.0,10.094876309924446,0.49841562204320566,9.365143373856167,10.556092538461773
simulation,25,north_south,5,0.07931979265878164,0.015274761547080375,0.05826360092315307,0.09864268221997519,0.32178002906381137,0.0349135981064588,0.277139542102363,0.37298752325441425,41.85904215032862,2.208349804221142,39.09991093282659,44.843015502762945,28.006278536116564,2.784765537239911,24.336284174202433,31.812922747947464,0.20814032918760664,0.008700532855177787,0.19741146450598843,0.2196917770846552,27.0,1.0,26.0,28.0,43.6,1.6733200530681511,41.0,45.0,59.2,1.4832396974191326,57.0,61.0,8.51610595834117,0.5607633355414733,8.016919416668623,9.443994655293864
real,13,east_west,5,0.2506083840191087,0.04017609828741814,0.20639854977383232,0.2973080942405236,0.5960566317307078,0.05840177746805804,0.524389562551864,0.6429820404710379,21.39794463050609,4.338567847025102,17.775737420320404,26.670648389930488,9.755365207944106,2.46559164405795,7.556631006738263,12.735637071189599,0.13268333030591783,0.01802883444663799,0.10997023426381689,0.15301486552926744,16.0,3.0,12.0,19.0,31.4,3.9115214431215892,25.0,35.0,47.8,4.764451699828639,40.0,52.0,11.397267047525771,2.4916153658758247,9.573232073924675,15.09549253127289
real,13,north_south,5,0.12291204303852825,0.047269048557625815,0.0708436516566223,0.19715095717659467,0.4344960337326797,0.10236901923766159,0.315813189272077,0.5969370195302913,33.03408477142453,8.434852913996345,19.622895869828792,42.69536688558109,19.92584816743609,6.415772107761411,10.826049100824912,28.745505309347877,0.17220281438441362,0.038607162142680014,0.10885718164854001,0.2116549259009985,22.0,6.2048368229954285,12.0,28.0,37.4,9.016651263079881,22.0,44.0,52.4,9.989994994993742,35.0,59.0,8.288176765045389,3.208989065606841,4.318316895520485,13.000652568489675
real,19,east_west,5,0.18655629838641846,0.025830559691024085,0.16492320661806706,0.22803439877170353,0.5262947104846374,0.037457294968343914,0.4738975436280036,0.5660835102609328,28.336159018548493,3.4944366404634946,25.03098039652689,33.21542046604803,13.528602021785622,2.187905687933748,11.37186699013583,16.569972578673774,0.16826936303328482,0.01571698296538077,0.1523924478216455,0.18867760032816014,22.8,3.1937438845342623,19.0,27.0,41.2,3.271085446759225,38.0,45.0,57.6,3.049590136395381,54.0,61.0,9.33627993208141,0.7984156436703779,8.089816894848168,10.23105517397568
real,19,north_south,5,0.14793112334199562,0.028452458879584606,0.10181448981343492,0.1783767918049649,0.41910090657485544,0.05796545929385297,0.3507708946173533,0.4827513623698139,36.922809471639034,6.429328550913431,29.85871472902382,44.52868764657923,19.54618355261941,3.752093097254901,15.62325199098007,23.841538185452055,0.20105121235971896,0.03383212262418854,0.16393999741542223,0.24462536716528555,28.2,6.685805860178712,21.0,37.0,45.4,6.8044103344816,38.0,54.0,60.0,5.244044240850758,54.0,66.0,6.871606492948423,1.0851174738437714,5.73382268924706,8.593532810883776
