dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,spectral_centroid_cycles_per_degree,median_frequency_cycles_per_degree,low_frequency_fraction_le_1_cpd,ranked_total_variation_distance,eigen_effective_rank,eigen_lambda1_fraction
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,1.3765901469783617,0.7899999999999999,0.6322431876303681,0.03248639867510522,35.72139750514166,0.07927152205864213
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,1.3007595964768992,0.5924999999999999,0.6540538542781975,0.025378850504085004,33.07441396877599,0.09243239457540124
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,1.368272528836881,0.7899999999999999,0.6284839395604676,0.0310152013416184,36.159064126786035,0.08408001602503637
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,1.2421801292139365,0.5924999999999999,0.6768252456428623,0.03178391819164926,32.03902589891777,0.10725609366979082
simulation,13,east_west,latitude_band,5,1.0,2.0,368,80,1.233905880929489,0.5924999999999999,0.6845135906542688,0.0321393760537325,31.775361019236737,0.10621358729892304
simulation,13,north_south,longitude_band,1,122.0,123.0,115,80,1.434384965435246,0.7899999999999999,0.5989834655913779,0.029184396386170576,37.5666163046563,0.07351673662827465
simulation,13,north_south,longitude_band,2,124.0,125.0,128,80,1.690262907461779,0.9874999999999999,0.5121014340212197,0.02484179881110061,44.728578961206296,0.06316881872337737
simulation,13,north_south,longitude_band,3,126.0,127.0,128,80,1.5422379007924232,0.9874999999999999,0.5597319714201328,0.02953469554937416,40.25134643766236,0.0870562491049863
simulation,13,north_south,longitude_band,4,128.0,129.0,128,80,1.4061853565975098,0.5924999999999999,0.5976196853093501,0.041738518592178454,35.477535157402365,0.10811263015567481
simulation,13,north_south,longitude_band,5,130.0,131.0,120,80,1.7169808061863792,0.9874999999999999,0.5065432034990704,0.024086898126975037,45.708116819161184,0.06102454345967863
simulation,19,east_west,latitude_band,1,-3.0,-2.0,368,80,1.2439770974261093,0.5924999999999999,0.6869873745716036,0.03281416544906484,31.902764857466963,0.09547365937865221
simulation,19,east_west,latitude_band,2,-2.0,-1.0,351,80,1.3054807886899158,0.5924999999999999,0.6550214821152893,0.025254082193263475,33.714689774615096,0.08633081997454072
simulation,19,east_west,latitude_band,3,-1.0,0.0,368,80,1.3066433825192942,0.5924999999999999,0.6580421229276842,0.036707687485380766,34.02775230396901,0.08873937840383787
simulation,19,east_west,latitude_band,4,0.0,1.0,368,80,1.3037514139407853,0.5924999999999999,0.6679245975792409,0.030289678548298,33.79228873067419,0.08685891486237259
simulation,19,east_west,latitude_band,5,1.0,2.0,368,80,1.3036177105481148,0.5924999999999999,0.6585058092950171,0.03306975252456897,33.642873188091606,0.10967648550849232
simulation,19,north_south,longitude_band,1,122.0,123.0,128,80,1.4432690507818735,0.7899999999999999,0.6255447154532412,0.053201498782920846,37.406537904665065,0.0746297907418148
simulation,19,north_south,longitude_band,2,124.0,125.0,128,80,1.623232655873355,0.9874999999999999,0.5431932862498935,0.035264745470434386,43.05533883342213,0.07667869412937221
simulation,19,north_south,longitude_band,3,126.0,127.0,128,80,1.6277346430904065,0.9874999999999999,0.547109436504849,0.03737452766164222,42.566251084485884,0.07070441559453801
simulation,19,north_south,longitude_band,4,128.0,129.0,128,80,1.7281628043967483,0.9874999999999999,0.5134254419175532,0.029994543810274343,45.19027878137722,0.06724313752528892
simulation,19,north_south,longitude_band,5,130.0,131.0,120,80,1.6431944479735296,0.9874999999999999,0.5543441938276545,0.04965383930381703,42.99068978018309,0.06943062232583633
simulation,25,east_west,latitude_band,1,-3.0,-2.0,368,80,1.222868371462156,0.5924999999999999,0.6801395892594287,0.035526419778469064,30.910126373884957,0.1252068081281049
simulation,25,east_west,latitude_band,2,-2.0,-1.0,352,80,1.2365222690656874,0.5924999999999999,0.6761689781024427,0.03224712804136924,31.384767637575674,0.110709802478266
simulation,25,east_west,latitude_band,3,-1.0,0.0,368,80,1.2251927075746811,0.5924999999999999,0.6734486161632507,0.03146330375507346,31.11413826037819,0.10492848349466334
simulation,25,east_west,latitude_band,4,0.0,1.0,368,80,1.3199810328381,0.5924999999999999,0.6623409898191746,0.031242664832967473,33.74338179965289,0.08911314903644064
simulation,25,east_west,latitude_band,5,1.0,2.0,368,80,1.303588576161683,0.7899999999999999,0.6576183014366658,0.030251461835115543,33.68587317062044,0.10884630628783538
simulation,25,north_south,longitude_band,1,122.0,123.0,128,80,1.6040018820612294,0.9874999999999999,0.5291742632556413,0.028224876130727793,42.413921437670005,0.08344328906474079
simulation,25,north_south,longitude_band,2,124.0,125.0,128,80,1.5269325304816606,0.7899999999999999,0.5822799100087539,0.035345345467298665,40.37866330177152,0.08507726172525984
simulation,25,north_south,longitude_band,3,126.0,127.0,128,80,1.7011708089363136,0.9874999999999999,0.5112051281943669,0.04980860121115951,44.843015502762945,0.05826360092315307
simulation,25,north_south,longitude_band,4,128.0,129.0,128,80,1.6298758336491952,0.9874999999999999,0.5573645022787163,0.035309974247490064,42.55969957661203,0.07117212936077931
simulation,25,north_south,longitude_band,5,130.0,131.0,120,80,1.5329842826613764,0.9874999999999999,0.5747342316789817,0.025828864688771526,39.09991093282659,0.09864268221997519
real,13,east_west,latitude_band,1,-3.0,-2.0,356,80,1.1227010172168632,0.39499999999999996,0.6933305422182798,0.06989511766763301,26.670648389930488,0.21194426892991142
real,13,east_west,latitude_band,2,-2.0,-1.0,345,80,1.0972752496897986,0.39499999999999996,0.7034316619650259,0.060780336886236894,25.57064879637945,0.20639854977383232
real,13,east_west,latitude_band,3,-1.0,0.0,368,80,0.9327815208780874,0.19749999999999998,0.7564746348726079,0.09086287633326404,18.438383327104127,0.2973080942405236
real,13,east_west,latitude_band,4,0.0,1.0,368,80,0.9320510513835917,0.19749999999999998,0.7598828855373575,0.0785960974456684,18.53430521879596,0.2779664671800086
real,13,east_west,latitude_band,5,1.0,2.0,368,80,0.8105795854193276,0.19749999999999998,0.7996347741717396,0.07315930396462425,17.775737420320404,0.25942453997126746
real,13,north_south,longitude_band,1,122.0,123.0,117,80,1.4401642067452223,0.5924999999999999,0.6119968620618123,0.03877304377236915,36.37637551658387,0.10967751369682953
real,13,north_south,longitude_band,2,124.0,125.0,128,80,1.307718585777172,0.5924999999999999,0.6731545500454515,0.04570608080453132,32.98037382698653,0.13425289348449418
real,13,north_south,longitude_band,3,126.0,127.0,128,80,1.6068147950432565,0.7899999999999999,0.5633090990864693,0.03765148998250474,42.69536688558109,0.0708436516566223
real,13,north_south,longitude_band,4,128.0,129.0,128,80,1.2985358208204028,0.5924999999999999,0.6572995086247362,0.030500175381622193,33.49541175814239,0.1026351991781006
real,13,north_south,longitude_band,5,130.0,131.0,125,80,0.7782098823440894,0.39499999999999996,0.8014919741646956,0.05974433951548571,19.622895869828792,0.19715095717659467
real,19,east_west,latitude_band,1,-3.0,-2.0,368,80,1.2048572574302587,0.19749999999999998,0.6992779559835245,0.05855994838388595,25.38725708699183,0.1933980984051601
real,19,east_west,latitude_band,2,-2.0,-1.0,351,80,1.3700773898974632,0.39499999999999996,0.6543615901677697,0.049288713653267216,30.518872111203322,0.1669861501481396
real,19,east_west,latitude_band,3,-1.0,0.0,368,80,1.4118171567008202,0.5924999999999999,0.6355086199761801,0.05225302139233573,33.21542046604803,0.16492320661806706
real,19,east_west,latitude_band,4,0.0,1.0,368,80,1.1786662688151923,0.39499999999999996,0.69194983706645,0.06909164403747467,27.52826503197238,0.1794396379890219
real,19,east_west,latitude_band,5,1.0,2.0,368,80,1.1114686006822392,0.39499999999999996,0.7194962729948157,0.07648869648999705,25.03098039652689,0.22803439877170353
real,19,north_south,longitude_band,1,122.0,123.0,128,80,1.859225329624172,0.9874999999999999,0.5129938319288544,0.05515077265124228,44.52868764657923,0.15707990513368858
real,19,north_south,longitude_band,2,124.0,125.0,128,80,1.6267851437033145,0.7899999999999999,0.5542111266333924,0.038849094476607886,41.1078066357061,0.10181448981343492
real,19,north_south,longitude_band,3,126.0,127.0,128,80,1.2366563382134514,0.5924999999999999,0.6687077998180189,0.055979951872988605,29.85871472902382,0.1448867648200733
real,19,north_south,longitude_band,4,128.0,129.0,128,80,1.6075896901981923,0.7899999999999999,0.5963776311207794,0.05509147180784147,38.36131451992634,0.15749766513781646
real,19,north_south,longitude_band,5,130.0,131.0,125,80,1.2693703196379698,0.5924999999999999,0.6506156765185697,0.061391074543548974,30.757523826959666,0.1783767918049649
real,25,east_west,latitude_band,1,-3.0,-2.0,368,80,0.876744668344217,0.19749999999999998,0.7710599854251894,0.11045901159327137,18.03355966646598,0.32095743361870843
real,25,east_west,latitude_band,2,-2.0,-1.0,352,80,1.0020372499195778,0.19749999999999998,0.7380435204683073,0.08539021121271408,21.875274486774373,0.26029679202250794
real,25,east_west,latitude_band,3,-1.0,0.0,368,80,0.7487124853192517,0.19749999999999998,0.8023107742589232,0.13335831455290023,14.657258559163015,0.36785250829169686
real,25,east_west,latitude_band,4,0.0,1.0,368,80,0.7951142955528864,0.19749999999999998,0.7914891151442879,0.12385818368985248,15.961716084142289,0.3392086709500265
real,25,east_west,latitude_band,5,1.0,2.0,368,80,0.6380535012527814,0.0,0.83593532884317,0.1327007148175124,12.421451451336225,0.39321380827778557
real,25,north_south,longitude_band,1,122.0,123.0,128,80,1.5941345194368932,0.7899999999999999,0.5662938064168048,0.04804923634005241,39.91935320930284,0.1373788665993086
real,25,north_south,longitude_band,2,124.0,125.0,128,80,1.4921830737787822,0.7899999999999999,0.6073671295874818,0.06392505847776034,36.686360288699774,0.14912727180157273
real,25,north_south,longitude_band,3,126.0,127.0,128,80,1.5784313064772866,0.9874999999999999,0.5507095623988931,0.05030937000826895,40.19970576657007,0.12791301457867782
real,25,north_south,longitude_band,4,128.0,129.0,128,80,1.272118507466579,0.39499999999999996,0.6706856067035263,0.11178939681126496,25.645543827202722,0.2817693400161618
real,25,north_south,longitude_band,5,130.0,131.0,126,80,1.182390633628926,0.39499999999999996,0.6785484995802894,0.11774325845701777,26.197319485266,0.27306879003693607
