dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,rank,eigenvalue_fraction,ranked_periodogram_fraction
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,1,0.07927152205864213,0.09058414652258444
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,2,0.07456858756370911,0.0672343801865166
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,3,0.07234690560889077,0.0672343801865166
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,4,0.06786904956020946,0.06508965657669856
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,5,0.0665746635614293,0.06508965657669856
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,6,0.06086712025999785,0.057922123946187024
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,7,0.05358794292209897,0.057922123946187024
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,8,0.049872952113217,0.05167704123201935
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,9,0.04161403906571506,0.05167704123201935
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,10,0.032069116692902425,0.028906318612470356
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,11,0.028616573771313176,0.028906318612470356
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,12,0.025858746266521442,0.02332684192652974
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,13,0.02230202432228026,0.02332684192652974
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,14,0.02189014960791425,0.021957157885672898
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,15,0.020867517974818183,0.021957157885672898
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,16,0.017950116666126788,0.016721008296607467
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,17,0.01596259038937476,0.01672100829660746
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,18,0.014280739570512868,0.013518226804089435
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,19,0.01322287239885479,0.013518226804089435
