baseline,competitor,metric,n_paired_rows,n_dataset_clusters,mean_difference_competitor_minus_baseline,median_difference_competitor_minus_baseline,paired_win_rate_lower_is_better,paired_tie_rate,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
M3_fft,M3_fft_Q,common_eval_nll,1,1,0.0000228504,0.0000228504,0.0000000000,0.0000000000,0.0000228504,0.0000228504
M3_fft,M3_fft_Q,common_regret_vs_case_best,1,1,0.0000228504,0.0000228504,0.0000000000,0.0000000000,0.0000228504,0.0000228504
M3_fft,M3_fft_Q,final_standardized_rmse_7param,1,1,0.0046074959,0.0046074959,0.0000000000,0.0000000000,0.0046074959,0.0046074959
M3_fft,M3_fft_Q,final_seed_error_euclid,1,1,0.0011986178,0.0011986178,0.0000000000,0.0000000000,0.0011986178,0.0011986178
M3_fft,M3_fft_Q,optimizer_n_iter,1,1,-1.0000000000,-1.0000000000,1.0000000000,0.0000000000,-1.0000000000,-1.0000000000
M3_fft,M3_fft_Q,optimizer_func_evals,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft,M3_fft_Q,final_fit_s,1,1,0.0354097090,0.0354097090,0.0000000000,0.0000000000,0.0354097090,0.0354097090
M3_fft,M3_fft_Q,end_to_end_s,1,1,0.0350917099,0.0350917099,0.0000000000,0.0000000000,0.0350917099,0.0350917099
M3_fft,M3_fft_JKQ,common_eval_nll,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft,M3_fft_JKQ,common_regret_vs_case_best,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft,M3_fft_JKQ,final_standardized_rmse_7param,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft,M3_fft_JKQ,final_seed_error_euclid,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft,M3_fft_JKQ,optimizer_n_iter,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft,M3_fft_JKQ,optimizer_func_evals,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft,M3_fft_JKQ,final_fit_s,1,1,0.0375144170,0.0375144170,0.0000000000,0.0000000000,0.0375144170,0.0375144170
M3_fft,M3_fft_JKQ,end_to_end_s,1,1,0.0381067089,0.0381067089,0.0000000000,0.0000000000,0.0381067089,0.0381067089
M3_fft_JKQ,M3_fft_Q,common_eval_nll,1,1,0.0000228504,0.0000228504,0.0000000000,0.0000000000,0.0000228504,0.0000228504
M3_fft_JKQ,M3_fft_Q,common_regret_vs_case_best,1,1,0.0000228504,0.0000228504,0.0000000000,0.0000000000,0.0000228504,0.0000228504
M3_fft_JKQ,M3_fft_Q,final_standardized_rmse_7param,1,1,0.0046074959,0.0046074959,0.0000000000,0.0000000000,0.0046074959,0.0046074959
M3_fft_JKQ,M3_fft_Q,final_seed_error_euclid,1,1,0.0011986178,0.0011986178,0.0000000000,0.0000000000,0.0011986178,0.0011986178
M3_fft_JKQ,M3_fft_Q,optimizer_n_iter,1,1,-1.0000000000,-1.0000000000,1.0000000000,0.0000000000,-1.0000000000,-1.0000000000
M3_fft_JKQ,M3_fft_Q,optimizer_func_evals,1,1,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
M3_fft_JKQ,M3_fft_Q,final_fit_s,1,1,-0.0021047080,-0.0021047080,1.0000000000,0.0000000000,-0.0021047080,-0.0021047080
M3_fft_JKQ,M3_fft_Q,end_to_end_s,1,1,-0.0030149990,-0.0030149990,1.0000000000,0.0000000000,-0.0030149990,-0.0030149990
