dataset_id,truth_id,speed_label,direction,replicate,nuisance_scenario,method,true_sigmasq,true_range_lat,true_range_lon,true_range_time,true_advec_lat,true_advec_lon,true_nugget,status,seed_lat,seed_lon,seed_total_s,seed_closure_calls,own_initial_nll,own_final_nll,own_nll_decrease,common_eval_nll,final_precompute_s,final_fit_s,final_total_s,end_to_end_s,final_closure_calls,optimizer_n_iter,optimizer_func_evals,final_grad_inf,converged_grad,hit_iteration_budget,hit_evaluation_budget,finite_fit,loss_history,est_sigmasq,est_range_lat,est_range_lon,est_range_time,est_advec_lat,est_advec_lon,est_nugget,final_rmsre_7param,final_positive_log_rmse,final_standardized_rmse_7param,final_seed_error_euclid,final_seed_angle_error_deg,final_seed_norm,final_true_advec_norm,final_seed_norm_abs_error,final_correct_quadrant,common_nll_regret
slow_NE_rep00,slow_NE,slow,NE,0,oracle_start,M0_zero,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.0000000000,0.0000000000,0.0000000000,0,1.1265280876,1.1197143178,0.0068137698,1.1169982513,0.0359150000,4.3119230830,4.3478380830,4.3478380830,12,10,12,0.0001874572,True,False,True,True,"[1.126528087622182, 1.1249885210534425, 1.1216190132907229, 1.1202843683892807, 1.1199182375487016, 1.1198894322879662, 1.1198155998609336, 1.1197950647918058, 1.1197208865661965, 1.119716331996467, 1.1197150421354243, 1.1197143177877258]",8.9746636266,0.1866300027,0.2855300470,1.9531092336,0.0417391889,0.0948447775,1.0239468183,0.0572959249,0.0633351454,0.0568312313,0.0054406890,1.9518740950,0.1036228339,0.1077032961,0.0040804622,True,0.0000774797
slow_NE_rep00,slow_NE,slow,NE,0,oracle_start,M3_fft,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.0440000000,0.1260000000,0.0030452920,0,1.1187116434,1.1178137711,0.0008978723,1.1169381228,0.0977608750,4.3596258330,4.4573867080,4.4604320001,12,10,12,0.0004000285,True,False,True,True,"[1.118711643404565, 1.1192025022703092, 1.1182437560771161, 1.1181273112901111, 1.1180415780408035, 1.1179899006920861, 1.1179331184781713, 1.1179071333227735, 1.1178552024684756, 1.1178252350668691, 1.1178153427179573, 1.1178137710975133]",9.1006980278,0.1880022263,0.2895532361,2.0013417576,0.0351857169,0.1040005904,1.0216352375,0.0648663975,0.0537065611,0.0504263764,0.0062595563,3.1095858136,0.1097914271,0.1077032961,0.0020881310,True,0.0000173512
slow_NE_rep00,slow_NE,slow,NE,0,oracle_start,S1_fixed_stencil,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.1194718137,0.0391276086,0.0875089580,5,1.1291505411,1.1195793720,0.0095711691,1.1171263708,0.0974561670,4.3204125830,4.4178687500,4.5053777080,12,10,12,0.0025463277,False,False,True,True,"[1.1291505411217784, 1.1289282122282776, 1.1212401946540766, 1.1351360233786616, 1.119913609669713, 1.1197472160766697, 1.1197170150235622, 1.1196699415012719, 1.1196442860644813, 1.1196224542583928, 1.11960250054927, 1.1195793720361051]",9.1948665975,0.1917492438,0.2918004094,1.9635270462,0.0426806183,0.0903714248,1.0056401548,0.0573930147,0.0446297462,0.0515068987,0.0099947574,3.4790204393,0.0999431318,0.1077032961,0.0077601644,True,0.0002055992
slow_NE_rep00,slow_NE,slow,NE,0,oracle_start,S2_pairwise_polar,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.0191043724,0.0839538367,0.0141035840,5,1.1180919035,1.1169091798,0.0011827237,1.1169207717,0.0934725420,4.3448176670,4.4382902090,4.4523937930,12,10,12,0.0003789725,True,False,True,True,"[1.1180919034785433, 1.120041580660752, 1.1173545405399348, 1.1172714639717916, 1.1171400003253678, 1.1170775538187931, 1.117021318119162, 1.1169786166193683, 1.1169374689710758, 1.1169142881699994, 1.1169096120659736, 1.1169091797982675]",9.0569729742,0.1878844918,0.2895778027,2.0024287879,0.0378420227,0.1020037951,1.0253938338,0.0503245662,0.0558506363,0.0483204472,0.0029448363,1.4472396552,0.1087970261,0.1077032961,0.0010937300,True,0.0000000000
slow_NE_rep00,slow_NE,slow,NE,0,oracle_start,S3_fft_gated,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.0220000000,0.0945000000,0.0101560010,1,1.1177648077,1.1169223569,0.0008424509,1.1169223569,0.0934953330,4.3848797500,4.4783750830,4.4885310840,12,10,12,0.0004348424,True,False,True,True,"[1.1177648077234865, 1.1192970271575866, 1.1173153292478177, 1.1172727751610274, 1.117084478642666, 1.1170496115325514, 1.1170158581229614, 1.11697223859071, 1.1169328828573797, 1.1169238758526652, 1.1169228286960668, 1.1169223568535698]",9.0712375029,0.1879699282,0.2899317636,2.0020839084,0.0379338236,0.1021651189,1.0238991417,0.0493957728,0.0549076643,0.0475791041,0.0029927954,1.4314899707,0.1089802114,0.1077032961,0.0012769153,True,0.0000015852
slow_NE_rep00,slow_NE,slow,NE,0,oracle_start,S4_iterative_corridor,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.0390861101,0.1068435688,2.6353335010,6,1.1173761130,1.1169222290,0.0004538839,1.1169222290,0.0930108750,4.3804206670,4.4734315420,7.1087650430,12,11,12,0.0005236365,True,False,True,True,"[1.1173761129647628, 1.1172759652650939, 1.1171895824514362, 1.1171158787325532, 1.117072903945799, 1.1170495358119605, 1.1170159060697487, 1.1169761737450543, 1.1169352305168936, 1.116924067784928, 1.11692258572411, 1.1169222290179457]",9.0709893651,0.1879873156,0.2899466095,2.0025902957,0.0379651442,0.1017863104,1.0238894579,0.0490489586,0.0548903905,0.0473539927,0.0027076822,1.3464621472,0.1086361135,0.1077032961,0.0009328174,True,0.0000014574
slow_NE_rep00,slow_NE,slow,NE,0,short_time_high_nugget,M3_fft,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.0440000000,0.1260000000,0.0030452920,0,1.1333264790,1.1218215440,0.0115049350,1.1210077584,0.0978982910,4.3522400840,4.4501383749,4.4531836670,12,10,12,0.0402329209,False,False,True,True,"[1.1333264789561819, 1.1323801073828053, 1.129886527869376, 1.1290509139496152, 1.1278863945733688, 1.126829137660646, 1.1263643033931294, 1.1256930164675956, 1.1244588810866167, 1.1254022867519546, 1.1228632009657356, 1.1218215439853334]",11.0048081305,0.1802726788,0.3153902222,2.1259261179,0.0416485619,0.1298406111,0.6309234971,0.1902569527,0.2183154603,0.2122352003,0.0298861142,4.0168914787,0.1363568370,0.1077032961,0.0286535408,True,0.0024364929
slow_NE_rep00,slow_NE,slow,NE,0,short_time_high_nugget,S1_fixed_stencil,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.1395609685,0.0624170914,0.0908972090,5,1.1354647045,1.1217958106,0.0136688939,1.1198837404,0.1044006670,4.3474795830,4.4518802500,4.5427774590,12,10,12,0.0471210201,False,False,True,True,"[1.135464704498362, 1.1335834595998464, 1.1312100470659219, 1.1299667383211072, 1.129206631457611, 1.1285944949670554, 1.127175979484744, 1.1262100034735667, 1.1249908566870568, 1.125793542600299, 1.1231488995612755, 1.1217958106145334]",10.0945961802,0.1683921990,0.2769371541,1.9012106912,0.0569857536,0.0694477930,0.6984362035,0.2384540791,0.1830094276,0.1974129262,0.0349564468,17.5693617994,0.0898352496,0.1077032961,0.0178680466,True,0.0013124749
slow_NE_rep00,slow_NE,slow,NE,0,short_time_high_nugget,S2_pairwise_polar,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,-0.0134061192,0.0690413444,0.0138089170,4,1.1336266865,1.1225987404,0.0110279462,1.1206454257,0.0923323750,4.3422161670,4.4345485420,4.4483574590,12,9,12,0.0093985107,False,False,True,True,"[1.1336266865270392, 1.1324998073806134, 1.130136092210543, 1.129371857748649, 1.1277159724205026, 1.130097631147703, 1.1272477881248468, 1.1265263795393543, 1.1251447804385755, 1.123345571494696, 1.1253859764310514, 1.1225987403593938]",10.8389497266,0.1776344526,0.3161616762,2.0494125757,0.0337342307,0.1058396088,0.6521247768,0.1567623860,0.2033102307,0.1744376535,0.0085650975,4.1227824268,0.1110856476,0.1077032961,0.0033823514,True,0.0020741601
slow_NE_rep00,slow_NE,slow,NE,0,short_time_high_nugget,S3_fft_gated,10.0000000000,0.2000000000,0.3000000000,2.0000000000,0.0400000000,0.1000000000,1.0000000000,ok,0.0220000000,0.0945000000,0.0103173340,1,1.1327460999,1.1185712656,0.0141748343,1.1185712656,0.0933624170,4.9545707920,5.0479332089,5.0582505430,13,11,13,0.0394284779,False,False,True,True,"[1.1327460999054049, 1.1318903731167225, 1.1293712349213847, 1.1284859133843497, 1.1275473941184735, 1.1261399373573713, 1.1256464228233483, 1.1246182444511847, 1.1225318703397802, 1.12095734522604, 1.119675905051608, 1.121115776358211, 1.118571265560561]",10.6382563961,0.1977315116,0.2902744429,2.0412753622,0.0385089884,0.0747541033,0.7415149532,0.1402134774,0.1377667775,0.1464018420,0.0252898877,5.4534942034,0.0840899408,0.1077032961,0.0236133553,True,0.0000000000
