index,frac_index,conditional_eigenvalue,local_eigen_rank,leverage,expected_increment,y2,cumsum_y2,scaled_cumsum,expected,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
1,0.000007,197.863081,1,0.024106,0.975894,3.675551,3.675551,0.000026,0.975894,0.000007,-720.972273,722.924061,-0.005103,0.005117
2,0.000014,197.817400,1,0.048342,0.951658,0.298592,3.974143,0.000028,1.927552,0.000014,-720.020615,723.875719,-0.005096,0.005123
3,0.000021,197.720584,1,0.024068,0.975932,0.021488,3.995631,0.000028,2.903484,0.000021,-719.044683,724.851651,-0.005089,0.005130
4,0.000027,197.691663,1,0.046841,0.953159,0.471347,4.466977,0.000032,3.856643,0.000027,-718.091524,725.804810,-0.005082,0.005137
5,0.000034,197.608341,1,0.049572,0.950428,1.094561,5.561538,0.000039,4.807071,0.000034,-717.141096,726.755238,-0.005076,0.005144
6,0.000041,196.372227,1,0.026162,0.973838,0.155509,5.717047,0.000040,5.780909,0.000041,-716.167258,727.729076,-0.005069,0.005151
7,0.000048,195.833865,1,0.026392,0.973608,0.174091,5.891138,0.000042,6.754517,0.000048,-715.193650,728.702684,-0.005062,0.005157
8,0.000055,195.575743,1,0.022544,0.977456,1.320850,7.211989,0.000051,7.731973,0.000055,-714.216194,729.680140,-0.005055,0.005164
9,0.000062,195.569815,1,0.022168,0.977832,0.009404,7.221393,0.000051,8.709805,0.000062,-713.238362,730.657972,-0.005048,0.005171
10,0.000069,194.964950,1,0.025992,0.974008,0.029097,7.250490,0.000051,9.683813,0.000069,-712.264354,731.631980,-0.005041,0.005178
11,0.000075,194.830039,1,0.022966,0.977034,0.008241,7.258731,0.000051,10.660847,0.000075,-711.287320,732.609014,-0.005034,0.005185
12,0.000082,194.711671,1,0.017168,0.982832,0.064385,7.323116,0.000052,11.643678,0.000082,-710.304489,733.591845,-0.005027,0.005192
13,0.000089,194.557649,1,0.015199,0.984801,0.736266,8.059382,0.000057,12.628479,0.000089,-709.319688,734.576646,-0.005020,0.005199
14,0.000096,193.609040,1,0.028163,0.971837,1.957169,10.016551,0.000071,13.600316,0.000096,-708.347851,735.548483,-0.005013,0.005206
15,0.000103,192.872670,1,0.024353,0.975647,0.467503,10.484054,0.000074,14.575963,0.000103,-707.372204,736.524130,-0.005006,0.005213
16,0.000110,192.749931,1,0.015441,0.984559,0.034321,10.518375,0.000074,15.560522,0.000110,-706.387645,737.508689,-0.004999,0.005220
17,0.000117,192.333997,1,0.023282,0.976718,1.359812,11.878187,0.000084,16.537240,0.000117,-705.410927,738.485407,-0.004993,0.005227
18,0.000124,191.798679,1,0.020541,0.979459,0.040134,11.918321,0.000084,17.516699,0.000124,-704.431468,739.464866,-0.004986,0.005234
19,0.000131,190.049489,1,0.014651,0.985349,0.035291,11.953612,0.000085,18.502049,0.000131,-703.446118,740.450216,-0.004979,0.005241
20,0.000138,180.489356,1,0.011320,0.988680,0.112204,12.065816,0.000085,19.490729,0.000138,-702.457438,741.438896,-0.004972,0.005248
21,0.000145,175.240040,1,0.006910,0.993090,0.202688,12.268503,0.000087,20.483819,0.000145,-701.464348,742.431986,-0.004965,0.005255
22,0.000152,175.088518,1,0.009140,0.990860,0.390326,12.658829,0.000090,21.474679,0.000152,-700.473488,743.422846,-0.004958,0.005262
23,0.000159,174.765374,1,0.007669,0.992331,0.035871,12.694700,0.000090,22.467010,0.000159,-699.481157,744.415177,-0.004951,0.005269
24,0.000166,173.845209,1,0.007144,0.992856,1.531224,14.225925,0.000101,23.459866,0.000166,-698.488301,745.408033,-0.004944,0.005276
25,0.000173,170.830543,1,0.010070,0.989930,0.175643,14.401567,0.000102,24.449796,0.000173,-697.498371,746.397963,-0.004937,0.005283
26,0.000180,170.214434,1,0.015342,0.984658,0.206619,14.608186,0.000103,25.434454,0.000180,-696.513713,747.382621,-0.004930,0.005290
27,0.000187,169.199288,1,0.005097,0.994903,0.861107,15.469293,0.000109,26.429356,0.000187,-695.518811,748.377523,-0.004923,0.005297
28,0.000194,168.039216,1,0.004204,0.995796,0.563096,16.032388,0.000113,27.425153,0.000194,-694.523014,749.373320,-0.004916,0.005304
29,0.000201,167.990149,1,0.006368,0.993632,2.278313,18.310701,0.000130,28.418785,0.000201,-693.529382,750.366952,-0.004908,0.005311
30,0.000208,167.041075,1,0.004804,0.995196,0.427431,18.738132,0.000133,29.413981,0.000208,-692.534186,751.362148,-0.004901,0.005318
31,0.000215,166.357399,1,0.006404,0.993596,0.291668,19.029800,0.000135,30.407576,0.000215,-691.540591,752.355743,-0.004894,0.005325
32,0.000222,166.180211,1,0.011437,0.988563,0.183104,19.212904,0.000136,31.396139,0.000222,-690.552028,753.344306,-0.004887,0.005332
33,0.000229,165.758531,1,0.004113,0.995887,0.255440,19.468344,0.000138,32.392026,0.000229,-689.556141,754.340193,-0.004880,0.005339
34,0.000236,165.514703,1,0.006074,0.993926,0.472214,19.940558,0.000141,33.385953,0.000236,-688.562214,755.334120,-0.004873,0.005346
35,0.000243,165.120496,1,0.006043,0.993957,0.797712,20.738270,0.000147,34.379909,0.000243,-687.568258,756.328076,-0.004866,0.005353
36,0.000250,165.048785,1,0.003753,0.996247,0.864426,21.602696,0.000153,35.376156,0.000250,-686.572011,757.324323,-0.004859,0.005360
37,0.000257,164.728672,1,0.003795,0.996205,0.022127,21.624823,0.000153,36.372361,0.000257,-685.575806,758.320528,-0.004852,0.005367
38,0.000264,164.671015,1,0.002968,0.997032,2.118072,23.742894,0.000168,37.369393,0.000264,-684.578774,759.317560,-0.004845,0.005374
39,0.000271,164.325475,1,0.013015,0.986985,0.302109,24.045003,0.000170,38.356378,0.000271,-683.591789,760.304545,-0.004838,0.005381
40,0.000279,161.644503,1,0.003404,0.996596,0.287909,24.332912,0.000172,39.352974,0.000279,-682.595193,761.301141,-0.004831,0.005388
41,0.000286,161.186184,1,0.003271,0.996729,0.167254,24.500166,0.000173,40.349702,0.000286,-681.598465,762.297869,-0.004824,0.005395
42,0.000293,161.115392,1,0.012740,0.987260,2.435510,26.935676,0.000191,41.336962,0.000293,-680.611205,763.285129,-0.004817,0.005402
43,0.000300,160.388295,1,0.003061,0.996939,0.044527,26.980203,0.000191,42.333901,0.000300,-679.614266,764.282068,-0.004810,0.005409
44,0.000307,160.272865,1,0.002416,0.997584,0.442233,27.422436,0.000194,43.331484,0.000307,-678.616683,765.279651,-0.004803,0.005416
45,0.000314,159.275406,1,0.009824,0.990176,0.228459,27.650895,0.000196,44.321661,0.000314,-677.626506,766.269828,-0.004796,0.005423
46,0.000321,156.309624,1,0.002665,0.997335,0.065417,27.716311,0.000196,45.318996,0.000321,-676.629171,767.267163,-0.004789,0.005430
47,0.000328,156.304851,1,0.002480,0.997520,1.392155,29.108466,0.000206,46.316516,0.000328,-675.631651,768.264683,-0.004782,0.005437
48,0.000335,155.866984,1,0.003506,0.996494,1.821516,30.929982,0.000219,47.313010,0.000335,-674.635157,769.261177,-0.004775,0.005444
49,0.000342,151.253599,1,0.024283,0.975717,0.406565,31.336548,0.000222,48.288727,0.000342,-673.659440,770.236894,-0.004768,0.005451
50,0.000349,148.155893,1,0.001986,0.998014,0.317718,31.654266,0.000224,49.286742,0.000349,-672.661425,771.234909,-0.004761,0.005458
51,0.000356,146.884704,1,0.006913,0.993087,0.482125,32.136390,0.000227,50.279829,0.000356,-671.668338,772.227996,-0.004754,0.005465
52,0.000363,146.360534,1,0.006642,0.993358,0.002302,32.138692,0.000227,51.273187,0.000363,-670.674980,773.221354,-0.004747,0.005473
53,0.000370,145.274467,1,0.008632,0.991368,0.328538,32.467230,0.000230,52.264556,0.000370,-669.683611,774.212723,-0.004740,0.005480
54,0.000377,144.411966,1,0.005171,0.994829,0.318699,32.785929,0.000232,53.259385,0.000377,-668.688782,775.207552,-0.004733,0.005487
55,0.000384,144.226268,1,0.001235,0.998765,0.917840,33.703769,0.000239,54.258150,0.000384,-667.690017,776.206317,-0.004726,0.005494
56,0.000391,143.052244,1,0.002156,0.997844,0.115787,33.819557,0.000239,55.255995,0.000391,-666.692172,777.204162,-0.004719,0.005501
57,0.000398,141.685714,1,0.004076,0.995924,0.006919,33.826475,0.000239,56.251918,0.000398,-665.696249,778.200085,-0.004711,0.005508
58,0.000405,135.982583,1,0.001187,0.998813,0.249117,34.075592,0.000241,57.250731,0.000405,-664.697436,779.198898,-0.004704,0.005515
