index,frac_index,conditional_eigenvalue,local_eigen_rank,leverage,expected_increment,y2,cumsum_y2,scaled_cumsum,expected,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
1,0.000007,107.716218,1,0.008268,0.991732,6.867388,6.867388,0.000049,0.991732,0.000007,-720.956435,722.939899,-0.005103,0.005117
2,0.000014,107.704139,1,0.009571,0.990429,1.893652,8.761040,0.000062,1.982161,0.000014,-719.966006,723.930328,-0.005096,0.005124
3,0.000021,107.690256,1,0.013404,0.986596,1.224764,9.985804,0.000071,2.968757,0.000021,-718.979410,724.916924,-0.005089,0.005131
4,0.000028,107.671254,1,0.014581,0.985419,4.806786,14.792590,0.000105,3.954176,0.000028,-717.993991,725.902343,-0.005082,0.005138
5,0.000035,107.653051,1,0.009309,0.990691,0.144193,14.936783,0.000106,4.944868,0.000035,-717.003299,726.893035,-0.005075,0.005145
6,0.000042,107.648603,1,0.013262,0.986738,0.014906,14.951689,0.000106,5.931606,0.000042,-716.016561,727.879773,-0.005068,0.005152
7,0.000049,107.645636,1,0.016997,0.983003,0.438382,15.390070,0.000109,6.914609,0.000049,-715.033558,728.862776,-0.005061,0.005159
8,0.000056,107.641792,1,0.012219,0.987781,0.000241,15.390311,0.000109,7.902389,0.000056,-714.045778,729.850556,-0.005054,0.005166
9,0.000063,107.623837,1,0.008941,0.991059,1.410275,16.800586,0.000119,8.893448,0.000063,-713.054719,730.841615,-0.005047,0.005173
10,0.000070,107.615811,1,0.009605,0.990395,0.003468,16.804054,0.000119,9.883843,0.000070,-712.064324,731.832010,-0.005040,0.005180
11,0.000077,107.561898,1,0.016958,0.983042,1.068473,17.872527,0.000126,10.866885,0.000077,-711.081282,732.815052,-0.005033,0.005187
12,0.000084,107.546516,1,0.008280,0.991720,0.044571,17.917098,0.000127,11.858605,0.000084,-710.089562,733.806772,-0.005026,0.005194
13,0.000091,107.543055,1,0.009970,0.990030,0.167599,18.084697,0.000128,12.848634,0.000091,-709.099533,734.796801,-0.005019,0.005201
14,0.000098,107.535834,1,0.013352,0.986648,1.832120,19.916817,0.000141,13.835283,0.000098,-708.112884,735.783450,-0.005012,0.005208
15,0.000105,107.492869,1,0.013052,0.986948,0.013916,19.930733,0.000141,14.822231,0.000105,-707.125936,736.770398,-0.005005,0.005215
16,0.000112,107.441310,1,0.009469,0.990531,0.000686,19.931419,0.000141,15.812761,0.000112,-706.135406,737.760928,-0.004998,0.005222
17,0.000119,107.417811,1,0.009666,0.990334,0.263453,20.194872,0.000143,16.803096,0.000119,-705.145071,738.751263,-0.004991,0.005229
18,0.000126,107.410985,1,0.009527,0.990473,0.036342,20.231213,0.000143,17.793568,0.000126,-704.154599,739.741735,-0.004984,0.005236
19,0.000133,107.404331,1,0.008959,0.991041,0.302101,20.533314,0.000145,18.784609,0.000133,-703.163558,740.732776,-0.004977,0.005243
20,0.000140,107.370404,1,0.009264,0.990736,2.837900,23.371214,0.000165,19.775345,0.000140,-702.172822,741.723512,-0.004970,0.005250
21,0.000147,107.352196,1,0.016988,0.983012,2.303109,25.674323,0.000182,20.758357,0.000147,-701.189810,742.706524,-0.004963,0.005257
22,0.000154,107.296628,1,0.008782,0.991218,0.187500,25.861824,0.000183,21.749575,0.000154,-700.198592,743.697742,-0.004956,0.005264
23,0.000161,107.109752,1,0.007423,0.992577,0.584874,26.446698,0.000187,22.742152,0.000161,-699.206015,744.690319,-0.004949,0.005271
24,0.000168,107.102450,1,0.010162,0.989838,3.479739,29.926437,0.000212,23.731990,0.000168,-698.216177,745.680157,-0.004942,0.005278
25,0.000175,107.077180,1,0.006481,0.993519,3.149322,33.075759,0.000234,24.725509,0.000175,-697.222658,746.673676,-0.004935,0.005285
26,0.000182,107.067569,1,0.006737,0.993263,0.135889,33.211648,0.000235,25.718772,0.000182,-696.229395,747.666939,-0.004928,0.005292
27,0.000189,107.066876,1,0.007779,0.992221,0.787663,33.999311,0.000241,26.710993,0.000189,-695.237174,748.659160,-0.004921,0.005299
28,0.000196,107.056244,1,0.013793,0.986207,0.361626,34.360938,0.000243,27.697200,0.000196,-694.250967,749.645367,-0.004914,0.005306
29,0.000203,107.052385,1,0.010715,0.989285,0.461386,34.822323,0.000246,28.686485,0.000203,-693.261682,750.634652,-0.004907,0.005313
30,0.000210,107.049971,1,0.006539,0.993461,1.214497,36.036820,0.000255,29.679947,0.000210,-692.268220,751.628114,-0.004900,0.005320
31,0.000217,107.004981,1,0.010684,0.989316,0.147023,36.183843,0.000256,30.669263,0.000217,-691.278904,752.617430,-0.004893,0.005327
32,0.000224,106.979462,1,0.010725,0.989275,0.223929,36.407772,0.000258,31.658538,0.000224,-690.289629,753.606705,-0.004886,0.005334
33,0.000231,106.946506,1,0.007565,0.992435,0.264123,36.671895,0.000260,32.650973,0.000231,-689.297194,754.599140,-0.004879,0.005341
34,0.000238,106.898013,1,0.006706,0.993294,0.189371,36.861267,0.000261,33.644267,0.000238,-688.303900,755.592434,-0.004871,0.005348
35,0.000245,106.645104,1,0.012963,0.987037,3.389536,40.250803,0.000285,34.631304,0.000245,-687.316863,756.579471,-0.004865,0.005355
36,0.000252,106.632406,1,0.014373,0.985627,0.179502,40.430306,0.000286,35.616932,0.000252,-686.331235,757.565099,-0.004858,0.005362
37,0.000259,106.624936,1,0.006114,0.993886,0.002538,40.432843,0.000286,36.610818,0.000259,-685.337349,758.558985,-0.004851,0.005369
38,0.000266,106.589595,1,0.006545,0.993455,2.717741,43.150585,0.000305,37.604273,0.000266,-684.343894,759.552440,-0.004843,0.005376
39,0.000273,106.581521,1,0.008658,0.991342,2.416081,45.566665,0.000322,38.595615,0.000273,-683.352552,760.543782,-0.004836,0.005383
40,0.000280,106.566511,1,0.012636,0.987364,1.130067,46.696732,0.000330,39.582979,0.000280,-682.365188,761.531146,-0.004829,0.005390
41,0.000287,106.518581,1,0.006584,0.993416,0.016476,46.713208,0.000331,40.576395,0.000287,-681.371772,762.524562,-0.004822,0.005397
42,0.000294,106.376861,1,0.011669,0.988331,0.011701,46.724909,0.000331,41.564726,0.000294,-680.383441,763.512893,-0.004815,0.005404
43,0.000301,106.319414,1,0.006586,0.993414,0.343750,47.068659,0.000333,42.558139,0.000301,-679.390028,764.506306,-0.004808,0.005411
44,0.000308,106.234895,1,0.009221,0.990779,0.252112,47.320771,0.000335,43.548919,0.000308,-678.399248,765.497086,-0.004801,0.005418
45,0.000315,105.628705,1,0.005253,0.994747,1.319717,48.640489,0.000344,44.543665,0.000315,-677.404502,766.491832,-0.004794,0.005425
46,0.000322,105.458189,1,0.012561,0.987439,0.825285,49.465774,0.000350,45.531104,0.000322,-676.417063,767.479271,-0.004787,0.005432
47,0.000329,105.341657,1,0.008521,0.991479,0.307112,49.772886,0.000352,46.522583,0.000329,-675.425584,768.470750,-0.004780,0.005439
48,0.000336,105.256047,1,0.012482,0.987518,0.080793,49.853679,0.000353,47.510101,0.000336,-674.438066,769.458268,-0.004773,0.005446
