index,frac_index,conditional_eigenvalue,local_eigen_rank,leverage,expected_increment,y2,cumsum_y2,scaled_cumsum,expected,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
1,0.000007,242.085523,1,0.019368,0.980632,3.059280,3.059280,0.000022,0.980632,0.000007,-720.967535,722.928799,-0.005103,0.005117
2,0.000014,241.998683,1,0.039456,0.960544,0.213840,3.273120,0.000023,1.941176,0.000014,-720.006991,723.889343,-0.005096,0.005123
3,0.000021,241.882920,1,0.038914,0.961086,0.431622,3.704742,0.000026,2.902263,0.000021,-719.045904,724.850430,-0.005089,0.005130
4,0.000027,241.873403,1,0.019359,0.980641,0.021766,3.726508,0.000026,3.882904,0.000027,-718.065263,725.831071,-0.005082,0.005137
5,0.000034,241.637556,1,0.039758,0.960242,0.958714,4.685222,0.000033,4.843145,0.000034,-717.105022,726.791312,-0.005075,0.005144
6,0.000041,241.226859,1,0.022217,0.977783,0.130343,4.815565,0.000034,5.820928,0.000041,-716.127239,727.769095,-0.005068,0.005151
7,0.000048,241.186899,1,0.020492,0.979508,0.954394,5.769959,0.000041,6.800436,0.000048,-715.147731,728.748603,-0.005061,0.005158
8,0.000055,241.116393,1,0.020420,0.979580,0.006491,5.776450,0.000041,7.780016,0.000055,-714.168151,729.728183,-0.005055,0.005165
9,0.000062,240.842603,1,0.024951,0.975049,0.013099,5.789549,0.000041,8.755065,0.000062,-713.193102,730.703232,-0.005048,0.005172
10,0.000069,240.779001,1,0.022420,0.977580,0.001933,5.791482,0.000041,9.732645,0.000069,-712.215522,731.680812,-0.005041,0.005179
11,0.000076,240.716017,1,0.015512,0.984488,0.645564,6.437046,0.000046,10.717133,0.000076,-711.231034,732.665300,-0.005034,0.005185
12,0.000083,240.493088,1,0.016416,0.983584,0.085787,6.522833,0.000046,11.700717,0.000083,-710.247450,733.648884,-0.005027,0.005192
13,0.000090,240.247343,1,0.028553,0.971447,1.771909,8.294742,0.000059,12.672164,0.000090,-709.276003,734.620331,-0.005020,0.005199
14,0.000097,239.859307,1,0.025156,0.974844,0.418065,8.712807,0.000062,13.647007,0.000097,-708.301160,735.595174,-0.005013,0.005206
15,0.000104,239.584141,1,0.015506,0.984494,0.047525,8.760333,0.000062,14.631501,0.000104,-707.316666,736.579668,-0.005006,0.005213
16,0.000110,239.484187,1,0.024479,0.975521,1.016496,9.776829,0.000069,15.607022,0.000110,-706.341145,737.555189,-0.004999,0.005220
17,0.000117,239.038406,1,0.020406,0.979594,0.149574,9.926403,0.000070,16.586617,0.000117,-705.361550,738.534784,-0.004992,0.005227
18,0.000124,239.020399,1,0.021434,0.978566,0.013691,9.940094,0.000070,17.565183,0.000124,-704.382984,739.513350,-0.004985,0.005234
19,0.000131,234.191781,1,0.015491,0.984509,0.007852,9.947946,0.000070,18.549692,0.000131,-703.398475,740.497859,-0.004978,0.005241
20,0.000138,231.110883,1,0.013282,0.986718,0.100597,10.048543,0.000071,19.536410,0.000138,-702.411757,741.484577,-0.004971,0.005248
21,0.000145,226.779371,1,0.010099,0.989901,0.016316,10.064859,0.000071,20.526312,0.000145,-701.421855,742.474479,-0.004964,0.005255
22,0.000152,226.742672,1,0.008950,0.991050,0.114598,10.179457,0.000072,21.517362,0.000152,-700.430805,743.465529,-0.004957,0.005262
23,0.000159,226.592180,1,0.011258,0.988742,0.169836,10.349293,0.000073,22.506104,0.000159,-699.442063,744.454271,-0.004950,0.005269
24,0.000166,225.708352,1,0.009294,0.990706,1.188325,11.537618,0.000082,23.496810,0.000166,-698.451357,745.444977,-0.004943,0.005276
25,0.000173,222.652723,1,0.012306,0.987694,0.103193,11.640811,0.000082,24.484504,0.000173,-697.463663,746.432671,-0.004936,0.005283
26,0.000180,221.462303,1,0.017097,0.982903,0.172088,11.812900,0.000084,25.467407,0.000180,-696.480760,747.415574,-0.004929,0.005290
27,0.000187,221.213237,1,0.006672,0.993328,0.477121,12.290021,0.000087,26.460735,0.000187,-695.487432,748.408902,-0.004922,0.005297
28,0.000194,220.981618,1,0.006098,0.993902,0.488497,12.778517,0.000090,27.454637,0.000194,-694.493530,749.402804,-0.004915,0.005304
29,0.000201,220.559677,1,0.008751,0.991249,1.895484,14.674001,0.000104,28.445885,0.000201,-693.502282,750.394052,-0.004908,0.005311
30,0.000208,219.515270,1,0.006186,0.993814,0.196782,14.870783,0.000105,29.439700,0.000208,-692.508467,751.387867,-0.004901,0.005318
31,0.000215,218.826715,1,0.013789,0.986211,0.152045,15.022828,0.000106,30.425911,0.000215,-691.522256,752.374078,-0.004894,0.005325
32,0.000222,218.343944,1,0.005921,0.994079,0.159530,15.182358,0.000107,31.419991,0.000222,-690.528176,753.368158,-0.004887,0.005332
33,0.000229,218.279363,1,0.008859,0.991141,0.271542,15.453901,0.000109,32.411131,0.000229,-689.537036,754.359298,-0.004880,0.005339
34,0.000236,218.054528,1,0.004509,0.995491,1.729395,17.183296,0.000122,33.406622,0.000236,-688.541545,755.354789,-0.004873,0.005346
35,0.000243,217.944435,1,0.008801,0.991199,0.511707,17.695003,0.000125,34.397821,0.000243,-687.550346,756.345988,-0.004866,0.005353
36,0.000250,217.813449,1,0.005163,0.994837,0.599469,18.294472,0.000129,35.392659,0.000250,-686.555508,757.340826,-0.004859,0.005360
37,0.000258,217.397643,1,0.008941,0.991059,0.256888,18.551360,0.000131,36.383718,0.000258,-685.564449,758.331885,-0.004852,0.005367
38,0.000265,217.110298,1,0.005217,0.994783,0.040394,18.591754,0.000132,37.378500,0.000265,-684.569667,759.326667,-0.004845,0.005374
39,0.000272,215.394388,1,0.014152,0.985848,0.189903,18.781657,0.000133,38.364348,0.000272,-683.583819,760.312515,-0.004838,0.005381
40,0.000279,213.650311,1,0.004952,0.995048,0.110625,18.892282,0.000134,39.359396,0.000279,-682.588771,761.307563,-0.004831,0.005388
41,0.000286,213.497223,1,0.003931,0.996069,0.241746,19.134028,0.000135,40.355465,0.000286,-681.592702,762.303632,-0.004824,0.005395
42,0.000293,213.125801,1,0.004259,0.995741,0.008106,19.142133,0.000135,41.351206,0.000293,-680.596961,763.299373,-0.004817,0.005402
43,0.000300,213.092685,1,0.005152,0.994848,0.125367,19.267500,0.000136,42.346054,0.000300,-679.602113,764.294221,-0.004810,0.005409
44,0.000307,212.986417,1,0.013799,0.986201,1.778319,21.045819,0.000149,43.332255,0.000307,-678.615912,765.280422,-0.004803,0.005416
45,0.000314,211.506817,1,0.011675,0.988325,0.260842,21.306661,0.000151,44.320580,0.000314,-677.627587,766.268747,-0.004796,0.005423
46,0.000321,209.771927,1,0.003935,0.996065,1.178058,22.484718,0.000159,45.316646,0.000321,-676.631521,767.264813,-0.004789,0.005430
47,0.000328,209.696479,1,0.004147,0.995853,0.045746,22.530464,0.000159,46.312499,0.000328,-675.635668,768.260666,-0.004782,0.005437
48,0.000335,208.700035,1,0.005213,0.994787,1.310297,23.840761,0.000169,47.307285,0.000335,-674.640882,769.255452,-0.004775,0.005444
49,0.000342,201.457761,1,0.004008,0.995992,0.212165,24.052926,0.000170,48.303278,0.000342,-673.644889,770.251445,-0.004768,0.005451
50,0.000349,199.208898,1,0.009636,0.990364,0.298398,24.351325,0.000172,49.293642,0.000349,-672.654525,771.241809,-0.004761,0.005458
51,0.000356,198.650585,1,0.009247,0.990753,0.002015,24.353340,0.000172,50.284395,0.000356,-671.663772,772.232562,-0.004754,0.005466
52,0.000363,196.486361,1,0.002252,0.997748,0.742776,25.096115,0.000178,51.282143,0.000363,-670.666024,773.230310,-0.004747,0.005473
53,0.000370,195.888538,1,0.009900,0.990100,0.194757,25.290872,0.000179,52.272243,0.000370,-669.675924,774.220410,-0.004740,0.005480
54,0.000377,193.980725,1,0.004278,0.995722,0.107707,25.398579,0.000180,53.267965,0.000377,-668.680202,775.216132,-0.004733,0.005487
55,0.000384,193.173870,1,0.005781,0.994219,0.013338,25.411917,0.000180,54.262184,0.000384,-667.685983,776.210351,-0.004726,0.005494
56,0.000391,191.400123,1,0.007097,0.992903,0.198740,25.610658,0.000181,55.255087,0.000391,-666.693080,777.203254,-0.004719,0.005501
57,0.000398,186.771154,1,0.002059,0.997941,0.206088,25.816745,0.000183,56.253027,0.000398,-665.695140,778.201194,-0.004711,0.005508
58,0.000405,186.608144,1,0.002025,0.997975,0.173290,25.990036,0.000184,57.251002,0.000405,-664.697165,779.199169,-0.004704,0.005515
59,0.000412,186.383770,1,0.020342,0.979658,0.384047,26.374082,0.000187,58.230660,0.000412,-663.717507,780.178827,-0.004697,0.005522
60,0.000419,184.064004,1,0.002397,0.997603,0.987154,27.361236,0.000194,59.228263,0.000419,-662.719904,781.176430,-0.004690,0.005529
61,0.000426,183.768600,1,0.007375,0.992625,0.921346,28.282582,0.000200,60.220888,0.000426,-661.727279,782.169055,-0.004683,0.005536
62,0.000433,181.299651,1,0.002110,0.997890,1.517796,29.800377,0.000211,61.218778,0.000433,-660.729389,783.166945,-0.004676,0.005543
63,0.000440,175.783087,1,0.001592,0.998408,1.106881,30.907258,0.000219,62.217186,0.000440,-659.730981,784.165353,-0.004669,0.005550
64,0.000447,175.767494,1,0.003099,0.996901,0.004174,30.911432,0.000219,63.214088,0.000447,-658.734079,785.162255,-0.004662,0.005557
65,0.000454,175.136114,1,0.002473,0.997527,3.241013,34.152445,0.000242,64.211615,0.000454,-657.736552,786.159782,-0.004655,0.005564
66,0.000462,171.211749,1,0.001452,0.998548,0.211133,34.363578,0.000243,65.210164,0.000462,-656.738003,787.158331,-0.004648,0.005571
67,0.000469,169.112217,1,0.003323,0.996677,0.323935,34.687513,0.000246,66.206840,0.000469,-655.741327,788.155007,-0.004641,0.005578
68,0.000476,168.922765,1,0.004207,0.995793,0.264939,34.952452,0.000247,67.202633,0.000476,-654.745534,789.150800,-0.004634,0.005585
69,0.000483,167.573665,1,0.001085,0.998915,0.200079,35.152531,0.000249,68.201548,0.000483,-653.746619,790.149715,-0.004627,0.005592
70,0.000490,167.361955,1,0.001425,0.998575,1.044457,36.196988,0.000256,69.200123,0.000490,-652.748044,791.148290,-0.004620,0.005599
71,0.000497,166.555624,1,0.000785,0.999215,0.639092,36.836080,0.000261,70.199338,0.000497,-651.748829,792.147505,-0.004613,0.005606
72,0.000504,166.154031,1,0.001029,0.998971,1.851462,38.687542,0.000274,71.198309,0.000504,-650.749858,793.146476,-0.004606,0.005614
73,0.000511,166.049201,1,0.001140,0.998860,1.044746,39.732288,0.000281,72.197169,0.000511,-649.750998,794.145336,-0.004599,0.005621
74,0.000518,165.547896,1,0.001418,0.998582,0.963017,40.695304,0.000288,73.195751,0.000518,-648.752416,795.143918,-0.004592,0.005628
75,0.000525,163.031118,1,0.009631,0.990369,0.010525,40.705829,0.000288,74.186119,0.000525,-647.762048,796.134286,-0.004585,0.005635
76,0.000532,162.937950,1,0.001197,0.998803,0.874571,41.580400,0.000294,75.184922,0.000532,-646.763245,797.133089,-0.004577,0.005642
77,0.000539,162.929412,1,0.004721,0.995279,1.249864,42.830264,0.000303,76.180201,0.000539,-645.767966,798.128368,-0.004570,0.005649
78,0.000546,162.381183,1,0.001160,0.998840,0.011317,42.841580,0.000303,77.179042,0.000546,-644.769125,799.127209,-0.004563,0.005656
79,0.000553,161.844608,1,0.001374,0.998626,0.865140,43.706720,0.000309,78.177668,0.000553,-643.770499,800.125835,-0.004556,0.005663
80,0.000560,161.390063,1,0.000837,0.999163,0.385918,44.092638,0.000312,79.176831,0.000560,-642.771336,801.124998,-0.004549,0.005670
81,0.000567,159.877725,1,0.000988,0.999012,0.204997,44.297635,0.000314,80.175843,0.000567,-641.772324,802.124010,-0.004542,0.005677
82,0.000575,158.751192,1,0.000762,0.999238,0.064542,44.362177,0.000314,81.175081,0.000575,-640.773086,803.123248,-0.004535,0.005684
83,0.000582,158.091545,1,0.000884,0.999116,0.182156,44.544333,0.000315,82.174197,0.000582,-639.773970,804.122364,-0.004528,0.005691
84,0.000589,155.087601,1,0.004570,0.995430,0.107232,44.651564,0.000316,83.169626,0.000589,-638.778541,805.117793,-0.004521,0.005698
85,0.000596,154.432892,1,0.000667,0.999333,1.282702,45.934266,0.000325,84.168959,0.000596,-637.779208,806.117126,-0.004514,0.005705
86,0.000603,153.580816,1,0.001395,0.998605,0.009173,45.943439,0.000325,85.167564,0.000603,-636.780603,807.115731,-0.004507,0.005712
87,0.000610,152.295705,1,0.001499,0.998501,0.570774,46.514214,0.000329,86.166065,0.000610,-635.782102,808.114232,-0.004500,0.005719
88,0.000617,152.189114,1,0.000662,0.999338,1.532847,48.047061,0.000340,87.165404,0.000617,-634.782763,809.113571,-0.004493,0.005727
89,0.000624,152.100393,1,0.001687,0.998313,0.001159,48.048220,0.000340,88.163716,0.000624,-633.784451,810.111883,-0.004486,0.005734
