index,frac_index,conditional_eigenvalue,local_eigen_rank,leverage,expected_increment,y2,cumsum_y2,scaled_cumsum,expected,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
1,0.000007,55.461200,1,0.003959,0.996041,5.140661,5.140661,0.000036,0.996041,0.000007,-720.952126,722.944208,-0.005103,0.005117
2,0.000014,55.225507,1,0.003946,0.996054,0.887924,6.028585,0.000043,1.992094,0.000014,-719.956073,723.940261,-0.005096,0.005124
3,0.000021,55.059299,1,0.002436,0.997564,13.183024,19.211609,0.000136,2.989659,0.000021,-718.958508,724.937826,-0.005088,0.005131
4,0.000028,55.048644,1,0.002879,0.997121,0.005967,19.217576,0.000136,3.986779,0.000028,-717.961388,725.934946,-0.005081,0.005138
5,0.000035,55.048299,1,0.002647,0.997353,3.917854,23.135430,0.000164,4.984132,0.000035,-716.964035,726.932299,-0.005074,0.005145
6,0.000042,55.045466,1,0.002633,0.997367,2.728339,25.863770,0.000183,5.981500,0.000042,-715.966667,727.929667,-0.005067,0.005152
7,0.000049,55.042516,1,0.002435,0.997565,2.279510,28.143280,0.000199,6.979064,0.000049,-714.969103,728.927231,-0.005060,0.005159
8,0.000056,55.036348,1,0.003403,0.996597,2.672199,30.815479,0.000218,7.975662,0.000056,-713.972505,729.923829,-0.005053,0.005166
9,0.000064,55.035452,1,0.002609,0.997391,0.764681,31.580159,0.000224,8.973053,0.000064,-712.975114,730.921220,-0.005046,0.005173
10,0.000071,55.035189,1,0.002449,0.997551,3.627320,35.207479,0.000249,9.970604,0.000071,-711.977563,731.918771,-0.005039,0.005180
11,0.000078,55.031572,1,0.002731,0.997269,3.040547,38.248026,0.000271,10.967873,0.000078,-710.980294,732.916040,-0.005032,0.005187
12,0.000085,55.030720,1,0.003403,0.996597,0.541407,38.789433,0.000275,11.964470,0.000085,-709.983697,733.912637,-0.005025,0.005194
13,0.000092,55.029751,1,0.002651,0.997349,1.034026,39.823460,0.000282,12.961820,0.000092,-708.986347,734.909987,-0.005018,0.005201
14,0.000099,55.028103,1,0.002962,0.997038,3.116533,42.939993,0.000304,13.958857,0.000099,-707.989310,735.907024,-0.005011,0.005208
15,0.000106,55.027648,1,0.003036,0.996964,5.630765,48.570758,0.000344,14.955822,0.000106,-706.992345,736.903989,-0.005004,0.005215
16,0.000113,55.025010,1,0.002370,0.997630,0.905651,49.476409,0.000350,15.953451,0.000113,-705.994716,737.901618,-0.004997,0.005223
17,0.000120,55.024274,1,0.002892,0.997108,0.260403,49.736812,0.000352,16.950560,0.000120,-704.997607,738.898727,-0.004990,0.005230
18,0.000127,55.023810,1,0.002391,0.997609,1.308638,51.045450,0.000361,17.948169,0.000127,-703.999998,739.896336,-0.004983,0.005237
19,0.000134,55.023532,1,0.002436,0.997564,0.202037,51.247486,0.000363,18.945733,0.000134,-703.002434,740.893900,-0.004976,0.005244
20,0.000141,55.022051,1,0.003616,0.996384,0.239371,51.486857,0.000364,19.942117,0.000141,-702.006050,741.890284,-0.004968,0.005251
21,0.000148,55.021429,1,0.003176,0.996824,5.922926,57.409784,0.000406,20.938941,0.000148,-701.009226,742.887108,-0.004961,0.005258
22,0.000155,55.018570,1,0.002883,0.997117,0.046656,57.456440,0.000407,21.936058,0.000155,-700.012109,743.884225,-0.004954,0.005265
23,0.000162,55.016331,1,0.003624,0.996376,9.985839,67.442278,0.000477,22.932434,0.000162,-699.015733,744.880601,-0.004947,0.005272
24,0.000169,55.015466,1,0.002394,0.997606,6.621083,74.063362,0.000524,23.930040,0.000169,-698.018127,745.878207,-0.004940,0.005279
25,0.000176,55.010957,1,0.002450,0.997550,3.630275,77.693637,0.000550,24.927590,0.000176,-697.020577,746.875757,-0.004933,0.005286
26,0.000183,55.009014,1,0.002855,0.997145,8.891064,86.584701,0.000613,25.924735,0.000183,-696.023432,747.872902,-0.004926,0.005293
27,0.000191,55.008059,1,0.002829,0.997171,0.203254,86.787955,0.000614,26.921906,0.000191,-695.026261,748.870073,-0.004919,0.005300
28,0.000198,55.005526,1,0.002650,0.997350,5.251387,92.039342,0.000651,27.919256,0.000198,-694.028911,749.867423,-0.004912,0.005307
29,0.000205,55.001286,1,0.002766,0.997234,0.252819,92.292162,0.000653,28.916490,0.000205,-693.031677,750.864657,-0.004905,0.005314
30,0.000212,55.001220,1,0.002494,0.997506,2.570077,94.862239,0.000671,29.913996,0.000212,-692.034171,751.862163,-0.004898,0.005321
31,0.000219,54.998344,1,0.002965,0.997035,0.037380,94.899619,0.000672,30.911031,0.000219,-691.037136,752.859198,-0.004891,0.005328
32,0.000226,54.995048,1,0.004357,0.995643,2.080061,96.979680,0.000686,31.906674,0.000226,-690.041493,753.854841,-0.004884,0.005335
33,0.000233,54.991131,1,0.003786,0.996214,1.147496,98.127176,0.000694,32.902889,0.000233,-689.045278,754.851056,-0.004877,0.005342
34,0.000240,54.990508,1,0.003630,0.996370,0.023106,98.150282,0.000695,33.899259,0.000240,-688.048908,755.847426,-0.004870,0.005350
35,0.000247,54.989370,1,0.002657,0.997343,0.343927,98.494209,0.000697,34.896602,0.000247,-687.051565,756.844769,-0.004863,0.005357
36,0.000254,54.984959,1,0.004402,0.995598,0.933970,99.428180,0.000704,35.892200,0.000254,-686.055967,757.840367,-0.004856,0.005364
37,0.000261,54.984834,1,0.003401,0.996599,4.314078,103.742257,0.000734,36.888799,0.000261,-685.059368,758.836966,-0.004849,0.005371
38,0.000268,54.983452,1,0.003401,0.996599,0.004170,103.746427,0.000734,37.885398,0.000268,-684.062769,759.833565,-0.004841,0.005378
39,0.000275,54.981235,1,0.003057,0.996943,0.108084,103.854511,0.000735,38.882341,0.000275,-683.065826,760.830508,-0.004834,0.005385
40,0.000282,54.978817,1,0.002397,0.997603,0.166538,104.021049,0.000736,39.879945,0.000282,-682.068222,761.828112,-0.004827,0.005392
41,0.000289,54.978151,1,0.002266,0.997734,1.326958,105.348007,0.000746,40.877678,0.000289,-681.070489,762.825845,-0.004820,0.005399
42,0.000296,54.976805,1,0.004394,0.995606,6.306278,111.654285,0.000790,41.873284,0.000296,-680.074883,763.821451,-0.004813,0.005406
43,0.000303,54.968278,1,0.002971,0.997029,1.121719,112.776005,0.000798,42.870313,0.000303,-679.077854,764.818480,-0.004806,0.005413
44,0.000310,54.963540,1,0.002422,0.997578,3.034784,115.810789,0.000820,43.867892,0.000310,-678.080275,765.816059,-0.004799,0.005420
45,0.000318,54.963037,1,0.002308,0.997692,0.528027,116.338816,0.000823,44.865583,0.000318,-677.082584,766.813750,-0.004792,0.005427
46,0.000325,54.962766,1,0.004410,0.995590,0.767119,117.105935,0.000829,45.861173,0.000325,-676.086994,767.809340,-0.004785,0.005434
47,0.000332,54.961933,1,0.002654,0.997346,2.640259,119.746194,0.000848,46.858519,0.000332,-675.089648,768.806686,-0.004778,0.005441
48,0.000339,54.958352,1,0.003416,0.996584,6.504675,126.250869,0.000894,47.855104,0.000339,-674.093063,769.803271,-0.004771,0.005448
49,0.000346,54.956830,1,0.004392,0.995608,2.792259,129.043128,0.000913,48.850712,0.000346,-673.097455,770.798879,-0.004764,0.005455
50,0.000353,54.952143,1,0.002656,0.997344,0.000060,129.043188,0.000913,49.848056,0.000353,-672.100111,771.796223,-0.004757,0.005462
51,0.000360,54.952024,1,0.002479,0.997521,6.487530,135.530718,0.000959,50.845578,0.000360,-671.102589,772.793745,-0.004750,0.005469
52,0.000367,54.950780,1,0.002419,0.997581,0.125009,135.655726,0.000960,51.843159,0.000367,-670.105008,773.791326,-0.004743,0.005477
53,0.000374,54.949418,1,0.003664,0.996336,0.034783,135.690509,0.000960,52.839495,0.000374,-669.108672,774.787662,-0.004736,0.005484
54,0.000381,54.941999,1,0.003419,0.996581,9.042623,144.733132,0.001024,53.836076,0.000381,-668.112091,775.784243,-0.004729,0.005491
55,0.000388,54.932677,1,0.002441,0.997559,5.642713,150.375844,0.001064,54.833635,0.000388,-667.114532,776.781802,-0.004722,0.005498
56,0.000395,54.931252,1,0.002447,0.997553,3.323972,153.699816,0.001088,55.831188,0.000395,-666.116979,777.779355,-0.004714,0.005505
57,0.000402,54.930760,1,0.003206,0.996794,0.094584,153.794400,0.001088,56.827982,0.000402,-665.120185,778.776149,-0.004707,0.005512
58,0.000409,54.928539,1,0.003395,0.996605,0.383980,154.178380,0.001091,57.824587,0.000409,-664.123580,779.772754,-0.004700,0.005519
59,0.000416,54.926396,1,0.002824,0.997176,1.259621,155.438001,0.001100,58.821764,0.000416,-663.126403,780.769931,-0.004693,0.005526
60,0.000423,54.913283,1,0.002299,0.997701,1.339749,156.777749,0.001110,59.819464,0.000423,-662.128703,781.767631,-0.004686,0.005533
61,0.000430,54.908774,1,0.002323,0.997677,0.019001,156.796751,0.001110,60.817141,0.000430,-661.131026,782.765308,-0.004679,0.005540
62,0.000437,54.907063,1,0.004069,0.995931,0.115877,156.912628,0.001111,61.813072,0.000437,-660.135095,783.761239,-0.004672,0.005547
63,0.000445,54.906458,1,0.002888,0.997112,0.341328,157.253956,0.001113,62.810185,0.000445,-659.137982,784.758352,-0.004665,0.005554
64,0.000452,54.902978,1,0.003988,0.996012,0.501705,157.755662,0.001117,63.806197,0.000452,-658.141970,785.754364,-0.004658,0.005561
65,0.000459,54.896094,1,0.002658,0.997342,0.624061,158.379723,0.001121,64.803539,0.000459,-657.144628,786.751706,-0.004651,0.005568
66,0.000466,54.895704,1,0.002221,0.997779,0.421356,158.801079,0.001124,65.801319,0.000466,-656.146848,787.749486,-0.004644,0.005575
67,0.000473,54.894107,1,0.004398,0.995602,2.129461,160.930540,0.001139,66.796920,0.000473,-655.151247,788.745087,-0.004637,0.005582
68,0.000480,54.886739,1,0.002337,0.997663,0.964931,161.895472,0.001146,67.794584,0.000480,-654.153583,789.742751,-0.004630,0.005589
69,0.000487,54.884121,1,0.002224,0.997776,0.024033,161.919505,0.001146,68.792359,0.000487,-653.155808,790.740526,-0.004623,0.005596
70,0.000494,54.881970,1,0.003772,0.996228,4.225617,166.145122,0.001176,69.788587,0.000494,-652.159580,791.736754,-0.004616,0.005604
71,0.000501,54.880755,1,0.003248,0.996752,7.641439,173.786561,0.001230,70.785339,0.000501,-651.162828,792.733506,-0.004609,0.005611
72,0.000508,54.880433,1,0.002505,0.997495,1.809068,175.595628,0.001243,71.782834,0.000508,-650.165333,793.731001,-0.004602,0.005618
73,0.000515,54.880213,1,0.003083,0.996917,0.015230,175.610859,0.001243,72.779751,0.000515,-649.168416,794.727918,-0.004595,0.005625
74,0.000522,54.877603,1,0.003277,0.996723,0.068964,175.679822,0.001243,73.776474,0.000522,-648.171693,795.724641,-0.004587,0.005632
75,0.000529,54.875497,1,0.002444,0.997556,0.062665,175.742488,0.001244,74.774030,0.000529,-647.174137,796.722197,-0.004580,0.005639
76,0.000536,54.874193,1,0.003846,0.996154,0.159586,175.902074,0.001245,75.770184,0.000536,-646.177983,797.718351,-0.004573,0.005646
77,0.000543,54.871195,1,0.003402,0.996598,3.219486,179.121559,0.001268,76.766782,0.000543,-645.181385,798.714949,-0.004566,0.005653
78,0.000550,54.870427,1,0.002207,0.997793,0.059791,179.181351,0.001268,77.764575,0.000550,-644.183592,799.712742,-0.004559,0.005660
79,0.000557,54.869564,1,0.002669,0.997331,1.261474,180.442825,0.001277,78.761906,0.000557,-643.186261,800.710073,-0.004552,0.005667
80,0.000564,54.869257,1,0.002848,0.997152,0.004111,180.446936,0.001277,79.759058,0.000564,-642.189109,801.707225,-0.004545,0.005674
81,0.000572,54.867730,1,0.002860,0.997140,1.516262,181.963198,0.001288,80.756198,0.000572,-641.191969,802.704365,-0.004538,0.005681
82,0.000579,54.862470,1,0.002618,0.997382,2.337761,184.300960,0.001304,81.753580,0.000579,-640.194587,803.701747,-0.004531,0.005688
83,0.000586,54.862398,1,0.003981,0.996019,0.046903,184.347862,0.001305,82.749599,0.000586,-639.198568,804.697766,-0.004524,0.005695
84,0.000593,54.856763,1,0.002384,0.997616,0.549017,184.896879,0.001309,83.747215,0.000593,-638.200952,805.695382,-0.004517,0.005702
85,0.000600,54.849496,1,0.002203,0.997797,3.647805,188.544684,0.001334,84.745012,0.000600,-637.203155,806.693179,-0.004510,0.005709
86,0.000607,54.849159,1,0.002817,0.997183,0.033517,188.578201,0.001335,85.742195,0.000607,-636.205972,807.690362,-0.004503,0.005716
87,0.000614,54.848385,1,0.003724,0.996276,0.070101,188.648302,0.001335,86.738471,0.000614,-635.209696,808.686638,-0.004496,0.005724
88,0.000621,54.841345,1,0.002487,0.997513,6.020823,194.669125,0.001378,87.735984,0.000621,-634.212183,809.684151,-0.004489,0.005731
89,0.000628,54.837754,1,0.003231,0.996769,0.643093,195.312218,0.001382,88.732753,0.000628,-633.215414,810.680920,-0.004482,0.005738
90,0.000635,54.835376,1,0.002507,0.997493,0.270653,195.582872,0.001384,89.730247,0.000635,-632.217920,811.678414,-0.004475,0.005745
91,0.000642,54.831625,1,0.003635,0.996365,0.039431,195.622303,0.001385,90.726612,0.000642,-631.221555,812.674779,-0.004467,0.005752
92,0.000649,54.830829,1,0.002732,0.997268,0.251202,195.873506,0.001386,91.723880,0.000649,-630.224287,813.672047,-0.004460,0.005759
93,0.000656,54.828836,1,0.003431,0.996569,0.000037,195.873543,0.001386,92.720449,0.000656,-629.227718,814.668616,-0.004453,0.005766
94,0.000663,54.812279,1,0.002576,0.997424,0.023214,195.896756,0.001386,93.717873,0.000663,-628.230294,815.666040,-0.004446,0.005773
95,0.000670,54.805688,1,0.004397,0.995603,0.563131,196.459888,0.001390,94.713475,0.000670,-627.234692,816.661642,-0.004439,0.005780
96,0.000677,54.804932,1,0.004348,0.995652,1.968670,198.428558,0.001404,95.709127,0.000677,-626.239040,817.657294,-0.004432,0.005787
97,0.000684,54.799935,1,0.003216,0.996784,0.277637,198.706194,0.001406,96.705911,0.000684,-625.242256,818.654078,-0.004425,0.005794
