date,data_kind,dataset_id,method,method_label,points_per_hour,n_hours,n_selected,mean_rank,residual_df,n_eigen_kept,n_eigen_dropped,eigen_threshold,min_kept_eigenvalue,max_kept_eigenvalue,sum_squared_score,mean_squared_score,score2_per_residual_df,max_abs_bridge_scaled,brown_bridge_width,full_gaussian_nll,full_gaussian_nll_per_obs,covariance_seconds,eigendecomposition_seconds,diagnostic_seconds,native_nll_per_target,n_fit_target_points,fit_seconds,fit_sigmasq,fit_range_lat,fit_range_lon,fit_range_time,fit_advec_lat,fit_advec_lon,fit_nugget,gls_beta_intercept,gls_beta_centered_latitude,gls_beta_hour_dummy_1,gls_beta_hour_dummy_2,gls_beta_hour_dummy_3,gls_beta_hour_dummy_4,gls_beta_hour_dummy_5,gls_beta_hour_dummy_6,gls_beta_hour_dummy_7,point_maxmin_seconds
2024-07-03,real,real_20240703,adapted,adapted corridor,400,8,3200,9,3191.0000,3200,0,0.0000,7.0027,40.2013,3235.9738,1.0141,1.0141,7.3410,0.0340,8630.8645,2.6971,0.0985,4.7546,4.8532,1.3822,140352,149.4388,13.5468,0.1056,0.1290,1.0228,-0.0724,-0.2850,0.0000,0.1692,1.1204,-0.3092,-0.8414,-1.0865,-0.7211,-1.0885,-0.6717,0.9525,0.0885
2024-07-03,real,real_20240703,shifted,shifted center,400,8,3200,9,3191.0000,3200,0,0.0000,7.0564,40.8328,3213.3516,1.0070,1.0070,7.2097,0.0340,8627.5518,2.6961,0.0982,4.6876,4.7858,1.3828,140352,154.0309,13.6267,0.1064,0.1298,1.0236,-0.0681,-0.2787,0.0000,0.1688,1.1198,-0.3083,-0.8393,-1.0832,-0.7198,-1.0885,-0.6708,0.9525,0.0885
2024-07-03,real,real_20240703,fixed,fixed center,400,8,3200,9,3191.0000,3200,0,0.0000,8.1181,41.2879,3090.7331,0.9686,0.9686,7.0858,0.0340,8636.6109,2.6989,0.0998,4.7251,4.8249,1.3896,140352,142.4466,14.1337,0.1112,0.1358,0.8829,-0.0421,-0.1711,0.0000,0.1999,1.1280,-0.3095,-0.8379,-1.0788,-0.7626,-1.1354,-0.7193,0.9123,0.0885
2024-07-03,real,real_20240703,union,three-way union,400,8,3200,9,3191.0000,3200,0,0.0000,7.0266,39.4931,3254.8661,1.0200,1.0200,7.5594,0.0340,8634.4014,2.6983,0.0989,4.7252,4.8241,1.3818,140352,709.2046,13.4791,0.1050,0.1283,1.0139,-0.0708,-0.2811,0.0000,0.1709,1.1213,-0.3085,-0.8411,-1.0863,-0.7219,-1.0898,-0.6730,0.9511,0.0885
2024-07-05,real,real_20240705,adapted,adapted corridor,400,8,3200,9,3191.0000,3200,0,0.0000,7.0068,41.5973,3283.1577,1.0289,1.0289,8.1967,0.0340,8622.0445,2.6944,0.0993,4.7264,4.8257,1.3559,142684,164.2168,13.3087,0.1093,0.1361,1.0115,0.0521,-0.2179,0.0000,-1.5544,0.8053,-0.6447,-1.3257,-1.3630,-1.0844,-0.3794,0.6887,2.3746,0.0904
2024-07-05,real,real_20240705,shifted,shifted center,400,8,3200,9,3191.0000,3200,0,0.0000,7.0179,42.0770,3268.7281,1.0244,1.0244,8.0676,0.0340,8619.5198,2.6936,0.0982,4.7223,4.8206,1.3559,142684,152.8638,13.3573,0.1098,0.1367,1.0148,0.0530,-0.2176,0.0000,-1.5540,0.8054,-0.6448,-1.3251,-1.3632,-1.0843,-0.3795,0.6882,2.3740,0.0904
2024-07-05,real,real_20240705,fixed,fixed center,400,8,3200,9,3191.0000,3200,0,0.0000,7.5478,44.3081,3195.7347,1.0015,1.0015,6.8651,0.0340,8629.6219,2.6968,0.0999,4.7849,4.8848,1.3602,142684,161.9069,13.7866,0.1138,0.1423,0.9498,0.0506,-0.1186,0.0000,-1.5485,0.7996,-0.6531,-1.3068,-1.3428,-1.0644,-0.3618,0.6947,2.3969,0.0904
2024-07-05,real,real_20240705,union,three-way union,400,8,3200,9,3191.0000,3200,0,0.0000,6.9965,41.9554,3273.0145,1.0257,1.0257,8.0702,0.0340,8620.1576,2.6938,0.0995,4.7696,4.8691,1.3556,142684,529.2919,13.3425,0.1096,0.1365,1.0147,0.0528,-0.2144,0.0000,-1.5542,0.8053,-0.6452,-1.3249,-1.3623,-1.0836,-0.3787,0.6887,2.3747,0.0904
2024-07-07,real,real_20240707,adapted,adapted corridor,400,8,3200,9,3191.0000,3200,0,0.0000,6.5550,65.6822,3256.4683,1.0205,1.0205,5.5883,0.0340,8680.5624,2.7127,0.0996,4.7681,4.8678,1.3201,140709,138.5790,14.5760,0.1263,0.1740,1.1436,0.0043,-0.3852,0.0000,0.8822,-0.2385,-0.3953,-1.2574,-1.7122,-1.6058,-1.8156,-1.5964,0.1500,0.0909
2024-07-07,real,real_20240707,shifted,shifted center,400,8,3200,9,3191.0000,3200,0,0.0000,6.5475,66.4483,3246.4172,1.0174,1.0174,5.5025,0.0340,8678.6398,2.7121,0.0999,4.7777,4.8777,1.3201,140709,118.9683,14.6218,0.1267,0.1746,1.1492,0.0039,-0.3855,0.0000,0.8811,-0.2384,-0.3953,-1.2567,-1.7105,-1.6039,-1.8139,-1.5947,0.1516,0.0909
