date,dataset_id,method,native_nll_per_target,n_target_points,truth_sigma2_over_range_lat,est_sigma2_over_range_lat,signed_error_sigma2_over_range_lat,abs_pct_error_sigma2_over_range_lat,truth_sigma2_over_range_lon,est_sigma2_over_range_lon,signed_error_sigma2_over_range_lon,abs_pct_error_sigma2_over_range_lon,truth_sigma2_over_range_time,est_sigma2_over_range_time,signed_error_sigma2_over_range_time,abs_pct_error_sigma2_over_range_time,truth_range_lat_over_range_lon,est_range_lat_over_range_lon,signed_error_range_lat_over_range_lon,abs_pct_error_range_lat_over_range_lon,truth_range_lat_over_range_time,est_range_lat_over_range_time,signed_error_range_lat_over_range_time,abs_pct_error_range_lat_over_range_time,truth_range_lon_over_range_time,est_range_lon_over_range_time,signed_error_range_lon_over_range_time,abs_pct_error_range_lon_over_range_time,truth_advec_lat_over_range_lat_per_hour,est_advec_lat_over_range_lat_per_hour,signed_error_advec_lat_over_range_lat_per_hour,abs_pct_error_advec_lat_over_range_lat_per_hour,truth_advec_lon_over_range_lon_per_hour,est_advec_lon_over_range_lon_per_hour,signed_error_advec_lon_over_range_lon_per_hour,abs_pct_error_advec_lon_over_range_lon_per_hour,truth_advec_lat_corrtime_over_range_lat,est_advec_lat_corrtime_over_range_lat,signed_error_advec_lat_corrtime_over_range_lat,abs_pct_error_advec_lat_corrtime_over_range_lat,truth_advec_lon_corrtime_over_range_lon,est_advec_lon_corrtime_over_range_lon,signed_error_advec_lon_corrtime_over_range_lon,abs_pct_error_advec_lon_corrtime_over_range_lon,truth_advec_corrtime_scaled_norm,est_advec_corrtime_scaled_norm,signed_error_advec_corrtime_scaled_norm,abs_pct_error_advec_corrtime_scaled_norm
2023-07-04,synthetic_20230704,adapted,1.1377,135570,50.0000,85.0452,35.0452,70.0903,33.3333,57.0706,23.7373,71.2118,5.0000,7.4383,2.4383,48.7656,0.6667,0.6711,0.0044,0.6594,0.1000,0.0875,-0.0125,12.5373,0.1500,0.1303,-0.0197,13.1102,0.4000,0.7248,0.3248,81.1911,-0.6667,-1.1964,-0.5298,79.4663,0.8000,0.9075,0.1075,13.4332,-1.3333,-1.4980,-0.1647,12.3534,1.5549,1.7515,0.1965,12.6402
2023-07-04,synthetic_20230704,fixed,1.1449,135570,50.0000,84.4768,34.4768,68.9537,33.3333,56.7518,23.4184,70.2553,5.0000,7.6266,2.6266,52.5317,0.6667,0.6718,0.0051,0.7704,0.1000,0.0903,-0.0097,9.7198,0.1500,0.1344,-0.0156,10.4100,0.4000,0.6678,0.2678,66.9616,-0.6667,-1.0007,-0.3340,50.1057,0.8000,0.8468,0.0468,5.8551,-1.3333,-1.2689,0.0644,4.8316,1.5549,1.5255,-0.0294,1.8894
2023-07-04,synthetic_20230704,shifted,1.1376,135570,50.0000,85.0314,35.0314,70.0627,33.3333,57.0752,23.7418,71.2255,5.0000,7.4323,2.4323,48.6468,0.6667,0.6712,0.0046,0.6837,0.1000,0.0874,-0.0126,12.5930,0.1500,0.1302,-0.0198,13.1865,0.4000,0.7281,0.3281,82.0346,-0.6667,-1.1979,-0.5312,79.6781,0.8000,0.9134,0.1134,14.1721,-1.3333,-1.5026,-0.1693,12.6940,1.5549,1.7584,0.2035,13.0872
2023-07-04,synthetic_20230704,union,1.1369,135570,50.0000,85.1218,35.1218,70.2436,33.3333,57.1245,23.7911,71.3734,5.0000,7.4320,2.4320,48.6391,0.6667,0.6711,0.0044,0.6637,0.1000,0.0873,-0.0127,12.6903,0.1500,0.1301,-0.0199,13.2659,0.4000,0.7361,0.3361,84.0183,-0.6667,-1.1911,-0.5245,78.6676,0.8000,0.9185,0.1185,14.8067,-1.3333,-1.4862,-0.1529,11.4684,1.5549,1.7471,0.1922,12.3617
2023-07-29,synthetic_20230729,adapted,1.1334,142982,50.0000,85.7437,35.7437,71.4875,33.3333,57.0267,23.6934,71.0802,5.0000,7.3927,2.3927,47.8548,0.6667,0.6651,-0.0016,0.2375,0.1000,0.0862,-0.0138,13.7810,0.1500,0.1296,-0.0204,13.5757,0.4000,0.7343,0.3343,83.5638,-0.6667,-1.2993,-0.6327,94.9008,0.8000,0.8769,0.0769,9.6100,-1.3333,-1.5517,-0.2184,16.3796,1.5549,1.7824,0.2274,14.6265
2023-07-29,synthetic_20230729,fixed,1.1408,142982,50.0000,85.1487,35.1487,70.2974,33.3333,56.5717,23.2383,69.7150,5.0000,7.5858,2.5858,51.7167,0.6667,0.6644,-0.0023,0.3420,0.1000,0.0891,-0.0109,10.9108,0.1500,0.1341,-0.0159,10.6050,0.4000,0.7288,0.3288,82.1984,-0.6667,-1.0880,-0.4214,63.2054,0.8000,0.8838,0.0838,10.4773,-1.3333,-1.3195,0.0139,1.0392,1.5549,1.5881,0.0332,2.1357
2023-07-29,synthetic_20230729,shifted,1.1333,142982,50.0000,85.7374,35.7374,71.4748,33.3333,57.0233,23.6899,71.0698,5.0000,7.3810,2.3810,47.6192,0.6667,0.6651,-0.0016,0.2362,0.1000,0.0861,-0.0139,13.9120,0.1500,0.1294,-0.0206,13.7082,0.4000,0.7350,0.3350,83.7475,-0.6667,-1.2961,-0.6294,94.4173,0.8000,0.8803,0.0803,10.0397,-1.3333,-1.5524,-0.2191,16.4295,1.5549,1.7846,0.2297,14.7727
2023-07-29,synthetic_20230729,union,1.1326,142982,50.0000,85.7961,35.7961,71.5922,33.3333,57.0334,23.7001,71.1002,5.0000,7.3739,2.3739,47.4788,0.6667,0.6648,-0.0019,0.2867,0.1000,0.0859,-0.0141,14.0527,0.1500,0.1293,-0.0207,13.8056,0.4000,0.7511,0.3511,87.7685,-0.6667,-1.2857,-0.6190,92.8516,0.8000,0.8975,0.0975,12.1891,-1.3333,-1.5363,-0.2030,15.2262,1.5549,1.7793,0.2244,14.4301
2024-07-13,synthetic_20240713,adapted,1.1312,139738,50.0000,84.5004,34.5004,69.0008,33.3333,56.9650,23.6317,70.8951,5.0000,7.5104,2.5104,50.2071,0.6667,0.6741,0.0075,1.1209,0.1000,0.0889,-0.0111,11.1204,0.1500,0.1318,-0.0182,12.1057,0.4000,0.7820,0.3820,95.4937,-0.6667,-1.3312,-0.6645,99.6727,0.8000,0.9063,0.1063,13.2853,-1.3333,-1.5428,-0.2094,15.7070,1.5549,1.7893,0.2343,15.0709
2024-07-13,synthetic_20240713,fixed,1.1379,139738,50.0000,83.9903,33.9903,67.9806,33.3333,56.5994,23.2661,69.7982,5.0000,7.4620,2.4620,49.2394,0.6667,0.6739,0.0072,1.0820,0.1000,0.0888,-0.0112,11.1568,0.1500,0.1318,-0.0182,12.1078,0.4000,0.7439,0.3439,85.9847,-0.6667,-1.1597,-0.4930,73.9500,0.8000,0.8985,0.0985,12.3094,-1.3333,-1.4006,-0.0672,5.0421,1.5549,1.6640,0.1091,7.0138
