dataset_id,data_kind,date,hour_index,hour_key,n_valid_before_ordering,full_maxmin_order_size,n_selected,maxmin_order_seconds
real_20240703,real,2024-07-03,0,2024_07_y24m07day03_hm00:53,18067,18067,400,0.0127
real_20240703,real,2024-07-03,1,2024_07_y24m07day03_hm01:53,17670,17670,400,0.0123
real_20240703,real,2024-07-03,2,2024_07_y24m07day03_hm02:53,16698,16698,400,0.0177
real_20240703,real,2024-07-03,3,2024_07_y24m07day03_hm03:53,16863,16863,400,0.0133
real_20240703,real,2024-07-03,4,2024_07_y24m07day03_hm04:48,17088,17088,400,0.0134
real_20240703,real,2024-07-03,5,2024_07_y24m07day03_hm05:48,17760,17760,400,0.0128
real_20240703,real,2024-07-03,6,2024_07_y24m07day03_hm06:48,18104,18104,400,0.0128
real_20240703,real,2024-07-03,7,2024_07_y24m07day03_hm07:48,18102,18102,400,0.0130
real_20240705,real,2024-07-05,0,2024_07_y24m07day05_hm00:53,18064,18064,400,0.0127
real_20240705,real,2024-07-05,1,2024_07_y24m07day05_hm01:53,17912,17912,400,0.0128
real_20240705,real,2024-07-05,2,2024_07_y24m07day05_hm02:53,17607,17607,400,0.0125
real_20240705,real,2024-07-05,3,2024_07_y24m07day05_hm03:53,17590,17590,400,0.0122
real_20240705,real,2024-07-05,4,2024_07_y24m07day05_hm04:48,17631,17631,400,0.0123
real_20240705,real,2024-07-05,5,2024_07_y24m07day05_hm05:48,17671,17671,400,0.0123
real_20240705,real,2024-07-05,6,2024_07_y24m07day05_hm06:48,18105,18105,400,0.0129
real_20240705,real,2024-07-05,7,2024_07_y24m07day05_hm07:48,18104,18104,400,0.0130
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,18070,18070,400,0.0133
real_20240707,real,2024-07-07,1,2024_07_y24m07day07_hm01:53,17628,17628,400,0.0128
real_20240707,real,2024-07-07,2,2024_07_y24m07day07_hm02:53,17046,17046,400,0.0123
real_20240707,real,2024-07-07,3,2024_07_y24m07day07_hm03:53,17012,17012,400,0.0122
real_20240707,real,2024-07-07,4,2024_07_y24m07day07_hm04:48,17166,17166,400,0.0123
real_20240707,real,2024-07-07,5,2024_07_y24m07day07_hm05:48,17589,17589,400,0.0124
real_20240707,real,2024-07-07,6,2024_07_y24m07day07_hm06:48,18092,18092,400,0.0130
real_20240707,real,2024-07-07,7,2024_07_y24m07day07_hm07:48,18106,18106,400,0.0130
real_20240715,real,2024-07-15,0,2024_07_y24m07day15_hm00:53,18068,18068,400,0.0131
real_20240715,real,2024-07-15,1,2024_07_y24m07day15_hm01:53,18076,18076,400,0.0128
real_20240715,real,2024-07-15,2,2024_07_y24m07day15_hm02:53,17856,17856,400,0.0129
real_20240715,real,2024-07-15,3,2024_07_y24m07day15_hm03:53,17896,17896,400,0.0130
real_20240715,real,2024-07-15,4,2024_07_y24m07day15_hm04:48,17858,17858,400,0.0127
real_20240715,real,2024-07-15,5,2024_07_y24m07day15_hm05:48,17827,17827,400,0.0128
real_20240715,real,2024-07-15,6,2024_07_y24m07day15_hm06:48,18104,18104,400,0.0128
real_20240715,real,2024-07-15,7,2024_07_y24m07day15_hm07:48,18100,18100,400,0.0130
real_20240722,real,2024-07-22,0,2024_07_y24m07day22_hm00:53,18065,18065,400,0.0127
real_20240722,real,2024-07-22,1,2024_07_y24m07day22_hm01:53,17908,17908,400,0.0125
real_20240722,real,2024-07-22,2,2024_07_y24m07day22_hm02:53,17767,17767,400,0.0125
real_20240722,real,2024-07-22,3,2024_07_y24m07day22_hm03:53,17867,17867,400,0.0130
real_20240722,real,2024-07-22,4,2024_07_y24m07day22_hm04:48,17867,17867,400,0.0131
real_20240722,real,2024-07-22,5,2024_07_y24m07day22_hm05:48,17931,17931,400,0.0128
real_20240722,real,2024-07-22,6,2024_07_y24m07day22_hm06:48,18110,18110,400,0.0129
real_20240722,real,2024-07-22,7,2024_07_y24m07day22_hm07:48,18106,18106,400,0.0129
synthetic_20230704,synthetic,2023-07-04,0,y23m07day04_hm00:53,16302,16302,400,0.0115
synthetic_20230704,synthetic,2023-07-04,1,y23m07day04_hm01:53,16194,16194,400,0.0113
synthetic_20230704,synthetic,2023-07-04,2,y23m07day04_hm02:48,16660,16660,400,0.0116
synthetic_20230704,synthetic,2023-07-04,3,y23m07day04_hm03:48,17135,17135,400,0.0122
synthetic_20230704,synthetic,2023-07-04,4,y23m07day04_hm04:48,17231,17231,400,0.0121
synthetic_20230704,synthetic,2023-07-04,5,y23m07day04_hm05:48,17315,17315,400,0.0128
synthetic_20230704,synthetic,2023-07-04,6,y23m07day04_hm06:48,17354,17354,400,0.0128
synthetic_20230704,synthetic,2023-07-04,7,y23m07day04_hm07:48,17379,17379,400,0.0124
synthetic_20230729,synthetic,2023-07-29,0,y23m07day29_hm00:53,18049,18049,400,0.0133
synthetic_20230729,synthetic,2023-07-29,1,y23m07day29_hm01:53,17850,17850,400,0.0127
synthetic_20230729,synthetic,2023-07-29,2,y23m07day29_hm02:48,17841,17841,400,0.0128
synthetic_20230729,synthetic,2023-07-29,3,y23m07day29_hm03:48,17848,17848,400,0.0129
synthetic_20230729,synthetic,2023-07-29,4,y23m07day29_hm04:48,17849,17849,400,0.0128
synthetic_20230729,synthetic,2023-07-29,5,y23m07day29_hm05:48,17855,17855,400,0.0135
synthetic_20230729,synthetic,2023-07-29,6,y23m07day29_hm06:48,17843,17843,400,0.0129
synthetic_20230729,synthetic,2023-07-29,7,y23m07day29_hm07:48,17847,17847,400,0.0132
synthetic_20240713,synthetic,2024-07-13,0,y24m07day13_hm00:53,18069,18069,400,0.0134
synthetic_20240713,synthetic,2024-07-13,1,y24m07day13_hm01:53,17736,17736,400,0.0129
synthetic_20240713,synthetic,2024-07-13,2,y24m07day13_hm02:53,17148,17148,400,0.0125
synthetic_20240713,synthetic,2024-07-13,3,y24m07day13_hm03:53,17018,17018,400,0.0124
synthetic_20240713,synthetic,2024-07-13,4,y24m07day13_hm04:48,17100,17100,400,0.0126
synthetic_20240713,synthetic,2024-07-13,5,y24m07day13_hm05:48,16913,16913,400,0.0122
synthetic_20240713,synthetic,2024-07-13,6,y24m07day13_hm06:48,17880,17880,400,0.0132
synthetic_20240713,synthetic,2024-07-13,7,y24m07day13_hm07:48,17874,17874,400,0.0132
synthetic_20240719,synthetic,2024-07-19,0,y24m07day19_hm00:53,18067,18067,400,0.0131
synthetic_20240719,synthetic,2024-07-19,1,y24m07day19_hm01:53,17849,17849,400,0.0129
synthetic_20240719,synthetic,2024-07-19,2,y24m07day19_hm02:53,17640,17640,400,0.0129
synthetic_20240719,synthetic,2024-07-19,3,y24m07day19_hm03:53,17548,17548,400,0.0130
synthetic_20240719,synthetic,2024-07-19,4,y24m07day19_hm04:48,17609,17609,400,0.0132
synthetic_20240719,synthetic,2024-07-19,5,y24m07day19_hm05:48,17586,17586,400,0.0127
synthetic_20240719,synthetic,2024-07-19,6,y24m07day19_hm06:48,17889,17889,400,0.0130
synthetic_20240719,synthetic,2024-07-19,7,y24m07day19_hm07:48,17889,17889,400,0.0129
synthetic_20250706,synthetic,2025-07-06,0,y25m07day06_hm00:53,17759,17759,400,0.0132
synthetic_20250706,synthetic,2025-07-06,1,y25m07day06_hm01:53,17370,17370,400,0.0128
synthetic_20250706,synthetic,2025-07-06,2,y25m07day06_hm02:53,17282,17282,400,0.0122
synthetic_20250706,synthetic,2025-07-06,3,y25m07day06_hm03:53,17138,17138,400,0.0133
synthetic_20250706,synthetic,2025-07-06,4,y25m07day06_hm04:48,16765,16765,400,0.0122
synthetic_20250706,synthetic,2025-07-06,5,y25m07day06_hm05:48,16717,16717,400,0.0118
synthetic_20250706,synthetic,2025-07-06,6,y25m07day06_hm06:48,16885,16885,400,0.0122
synthetic_20250706,synthetic,2025-07-06,7,y25m07day06_hm07:48,17099,17099,400,0.0123
