dataset_id,data_kind,date,hour_index,hour_key,maxmin_rank_within_hour,valid_array_index,source_row_index,latitude,longitude,time_coordinate,centered_value
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,1,8967,8983,-0.4645568,126.00331,165,-5.431900425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,2,18069,18125,-2.9797955,121.02334,165,1.778609575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,3,17912,17968,-2.97153,130.94872,165,-5.082210425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,4,148,149,1.9965842,121.58746,165,2.723369575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,5,9,10,1.9995593,130.38441,165,-4.145780425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,6,18020,18076,-2.9803727,124.15889,165,0.07285957477
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,7,17961,18017,-2.9638224,127.83632,165,6.245649575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,8,103,104,1.9904941,124.46866,165,-2.922150425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,9,212,214,1.9632647,127.52149,165,-2.498400425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,10,9658,9674,-0.6326114,122.568565,165,6.403459575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,11,9391,9407,-0.6013177,129.35892,165,4.289169575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,12,15937,15980,-2.3959584,125.97779,165,-1.771590425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,13,6769,6785,0.14609446,124.264885,165,4.302809575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,14,6344,6360,0.24069278,130.9856,165,3.692589575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,15,6715,6731,0.16198567,127.68888,165,3.402269575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,16,6343,6359,0.2805619,121.07168,165,3.094689575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,17,15566,15607,-2.315596,129.39989,165,5.647449575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,18,15832,15874,-2.3485413,122.606476,165,0.9293695748
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,19,2928,2942,1.2056881,125.95852,165,-3.355670425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,20,2975,2989,1.2114203,123.025276,165,-2.515140425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,21,12223,12242,-1.3487376,121.051796,165,7.132429575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,22,3515,3529,1.0259852,129.06635,165,-2.422000425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,23,12440,12461,-1.442004,127.29679,165,7.643989575
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,24,12481,12502,-1.4381542,124.68227,165,-3.282230425
real_20240707,real,2024-07-07,0,2024_07_y24m07day07_hm00:53,25,12068,12087,-1.3422828,130.78029,165,-3.651580425
