dataset_id,data_kind,date,method,index,frac_index,eigenvalue,whitened_score,squared_score,cumulative_squared_score,expected,scaled_cumulative,scaled_expected,scaled_band_lower,scaled_band_upper
real_20240715,real,2024-07-15,fixed,1,0.0003133813851,25.63660721,-1.272645101,1.619625552,1.619625552,1,0.000507560499,0.0003133813851,-0.03368700322,0.03431376599
real_20240715,real,2024-07-15,fixed,2,0.0006267627703,24.98985911,3.713219283,13.78799744,15.40762299,2,0.004828462235,0.0006267627703,-0.03337362183,0.03462714737
real_20240715,real,2024-07-15,fixed,3,0.0009401441554,24.67538043,3.082869261,9.504082881,24.91170587,3,0.007806864893,0.0009401441554,-0.03306024044,0.03494052876
real_20240715,real,2024-07-15,fixed,4,0.001253525541,24.39406237,-2.391646782,5.719974331,30.63168021,4,0.009599398372,0.001253525541,-0.03274685906,0.03525391014
real_20240715,real,2024-07-15,fixed,5,0.001566906926,24.12283127,-6.708487052,45.00379852,75.63547873,5,0.02370275109,0.001566906926,-0.03243347767,0.03556729153
real_20240715,real,2024-07-15,fixed,6,0.001880288311,24.00993261,-6.21167052,38.58485065,114.2203294,6,0.03579452503,0.001880288311,-0.03212009629,0.03588067291
real_20240715,real,2024-07-15,fixed,7,0.002193669696,23.78742624,-4.438709121,19.70213866,133.922468,7,0.04196880854,0.002193669696,-0.0318067149,0.0361940543
real_20240715,real,2024-07-15,fixed,8,0.002507051081,23.65782449,-4.041745351,16.33570548,150.2581735,8,0.04708811455,0.002507051081,-0.03149333352,0.03650743568
real_20240715,real,2024-07-15,fixed,9,0.002820432466,23.6345857,2.153567866,4.637854552,154.8960281,9,0.04854153183,0.002820432466,-0.03117995213,0.03682081707
real_20240715,real,2024-07-15,fixed,10,0.003133813851,23.50714985,4.287311085,18.38103634,173.2770644,10,0.05430180646,0.003133813851,-0.03086657075,0.03713419845
real_20240715,real,2024-07-15,fixed,11,0.003447195237,23.42704791,0.2043651129,0.04176509936,173.3188295,11,0.05431489486,0.003447195237,-0.03055318936,0.03744757984
real_20240715,real,2024-07-15,fixed,12,0.003760576622,23.38429317,-0.4306283923,0.1854408123,173.5042703,12,0.05437300856,0.003760576622,-0.03023980798,0.03776096122
real_20240715,real,2024-07-15,fixed,13,0.004073958007,23.2818188,-9.049526575,81.89393123,255.3982015,13,0.08003704216,0.004073958007,-0.02992642659,0.03807434261
real_20240715,real,2024-07-15,fixed,14,0.004387339392,23.19326079,-1.411509081,1.992357887,257.3905594,14,0.08066141004,0.004387339392,-0.02961304521,0.03838772399
real_20240715,real,2024-07-15,fixed,15,0.004700720777,23.05504705,-0.9819074947,0.9641423281,258.3547018,15,0.0809635543,0.004700720777,-0.02929966382,0.03870110538
real_20240715,real,2024-07-15,fixed,16,0.005014102162,22.86042386,-1.602991042,2.56958028,260.924282,16,0.08176881292,0.005014102162,-0.02898628244,0.03901448676
real_20240715,real,2024-07-15,fixed,17,0.005327483547,22.84615864,-0.009040167871,8.172463514e-05,260.9243638,17,0.08176883853,0.005327483547,-0.02867290105,0.03932786815
