data_source,date,data_kind,dataset_id,method,method_label,task_status,fit_status,init_advec_lat,init_advec_lon,init_subgrid,init_reason,native_nll,union_nll,union_gap,sigmasq_hat,range_lat_hat,range_lon_hat,range_time_hat,v_lat_hat,v_lon_hat,nugget_hat,precompute_seconds,fit_seconds,diagnostic_seconds,method_total_seconds,max_abs_gradient,outer_steps,eigen_D,eigen_mean_y2,eigen_loss_per_score,advection_error_cells,combined_parameter_error
real_gems_tco,2024-07-03,real,real_20240703,adapted,adapted corridor,complete,ok,-0.0862,-0.2540,True,accepted,1.3822,1.3818,0.0000,13.5468,0.1056,0.1290,1.0228,-0.0724,-0.2850,0.0000,1.3469,149.4388,2.8665,153.6522,0.0000,5,10.7452,1.0001,1.3822,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,shifted center,complete,ok,-0.0862,-0.2540,True,accepted,1.3828,1.3818,0.0000,13.6267,0.1064,0.1298,1.0236,-0.0681,-0.2787,0.0000,0.5318,154.0309,3.1561,157.7188,0.0000,5,10.7876,1.0000,1.3828,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,fixed center,complete,ok,-0.0862,-0.2540,True,accepted,1.3896,1.3855,0.0037,14.1337,0.1112,0.1358,0.8829,-0.0421,-0.1711,0.0000,0.3949,142.4466,3.0574,145.8989,0.0000,2,11.6521,1.0001,1.3896,,
real_gems_tco,2024-07-03,real,real_20240703,union,three-way union,complete,ok,-0.0862,-0.2540,True,accepted,1.3818,1.3818,0.0000,13.4791,0.1050,0.1283,1.0139,-0.0708,-0.2811,0.0000,1.8733,709.2046,11.2067,722.2846,0.0000,5,10.6961,1.0001,1.3818,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,adapted corridor,complete,ok,0.0566,-0.2220,True,accepted,1.3559,1.3556,0.0000,13.3087,0.1093,0.1361,1.0115,0.0521,-0.2179,0.0000,1.2958,164.2168,3.2133,168.7259,0.0000,5,8.5235,1.0001,1.3559,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,shifted center,complete,ok,0.0566,-0.2220,True,accepted,1.3559,1.3556,0.0000,13.3573,0.1098,0.1367,1.0148,0.0530,-0.2176,0.0000,0.5567,152.8638,3.2041,156.6245,0.0000,3,8.5678,1.0001,1.3559,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,fixed center,complete,ok,0.0566,-0.2220,True,accepted,1.3602,1.3576,0.0020,13.7866,0.1138,0.1423,0.9498,0.0506,-0.1186,0.0000,0.4011,161.9069,3.1660,165.4739,0.0000,5,9.2116,1.0001,1.3602,,
real_gems_tco,2024-07-05,real,real_20240705,union,three-way union,complete,ok,0.0566,-0.2220,True,accepted,1.3556,1.3556,0.0000,13.3425,0.1096,0.1365,1.0147,0.0528,-0.2144,0.0000,1.6977,529.2919,12.1073,543.0969,0.0000,1,8.5589,1.0001,1.3556,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,adapted corridor,complete,ok,0.0055,-0.3655,True,accepted,1.3201,1.3200,0.0000,14.5760,0.1263,0.1740,1.1436,0.0043,-0.3852,0.0000,1.3858,138.5790,3.1678,143.1326,0.0000,5,10.1492,1.0001,1.3201,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,shifted center,complete,ok,0.0055,-0.3655,True,accepted,1.3201,1.3200,0.0000,14.6218,0.1267,0.1746,1.1492,0.0039,-0.3855,0.0000,0.5349,118.9683,3.2530,122.7562,0.0000,1,10.1734,1.0001,1.3201,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,fixed center,complete,ok,0.0055,-0.3655,True,accepted,1.3263,1.3250,0.0050,15.1880,0.1323,0.1826,0.9073,0.0128,-0.1288,0.0000,0.3951,140.7461,3.1062,144.2474,0.0000,2,10.8878,1.0001,1.3263,,
real_gems_tco,2024-07-07,real,real_20240707,union,three-way union,complete,ok,0.0055,-0.3655,True,accepted,1.3200,1.3200,0.0000,14.5815,0.1263,0.1742,1.1438,0.0036,-0.3826,0.0000,1.8575,675.5895,11.1425,688.5895,0.0000,2,10.1754,1.0001,1.3200,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,adapted corridor,complete,ok,-0.0109,-0.0025,True,accepted,1.1796,1.1796,0.0000,9.0096,0.1038,0.1324,0.9246,0.0000,0.0052,0.0000,1.2115,158.6028,3.2133,163.0276,0.0000,2,11.3644,1.0001,1.1796,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,shifted center,complete,ok,-0.0109,-0.0025,True,accepted,1.1796,1.1796,0.0000,9.0096,0.1038,0.1324,0.9246,0.0000,0.0052,0.0000,0.5380,164.3002,2.8898,167.7280,0.0000,2,11.3644,1.0001,1.1796,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,fixed center,complete,ok,-0.0109,-0.0025,True,accepted,1.1796,1.1796,0.0000,9.0071,0.1038,0.1323,0.9233,0.0002,0.0051,0.0000,0.3916,192.8837,2.8874,196.1626,0.0000,5,11.3762,1.0001,1.1796,,
real_gems_tco,2024-07-15,real,real_20240715,union,three-way union,complete,ok,-0.0109,-0.0025,True,accepted,1.1796,1.1796,0.0000,8.9997,0.1037,0.1322,0.9205,0.0001,0.0053,0.0000,1.6225,704.8970,12.0234,718.5429,0.0000,2,11.3784,1.0001,1.1796,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,adapted corridor,complete,ok,0.0183,-0.1131,True,accepted,1.2006,1.2005,0.0000,9.3814,0.1049,0.1341,0.6892,0.0172,-0.1047,0.0000,1.1659,134.7022,2.8681,138.7363,0.0000,2,12.1652,1.0001,1.2006,,
real_gems_tco,2024-07-22,real,real_20240722,shifted,shifted center,complete,ok,0.0183,-0.1131,True,accepted,1.2004,1.2007,0.0001,9.3920,0.1050,0.1341,0.7110,0.0109,-0.0498,0.0000,0.5155,160.5716,2.8463,163.9334,0.0000,2,12.0520,1.0001,1.2004,,
real_gems_tco,2024-07-22,real,real_20240722,fixed,fixed center,complete,ok,0.0183,-0.1131,True,accepted,1.2010,1.2007,0.0001,9.4278,0.1054,0.1348,0.7030,0.0155,-0.0480,0.0000,0.3842,136.1634,2.8296,139.3772,0.0000,2,12.1216,1.0001,1.2010,,
real_gems_tco,2024-07-22,real,real_20240722,union,three-way union,complete,ok,0.0183,-0.1131,True,accepted,1.2005,1.2005,0.0000,9.3623,0.1047,0.1338,0.6840,0.0172,-0.1315,0.0000,1.6011,665.8525,10.9264,678.3800,0.0000,2,12.1355,1.0001,1.2005,,
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-04,synthetic,synthetic_20230704,adapted,adapted corridor,complete,ok,0.0824,-0.1971,True,accepted,1.1377,1.1369,0.0000,9.3133,0.1095,0.1632,1.2521,0.0794,-0.1952,0.0000,1.2174,143.3469,2.9241,147.4883,0.0000,2,13.8338,1.0001,1.1377,0.0768,0.9817
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-04,synthetic,synthetic_20230704,shifted,shifted center,complete,ok,0.0824,-0.1971,True,accepted,1.1376,1.1369,0.0000,9.3231,0.1096,0.1633,1.2544,0.0798,-0.1957,0.0000,0.5302,161.1104,3.0048,164.6453,0.0000,2,13.8374,1.0001,1.1376,0.0689,0.9788
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-04,synthetic,synthetic_20230704,fixed,fixed center,complete,ok,0.0824,-0.1971,True,accepted,1.1449,1.1374,0.0005,9.6706,0.1145,0.1704,1.2680,0.0765,-0.1705,0.0000,0.3981,140.1154,3.0270,143.5405,0.0000,2,14.4424,1.0001,1.1449,0.4748,1.0322
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-04,synthetic,synthetic_20230704,union,three-way union,complete,ok,0.0824,-0.1971,True,accepted,1.1369,1.1369,0.0000,9.2734,0.1089,0.1623,1.2478,0.0802,-0.1934,0.0000,1.6386,768.3414,11.2720,781.2520,0.0000,5,13.7556,1.0001,1.1369,0.1055,0.9928
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-29,synthetic,synthetic_20230729,adapted,adapted corridor,complete,ok,0.0751,-0.2047,True,accepted,1.1334,1.1326,0.0000,8.8287,0.1030,0.1548,1.1942,0.0756,-0.2012,0.0000,1.2388,157.6403,3.0560,161.9351,0.0000,2,12.6862,1.0001,1.1334,0.1016,1.0817
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-29,synthetic,synthetic_20230729,shifted,shifted center,complete,ok,0.0751,-0.2047,True,accepted,1.1333,1.1326,0.0000,8.8404,0.1031,0.1550,1.1977,0.0758,-0.2009,0.0000,0.5327,159.1634,3.0816,162.7777,0.0000,2,12.6801,1.0001,1.1333,0.0970,1.0781
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-29,synthetic,synthetic_20230729,fixed,fixed center,complete,ok,0.0751,-0.2047,True,accepted,1.1408,1.1331,0.0005,9.1994,0.1080,0.1626,1.2127,0.0787,-0.1769,0.0000,0.3989,181.2109,3.1105,184.7203,0.0000,5,13.5372,1.0000,1.1408,0.3673,1.0707
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2023-07-29,synthetic,synthetic_20230729,union,three-way union,complete,ok,0.0751,-0.2047,True,accepted,1.1326,1.1326,0.0000,8.8117,0.1027,0.1545,1.1950,0.0771,-0.1986,0.0000,1.6825,726.7060,11.0256,739.4141,0.0000,5,12.6310,1.0001,1.1326,0.0685,1.0819
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2024-07-13,synthetic,synthetic_20240713,adapted,adapted corridor,complete,ok,0.0825,-0.2042,True,accepted,1.1312,1.1303,0.0000,8.7043,0.1030,0.1528,1.1590,0.0805,-0.2034,0.0000,1.2466,189.6881,3.0695,194.0042,0.0000,5,12.8539,1.0000,1.1312,0.0554,1.1025
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2024-07-13,synthetic,synthetic_20240713,shifted,shifted center,complete,ok,0.0825,-0.2042,True,accepted,1.1310,1.1303,0.0000,8.7188,0.1032,0.1531,1.1640,0.0802,-0.2029,0.0000,0.5411,156.3257,3.1215,159.9883,0.0000,2,12.8613,1.0001,1.1310,0.0456,1.0975
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2024-07-13,synthetic,synthetic_20240713,fixed,fixed center,complete,ok,0.0825,-0.2042,True,accepted,1.1379,1.1305,0.0002,9.0120,0.1073,0.1592,1.2077,0.0798,-0.1846,0.0000,0.3983,132.0032,3.0583,135.4599,0.0000,2,13.4844,1.0001,1.1379,0.2437,1.0553
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2024-07-13,synthetic,synthetic_20240713,union,three-way union,complete,ok,0.0825,-0.2042,True,accepted,1.1303,1.1303,0.0000,8.6868,0.1027,0.1525,1.1604,0.0817,-0.2006,0.0000,1.6881,734.5717,11.7001,747.9599,0.0000,2,12.8430,1.0001,1.1303,0.0394,1.1042
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2024-07-19,synthetic,synthetic_20240719,adapted,adapted corridor,complete,ok,0.0762,-0.2005,True,accepted,1.1318,1.1310,0.0000,8.7464,0.1035,0.1527,1.1629,0.0786,-0.2008,0.0000,1.2540,166.1037,3.0909,170.4485,0.0000,2,12.7438,1.0001,1.1318,0.0350,1.0966
synthetic_dgp_smooth0p5_nugget1_fit_nugget0,2024-07-19,synthetic,synthetic_20240719,shifted,shifted center,complete,ok,0.0762,-0.2005,True,accepted,1.1316,1.1310,0.0000,8.7543,0.1036,0.1528,1.1672,0.0789,-0.2002,0.0000,0.5432,157.1304,3.0809,160.7546,0.0000,2,12.7484,1.0001,1.1316,0.0256,1.0933
