date,data_kind,data_source,dataset_id,row_type,n_datasets,method,method_label,smooth_fixed,hourly_slots,n_target_points,mean_target_points_per_hour,initializer,init_advec_lat,init_advec_lon,init_advection_error_grid_cells,native_nll_per_target,native_total_nll,delta_native_nll_per_target_vs_union,delta_native_total_nll_vs_union,fit_seconds,eigen_D,fit_sigmasq,fit_range_lat,fit_range_lon,fit_range_time,fit_advec_lat,fit_advec_lon,fit_nugget,true_sigmasq,true_range_lat,true_range_lon,true_range_time,true_advec_lat,true_advec_lon,true_nugget,fit_advection_error_grid_cells,combined_parameter_error
2024-07-03,real,real_gems_tco,real_20240703,daily,1,adapted,adapted corridor,0.5000,8.0000,140352.0000,17544.0000,M3_masked_fft_plus_safeguarded_Q3,-0.0862,-0.2540,,1.3822,193992.7659,0.0004,57.8876,149.4388,10.7452,13.5468,0.1056,0.1290,1.0228,-0.0724,-0.2850,0.0000,,,,,,,,,
2024-07-03,real,real_gems_tco,real_20240703,daily,1,shifted,shifted center,0.5000,8.0000,140352.0000,17544.0000,M3_masked_fft_plus_safeguarded_Q3,-0.0862,-0.2540,,1.3828,194075.1124,0.0010,140.2340,154.0309,10.7876,13.6267,0.1064,0.1298,1.0236,-0.0681,-0.2787,0.0000,,,,,,,,,
2024-07-03,real,real_gems_tco,real_20240703,daily,1,fixed,fixed center,0.5000,8.0000,140352.0000,17544.0000,M3_masked_fft_plus_safeguarded_Q3,-0.0862,-0.2540,,1.3896,195035.2557,0.0078,1100.3773,142.4466,11.6521,14.1337,0.1112,0.1358,0.8829,-0.0421,-0.1711,0.0000,,,,,,,,,
2024-07-03,real,real_gems_tco,real_20240703,daily,1,union,three-way union,0.5000,8.0000,140352.0000,17544.0000,M3_masked_fft_plus_safeguarded_Q3,-0.0862,-0.2540,,1.3818,193934.8784,0.0000,0.0000,709.2046,10.6961,13.4791,0.1050,0.1283,1.0139,-0.0708,-0.2811,0.0000,,,,,,,,,
2024-07-05,real,real_gems_tco,real_20240705,daily,1,adapted,adapted corridor,0.5000,8.0000,142684.0000,17835.5000,M3_masked_fft_plus_safeguarded_Q3,0.0566,-0.2220,,1.3559,193471.2058,0.0003,45.8571,164.2168,8.5235,13.3087,0.1093,0.1361,1.0115,0.0521,-0.2179,0.0000,,,,,,,,,
2024-07-05,real,real_gems_tco,real_20240705,daily,1,shifted,shifted center,0.5000,8.0000,142684.0000,17835.5000,M3_masked_fft_plus_safeguarded_Q3,0.0566,-0.2220,,1.3559,193471.6216,0.0003,46.2729,152.8638,8.5678,13.3573,0.1098,0.1367,1.0148,0.0530,-0.2176,0.0000,,,,,,,,,
2024-07-05,real,real_gems_tco,real_20240705,daily,1,fixed,fixed center,0.5000,8.0000,142684.0000,17835.5000,M3_masked_fft_plus_safeguarded_Q3,0.0566,-0.2220,,1.3602,194084.8305,0.0046,659.4819,161.9069,9.2116,13.7866,0.1138,0.1423,0.9498,0.0506,-0.1186,0.0000,,,,,,,,,
2024-07-05,real,real_gems_tco,real_20240705,daily,1,union,three-way union,0.5000,8.0000,142684.0000,17835.5000,M3_masked_fft_plus_safeguarded_Q3,0.0566,-0.2220,,1.3556,193425.3487,0.0000,0.0000,529.2919,8.5589,13.3425,0.1096,0.1365,1.0147,0.0528,-0.2144,0.0000,,,,,,,,,
2024-07-07,real,real_gems_tco,real_20240707,daily,1,adapted,adapted corridor,0.5000,8.0000,140709.0000,17588.6250,M3_masked_fft_plus_safeguarded_Q3,0.0055,-0.3655,,1.3201,185755.8911,0.0001,16.0867,138.5790,10.1492,14.5760,0.1263,0.1740,1.1436,0.0043,-0.3852,0.0000,,,,,,,,,
2024-07-07,real,real_gems_tco,real_20240707,daily,1,shifted,shifted center,0.5000,8.0000,140709.0000,17588.6250,M3_masked_fft_plus_safeguarded_Q3,0.0055,-0.3655,,1.3201,185753.2378,0.0001,13.4334,118.9683,10.1734,14.6218,0.1267,0.1746,1.1492,0.0039,-0.3855,0.0000,,,,,,,,,
2024-07-07,real,real_gems_tco,real_20240707,daily,1,fixed,fixed center,0.5000,8.0000,140709.0000,17588.6250,M3_masked_fft_plus_safeguarded_Q3,0.0055,-0.3655,,1.3263,186620.9264,0.0063,881.1219,140.7461,10.8878,15.1880,0.1323,0.1826,0.9073,0.0128,-0.1288,0.0000,,,,,,,,,
2024-07-07,real,real_gems_tco,real_20240707,daily,1,union,three-way union,0.5000,8.0000,140709.0000,17588.6250,M3_masked_fft_plus_safeguarded_Q3,0.0055,-0.3655,,1.3200,185739.8044,0.0000,0.0000,675.5895,10.1754,14.5815,0.1263,0.1742,1.1438,0.0036,-0.3826,0.0000,,,,,,,,,
2024-07-15,real,real_gems_tco,real_20240715,daily,1,adapted,adapted corridor,0.5000,8.0000,143785.0000,17973.1250,M3_masked_fft_plus_safeguarded_Q3,-0.0109,-0.0025,,1.1796,169611.2416,0.0000,0.2416,158.6028,11.3644,9.0096,0.1038,0.1324,0.9246,0.0000,0.0052,0.0000,,,,,,,,,
2024-07-15,real,real_gems_tco,real_20240715,daily,1,shifted,shifted center,0.5000,8.0000,143785.0000,17973.1250,M3_masked_fft_plus_safeguarded_Q3,-0.0109,-0.0025,,1.1796,169611.2416,0.0000,0.2416,164.3002,11.3644,9.0096,0.1038,0.1324,0.9246,0.0000,0.0052,0.0000,,,,,,,,,
2024-07-15,real,real_gems_tco,real_20240715,daily,1,fixed,fixed center,0.5000,8.0000,143785.0000,17973.1250,M3_masked_fft_plus_safeguarded_Q3,-0.0109,-0.0025,,1.1796,169613.3839,0.0000,2.3838,192.8837,11.3762,9.0071,0.1038,0.1323,0.9233,0.0002,0.0051,0.0000,,,,,,,,,
2024-07-15,real,real_gems_tco,real_20240715,daily,1,union,three-way union,0.5000,8.0000,143785.0000,17973.1250,M3_masked_fft_plus_safeguarded_Q3,-0.0109,-0.0025,,1.1796,169611.0001,0.0000,0.0000,704.8970,11.3784,8.9997,0.1037,0.1322,0.9205,0.0001,0.0053,0.0000,,,,,,,,,
2024-07-22,real,real_gems_tco,real_20240722,daily,1,adapted,adapted corridor,0.5000,8.0000,143621.0000,17952.6250,M3_masked_fft_plus_safeguarded_Q3,0.0183,-0.1131,,1.2006,172426.4263,0.0000,4.4329,134.7022,12.1652,9.3814,0.1049,0.1341,0.6892,0.0172,-0.1047,0.0000,,,,,,,,,
2024-07-22,real,real_gems_tco,real_20240722,daily,1,shifted,shifted center,0.5000,8.0000,143621.0000,17952.6250,M3_masked_fft_plus_safeguarded_Q3,0.0183,-0.1131,,1.2004,172408.3934,-0.0001,-13.6001,160.5716,12.0520,9.3920,0.1050,0.1341,0.7110,0.0109,-0.0498,0.0000,,,,,,,,,
2024-07-22,real,real_gems_tco,real_20240722,daily,1,fixed,fixed center,0.5000,8.0000,143621.0000,17952.6250,M3_masked_fft_plus_safeguarded_Q3,0.0183,-0.1131,,1.2010,172483.3293,0.0004,61.3358,136.1634,12.1216,9.4278,0.1054,0.1348,0.7030,0.0155,-0.0480,0.0000,,,,,,,,,
2024-07-22,real,real_gems_tco,real_20240722,daily,1,union,three-way union,0.5000,8.0000,143621.0000,17952.6250,M3_masked_fft_plus_safeguarded_Q3,0.0183,-0.1131,,1.2005,172421.9935,0.0000,0.0000,665.8525,12.1355,9.3623,0.1047,0.1338,0.6840,0.0172,-0.1315,0.0000,,,,,,,,,
2023-07-04,synthetic,synthetic_dgp_smooth0p5_nugget1_fit_nugget0,synthetic_20230704,daily,1,adapted,adapted corridor,0.5000,8.0000,135570.0000,16946.2500,M3_masked_fft_plus_safeguarded_Q3,0.0824,-0.1971,0.0713,1.1377,154239.6282,0.0008,108.8695,143.3469,13.8338,9.3133,0.1095,0.1632,1.2521,0.0794,-0.1952,0.0000,10.0000,0.2000,0.3000,2.0000,0.0800,-0.2000,1.0000,0.0768,0.9817
2023-07-04,synthetic,synthetic_dgp_smooth0p5_nugget1_fit_nugget0,synthetic_20230704,daily,1,shifted,shifted center,0.5000,8.0000,135570.0000,16946.2500,M3_masked_fft_plus_safeguarded_Q3,0.0824,-0.1971,0.0713,1.1376,154222.5504,0.0007,91.7916,161.1104,13.8374,9.3231,0.1096,0.1633,1.2544,0.0798,-0.1957,0.0000,10.0000,0.2000,0.3000,2.0000,0.0800,-0.2000,1.0000,0.0689,0.9788
2023-07-04,synthetic,synthetic_dgp_smooth0p5_nugget1_fit_nugget0,synthetic_20230704,daily,1,fixed,fixed center,0.5000,8.0000,135570.0000,16946.2500,M3_masked_fft_plus_safeguarded_Q3,0.0824,-0.1971,0.0713,1.1449,155220.8123,0.0080,1090.0536,140.1154,14.4424,9.6706,0.1145,0.1704,1.2680,0.0765,-0.1705,0.0000,10.0000,0.2000,0.3000,2.0000,0.0800,-0.2000,1.0000,0.4748,1.0322
2023-07-04,synthetic,synthetic_dgp_smooth0p5_nugget1_fit_nugget0,synthetic_20230704,daily,1,union,three-way union,0.5000,8.0000,135570.0000,16946.2500,M3_masked_fft_plus_safeguarded_Q3,0.0824,-0.1971,0.0713,1.1369,154130.7587,0.0000,0.0000,768.3414,13.7556,9.2734,0.1089,0.1623,1.2478,0.0802,-0.1934,0.0000,10.0000,0.2000,0.3000,2.0000,0.0800,-0.2000,1.0000,0.1055,0.9928
2023-07-29,synthetic,synthetic_dgp_smooth0p5_nugget1_fit_nugget0,synthetic_20230729,daily,1,adapted,adapted corridor,0.5000,8.0000,142982.0000,17872.7500,M3_masked_fft_plus_safeguarded_Q3,0.0751,-0.2047,0.1335,1.1334,162062.7693,0.0009,121.8845,157.6403,12.6862,8.8287,0.1030,0.1548,1.1942,0.0756,-0.2012,0.0000,10.0000,0.2000,0.3000,2.0000,0.0800,-0.2000,1.0000,0.1016,1.0817
