data_source,date,data_kind,dataset_id,method,parameter,truth,estimate,absolute_error,logratio_error
real_gems_tco,2024-07-03,real,real_20240703,adapted,sigmasq,,13.5468,,
real_gems_tco,2024-07-03,real,real_20240703,adapted,range_lat,,0.1056,,
real_gems_tco,2024-07-03,real,real_20240703,adapted,range_lon,,0.1290,,
real_gems_tco,2024-07-03,real,real_20240703,adapted,range_time,,1.0228,,
real_gems_tco,2024-07-03,real,real_20240703,adapted,advec_lat,,-0.0724,,
real_gems_tco,2024-07-03,real,real_20240703,adapted,advec_lon,,-0.2850,,
real_gems_tco,2024-07-03,real,real_20240703,adapted,nugget,,0.0000,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,sigmasq,,13.6267,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,range_lat,,0.1064,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,range_lon,,0.1298,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,range_time,,1.0236,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,advec_lat,,-0.0681,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,advec_lon,,-0.2787,,
real_gems_tco,2024-07-03,real,real_20240703,shifted,nugget,,0.0000,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,sigmasq,,14.1337,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,range_lat,,0.1112,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,range_lon,,0.1358,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,range_time,,0.8829,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,advec_lat,,-0.0421,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,advec_lon,,-0.1711,,
real_gems_tco,2024-07-03,real,real_20240703,fixed,nugget,,0.0000,,
real_gems_tco,2024-07-03,real,real_20240703,union,sigmasq,,13.4791,,
real_gems_tco,2024-07-03,real,real_20240703,union,range_lat,,0.1050,,
real_gems_tco,2024-07-03,real,real_20240703,union,range_lon,,0.1283,,
real_gems_tco,2024-07-03,real,real_20240703,union,range_time,,1.0139,,
real_gems_tco,2024-07-03,real,real_20240703,union,advec_lat,,-0.0708,,
real_gems_tco,2024-07-03,real,real_20240703,union,advec_lon,,-0.2811,,
real_gems_tco,2024-07-03,real,real_20240703,union,nugget,,0.0000,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,sigmasq,,13.3087,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,range_lat,,0.1093,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,range_lon,,0.1361,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,range_time,,1.0115,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,advec_lat,,0.0521,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,advec_lon,,-0.2179,,
real_gems_tco,2024-07-05,real,real_20240705,adapted,nugget,,0.0000,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,sigmasq,,13.3573,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,range_lat,,0.1098,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,range_lon,,0.1367,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,range_time,,1.0148,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,advec_lat,,0.0530,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,advec_lon,,-0.2176,,
real_gems_tco,2024-07-05,real,real_20240705,shifted,nugget,,0.0000,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,sigmasq,,13.7866,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,range_lat,,0.1138,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,range_lon,,0.1423,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,range_time,,0.9498,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,advec_lat,,0.0506,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,advec_lon,,-0.1186,,
real_gems_tco,2024-07-05,real,real_20240705,fixed,nugget,,0.0000,,
real_gems_tco,2024-07-05,real,real_20240705,union,sigmasq,,13.3425,,
real_gems_tco,2024-07-05,real,real_20240705,union,range_lat,,0.1096,,
real_gems_tco,2024-07-05,real,real_20240705,union,range_lon,,0.1365,,
real_gems_tco,2024-07-05,real,real_20240705,union,range_time,,1.0147,,
real_gems_tco,2024-07-05,real,real_20240705,union,advec_lat,,0.0528,,
real_gems_tco,2024-07-05,real,real_20240705,union,advec_lon,,-0.2144,,
real_gems_tco,2024-07-05,real,real_20240705,union,nugget,,0.0000,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,sigmasq,,14.5760,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,range_lat,,0.1263,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,range_lon,,0.1740,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,range_time,,1.1436,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,advec_lat,,0.0043,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,advec_lon,,-0.3852,,
real_gems_tco,2024-07-07,real,real_20240707,adapted,nugget,,0.0000,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,sigmasq,,14.6218,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,range_lat,,0.1267,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,range_lon,,0.1746,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,range_time,,1.1492,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,advec_lat,,0.0039,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,advec_lon,,-0.3855,,
real_gems_tco,2024-07-07,real,real_20240707,shifted,nugget,,0.0000,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,sigmasq,,15.1880,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,range_lat,,0.1323,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,range_lon,,0.1826,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,range_time,,0.9073,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,advec_lat,,0.0128,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,advec_lon,,-0.1288,,
real_gems_tco,2024-07-07,real,real_20240707,fixed,nugget,,0.0000,,
real_gems_tco,2024-07-07,real,real_20240707,union,sigmasq,,14.5815,,
real_gems_tco,2024-07-07,real,real_20240707,union,range_lat,,0.1263,,
real_gems_tco,2024-07-07,real,real_20240707,union,range_lon,,0.1742,,
real_gems_tco,2024-07-07,real,real_20240707,union,range_time,,1.1438,,
real_gems_tco,2024-07-07,real,real_20240707,union,advec_lat,,0.0036,,
real_gems_tco,2024-07-07,real,real_20240707,union,advec_lon,,-0.3826,,
real_gems_tco,2024-07-07,real,real_20240707,union,nugget,,0.0000,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,sigmasq,,9.0096,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,range_lat,,0.1038,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,range_lon,,0.1324,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,range_time,,0.9246,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,advec_lat,,0.0000,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,advec_lon,,0.0052,,
real_gems_tco,2024-07-15,real,real_20240715,adapted,nugget,,0.0000,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,sigmasq,,9.0096,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,range_lat,,0.1038,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,range_lon,,0.1324,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,range_time,,0.9246,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,advec_lat,,0.0000,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,advec_lon,,0.0052,,
real_gems_tco,2024-07-15,real,real_20240715,shifted,nugget,,0.0000,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,sigmasq,,9.0071,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,range_lat,,0.1038,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,range_lon,,0.1323,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,range_time,,0.9233,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,advec_lat,,0.0002,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,advec_lon,,0.0051,,
real_gems_tco,2024-07-15,real,real_20240715,fixed,nugget,,0.0000,,
real_gems_tco,2024-07-15,real,real_20240715,union,sigmasq,,8.9997,,
real_gems_tco,2024-07-15,real,real_20240715,union,range_lat,,0.1037,,
real_gems_tco,2024-07-15,real,real_20240715,union,range_lon,,0.1322,,
real_gems_tco,2024-07-15,real,real_20240715,union,range_time,,0.9205,,
real_gems_tco,2024-07-15,real,real_20240715,union,advec_lat,,0.0001,,
real_gems_tco,2024-07-15,real,real_20240715,union,advec_lon,,0.0053,,
real_gems_tco,2024-07-15,real,real_20240715,union,nugget,,0.0000,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,sigmasq,,9.3814,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,range_lat,,0.1049,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,range_lon,,0.1341,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,range_time,,0.6892,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,advec_lat,,0.0172,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,advec_lon,,-0.1047,,
real_gems_tco,2024-07-22,real,real_20240722,adapted,nugget,,0.0000,,
real_gems_tco,2024-07-22,real,real_20240722,shifted,sigmasq,,9.3920,,
