dataset_id,data_kind,date,evaluation_geometry,source_fit,nll_per_target,evaluation_precompute_s
real_20240707,real,2024-07-07,union,union,1.3200278902667846,1.8458653329871595
real_20240707,real,2024-07-07,union,adapted,1.3200294550615828,1.8458653329871595
real_20240707,real,2024-07-07,union,shifted,1.3200297569621817,1.8458653329871595
real_20240707,real,2024-07-07,union,fixed,1.3249990334780568,1.8458653329871595
real_20240707,real,2024-07-07,adapted,union,1.3201438644247125,1.362451416964177
real_20240707,real,2024-07-07,adapted,adapted,1.3201422164913341,1.362451416964177
real_20240707,real,2024-07-07,adapted,shifted,1.3201425503940267,1.362451416964177
real_20240707,real,2024-07-07,adapted,fixed,1.325898339522805,1.362451416964177
real_20240707,real,2024-07-07,shifted,union,1.320125321348786,0.5398900000145659
real_20240707,real,2024-07-07,shifted,adapted,1.3201237149876963,0.5398900000145659
real_20240707,real,2024-07-07,shifted,shifted,1.3201233597202209,0.5398900000145659
real_20240707,real,2024-07-07,shifted,fixed,1.3260192163715587,0.5398900000145659
real_20240707,real,2024-07-07,fixed,union,1.3284067250368272,0.3942709169932641
real_20240707,real,2024-07-07,fixed,adapted,1.3284440055212625,0.3942709169932641
real_20240707,real,2024-07-07,fixed,shifted,1.328428607477787,0.3942709169932641
real_20240707,real,2024-07-07,fixed,fixed,1.3262899057930002,0.3942709169932641
