tile_y,tile_x,n,median_error,mean_error,median_o3,mean_o3,median_vza,median_sza,year,slot,file
0,0,4129,0.813354,0.8748534,248.15935,248.70644,18.972816,57.265526,2023,0,20230701_0045.nc
0,1,4353,0.9763792,0.9724281,245.8291,245.88777,15.9878845,55.39415,2023,0,20230701_0045.nc
0,2,4394,1.100894,1.0573888,243.57016,244.48756,13.139382,53.622963,2023,0,20230701_0045.nc
0,3,4370,0.8602146,0.9121052,244.65286,245.32294,10.262357,51.818016,2023,0,20230701_0045.nc
0,4,4357,1.028617,1.0110526,243.87672,244.54797,7.3497286,50.05986,2023,0,20230701_0045.nc
0,5,4625,0.99711025,0.9152347,243.81862,244.41516,4.71395,48.34096,2023,0,20230701_0045.nc
0,6,4672,0.91820526,0.8829458,244.20409,244.6104,2.5999687,46.622414,2023,0,20230701_0045.nc
0,7,4414,0.9790082,1.0345273,245.25563,246.40994,2.8935027,44.956642,2023,0,20230701_0045.nc
1,0,3889,1.0326601,1.0730244,252.70682,252.37784,18.951906,56.10681,2023,0,20230701_0045.nc
1,1,4098,0.6974788,0.840156,249.6247,249.67535,15.813442,54.128242,2023,0,20230701_0045.nc
1,2,4460,0.7831545,0.8362496,247.50235,247.80219,13.008052,52.364815,2023,0,20230701_0045.nc
1,3,4153,0.9884478,1.1175832,247.88216,249.0188,9.977019,50.56716,2023,0,20230701_0045.nc
1,4,4573,1.0184526,0.9778889,246.04164,246.38844,7.1356864,48.740154,2023,0,20230701_0045.nc
1,5,4494,1.0738275,1.0377566,246.19347,246.38037,4.266894,46.983833,2023,0,20230701_0045.nc
1,6,4504,0.9504847,0.9220928,247.1055,247.65709,1.7989905,45.252205,2023,0,20230701_0045.nc
1,7,4519,0.86857355,0.9814398,248.01958,249.044,2.220611,43.505524,2023,0,20230701_0045.nc
2,0,4003,1.1251091,1.1334469,259.36887,258.59167,19.257868,54.96943,2023,0,20230701_0045.nc
2,1,3028,0.79116887,0.95715195,253.36923,254.22495,15.893387,52.859264,2023,0,20230701_0045.nc
2,2,3879,0.7931807,1.049736,254.77628,255.26999,13.657658,51.240814,2023,0,20230701_0045.nc
2,3,4428,1.01636,1.0337138,251.04736,251.62566,10.729837,49.315575,2023,0,20230701_0045.nc
2,4,4517,1.0663329,1.0309918,249.14717,249.24715,8.06071,47.508606,2023,0,20230701_0045.nc
2,5,4637,1.0635747,1.020493,248.39896,248.74,5.713919,45.706757,2023,0,20230701_0045.nc
2,6,4578,0.99731094,0.96385586,248.19456,248.57066,4.104084,43.90101,2023,0,20230701_0045.nc
2,7,4596,0.9707936,0.95003986,248.20724,248.9852,4.3102684,42.133316,2023,0,20230701_0045.nc
3,0,4051,1.0278355,1.0317773,264.0422,263.7176,19.977644,53.87114,2023,0,20230701_0045.nc
3,1,3510,1.018461,1.1140863,262.9865,262.97165,17.158966,51.789536,2023,0,20230701_0045.nc
3,2,4213,1.0294312,1.0375699,257.34955,258.35773,14.571737,50.04902,2023,0,20230701_0045.nc
3,3,4497,1.0923893,1.0268594,256.6009,256.71942,12.074301,48.192352,2023,0,20230701_0045.nc
3,4,3197,1.0346305,1.190154,256.80707,257.60117,9.954776,46.60981,2023,0,20230701_0045.nc
3,5,4402,1.0036806,1.1532599,253.6905,254.73262,7.937909,44.499737,2023,0,20230701_0045.nc
3,6,4564,0.97854733,0.94904715,250.20259,250.60068,6.897758,42.698685,2023,0,20230701_0045.nc
3,7,4537,1.0145916,0.98641694,250.64484,250.74846,7.0237412,40.879032,2023,0,20230701_0045.nc
0,0,4058,0.731058,0.91170824,248.86844,249.18387,18.989826,44.614197,2023,1,20230701_0145.nc
0,1,4392,0.85332894,0.87082744,244.74045,244.89227,16.004332,42.896088,2023,1,20230701_0145.nc
0,2,4430,0.779655,0.89278346,243.09888,243.86682,13.131798,41.27614,2023,1,20230701_0145.nc
0,3,4463,0.8674257,0.9760157,243.89066,244.83495,10.250189,39.663918,2023,1,20230701_0145.nc
0,4,4423,0.88567835,0.97659427,243.78546,244.55731,7.3668985,38.121784,2023,1,20230701_0145.nc
0,5,4620,0.8662668,0.8308843,242.72806,243.26334,4.7059617,36.621555,2023,1,20230701_0145.nc
0,6,4679,0.826418,0.80706775,243.24823,243.72221,2.5907633,35.158936,2023,1,20230701_0145.nc
0,7,4298,0.8712019,1.02359,244.12933,245.03268,2.8645487,33.721138,2023,1,20230701_0145.nc
1,0,3886,1.2058313,1.3572261,252.43909,252.4477,18.959917,43.12375,2023,1,20230701_0145.nc
1,1,4274,0.92535514,1.1016799,250.0073,250.13228,15.879139,41.40148,2023,1,20230701_0145.nc
1,2,4426,0.7623369,0.9388074,247.0891,247.51846,13.028822,39.740395,2023,1,20230701_0145.nc
1,3,4194,0.89889634,1.209949,247.73514,248.46552,10.010059,38.107124,2023,1,20230701_0145.nc
1,4,4580,0.88668525,0.8909896,244.93423,245.57372,7.132083,36.457382,2023,1,20230701_0145.nc
1,5,4536,0.9323051,0.902408,245.35605,245.69833,4.295328,34.904137,2023,1,20230701_0145.nc
1,6,4493,0.8455416,0.8597453,246.62695,247.44127,1.8080461,33.401814,2023,1,20230701_0145.nc
1,7,4503,0.84243673,1.090821,247.7672,249.16095,2.2326832,31.9329,2023,1,20230701_0145.nc
2,0,3825,0.99909353,1.1717738,260.32425,259.0763,19.32955,41.865593,2023,1,20230701_0145.nc
2,1,3151,0.8734415,1.2189761,254.65077,255.18411,15.934703,39.880814,2023,1,20230701_0145.nc
2,2,3833,1.1460018,1.3869606,254.7321,254.87253,13.671155,38.31432,2023,1,20230701_0145.nc
2,3,4343,0.89510655,1.0445551,250.42255,250.94678,10.702397,36.522533,2023,1,20230701_0145.nc
2,4,4538,0.91542685,0.8996202,247.56003,248.15497,8.058305,34.89811,2023,1,20230701_0145.nc
2,5,4619,0.9365993,0.92424387,247.6977,248.28258,5.7104278,33.27018,2023,1,20230701_0145.nc
2,6,4572,0.8988143,0.9075964,247.62817,248.23218,4.0925965,31.675976,2023,1,20230701_0145.nc
2,7,4598,0.8930051,0.8875032,247.41547,247.98679,4.3077526,30.157532,2023,1,20230701_0145.nc
3,0,3998,0.87992835,1.0001969,262.839,262.8671,19.993032,40.530266,2023,1,20230701_0145.nc
3,1,3453,0.8644153,1.207603,263.16928,263.112,17.275005,38.565712,2023,1,20230701_0145.nc
3,2,4396,0.77800876,0.8790441,258.10303,259.018,14.58737,36.910164,2023,1,20230701_0145.nc
3,3,4482,0.92996764,0.91463643,255.7189,256.00916,12.076165,35.15838,2023,1,20230701_0145.nc
3,4,3035,0.9474859,1.3217064,257.15607,258.63116,10.005707,33.72047,2023,1,20230701_0145.nc
3,5,4471,0.90655476,1.1038702,253.87714,254.25528,7.9699974,31.75179,2023,1,20230701_0145.nc
3,6,4574,0.90977025,0.9335113,249.90874,250.30974,6.90003,30.114143,2023,1,20230701_0145.nc
3,7,4598,0.87834525,0.86828405,250.03247,250.25073,7.023602,28.504234,2023,1,20230701_0145.nc
0,0,4043,0.87780243,1.0853071,248.86784,249.11473,18.995066,34.28893,2023,2,20230701_0245.nc
0,1,4452,0.6787555,0.76413316,244.19197,244.46902,16.006218,32.875153,2023,2,20230701_0245.nc
0,2,4432,0.7378831,0.8790776,242.50665,243.16951,13.121826,31.591805,2023,2,20230701_0245.nc
0,3,4529,0.87541866,0.98266834,242.96953,244.51372,10.235628,30.38576,2023,2,20230701_0245.nc
0,4,4508,0.822292,0.97323906,243.40921,244.54414,7.3832817,29.28379,2023,2,20230701_0245.nc
0,5,4624,0.80872667,0.7940298,242.5177,243.08218,4.7000666,28.262636,2023,2,20230701_0245.nc
