tile_y,tile_x,n_files,total_n,median_error,mean_error,median_vza,median_sza,median_o3,mean_o3,median_error_pct,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
0,0,247,1010940,0.859865,1.108011,18.916092,34.28893,250.39378,250.48447,0.343405,-3.0,-0.5,111.0,113.5,-1.75,112.25
0,1,248,1052278,0.906709,1.058657,16.003864,37.2896,249.85072,249.8651,0.3629,-3.0,-0.5,113.5,116.0,-1.75,114.75
0,2,248,1056038,0.912284,1.092244,13.106706,37.18756,248.4504,249.11671,0.36719,-3.0,-0.5,116.0,118.5,-1.75,117.25
0,3,248,1098696,0.947778,1.131768,10.238422,36.97655,248.93164,249.2243,0.380738,-3.0,-0.5,118.5,121.0,-1.75,119.75
0,4,248,1066625,1.028731,1.304413,7.40645,36.99131,249.45543,249.20355,0.412391,-3.0,-0.5,121.0,123.5,-1.75,122.25
0,5,248,1107187,0.922788,1.113081,4.698658,36.561012,247.12848,247.59889,0.373404,-3.0,-0.5,123.5,126.0,-1.75,124.75
0,6,248,1109927,0.958061,1.166179,2.573136,36.53409,246.66348,247.04,0.388408,-3.0,-0.5,126.0,128.5,-1.75,127.25
0,7,248,1094947,0.998008,1.220937,2.914718,36.686317,247.18835,247.23643,0.403744,-3.0,-0.5,128.5,131.0,-1.75,129.75
1,0,247,1038313,0.95155,1.120292,18.819036,32.43641,252.2291,253.15828,0.377256,-0.5,2.0,111.0,113.5,0.75,112.25
1,1,248,1061166,0.924908,1.116018,15.906737,35.778053,253.1989,253.75252,0.365289,-0.5,2.0,113.5,116.0,0.75,114.75
1,2,248,1072946,0.917187,1.156777,13.001426,35.562763,253.08394,253.37279,0.362404,-0.5,2.0,116.0,118.5,0.75,117.25
1,3,248,1094054,0.931776,1.111124,10.076617,35.447815,251.88278,252.43239,0.369925,-0.5,2.0,118.5,121.0,0.75,119.75
1,4,248,1106664,0.979157,1.156029,7.167614,35.415268,251.53598,251.72983,0.389271,-0.5,2.0,121.0,123.5,0.75,122.25
1,5,248,1097841,0.947659,1.167409,4.30502,34.901234,252.0071,251.89442,0.376044,-0.5,2.0,123.5,126.0,0.75,124.75
1,6,248,1111010,0.954877,1.193911,1.817999,34.977352,251.37355,251.61043,0.379864,-0.5,2.0,126.0,128.5,0.75,127.25
1,7,248,1108980,0.963881,1.228378,2.220746,35.149807,251.12564,251.43275,0.383824,-0.5,2.0,128.5,131.0,0.75,129.75
2,0,247,1015044,1.006222,1.20556,19.17061,30.800047,258.56146,258.945,0.389161,2.0,4.5,111.0,113.5,3.25,112.25
2,1,248,1056080,0.999489,1.199298,16.326523,34.30241,258.49005,258.71942,0.386664,2.0,4.5,113.5,116.0,3.25,114.75
2,2,248,1075438,0.94564,1.167028,13.516151,34.127625,257.52014,257.8286,0.36721,2.0,4.5,116.0,118.5,3.25,117.25
2,3,248,1076786,0.966278,1.227178,10.739226,34.034546,257.41785,257.90833,0.375373,2.0,4.5,118.5,121.0,3.25,119.75
2,4,248,1077559,0.960085,1.222537,8.080662,34.035465,256.9391,256.9946,0.373662,2.0,4.5,121.0,123.5,3.25,122.25
2,5,248,1108358,0.94243,1.167798,5.731641,33.4347,256.99695,256.76483,0.366709,2.0,4.5,123.5,126.0,3.25,124.75
2,6,248,1104688,0.926342,1.178891,4.111628,33.592293,256.14514,256.51346,0.361647,2.0,4.5,126.0,128.5,3.25,127.25
2,7,248,1063844,0.930529,1.237242,4.330364,33.682198,256.03537,256.57803,0.363438,2.0,4.5,128.5,131.0,3.25,129.75
3,0,247,975347,1.027836,1.376753,19.946934,29.10551,264.34064,264.29855,0.38883,4.5,7.0,111.0,113.5,5.75,112.25
3,1,248,997048,0.984071,1.326686,17.232176,32.95919,262.9702,263.24234,0.374214,4.5,7.0,113.5,116.0,5.75,114.75
3,2,248,1050860,0.966588,1.192318,14.600483,32.81931,261.69098,262.46426,0.369362,4.5,7.0,116.0,118.5,5.75,117.25
3,3,248,1076029,0.934136,1.146253,12.098005,32.7003,260.83057,261.49084,0.358139,4.5,7.0,118.5,121.0,5.75,119.75
3,4,248,1039471,1.002605,1.339894,9.847445,32.633385,261.6931,261.57648,0.383123,4.5,7.0,121.0,123.5,5.75,122.25
3,5,248,1072500,0.97649,1.252592,7.969943,32.08984,260.97775,261.07687,0.374166,4.5,7.0,123.5,126.0,5.75,124.75
3,6,248,1105155,0.908262,1.199419,6.925549,32.17812,260.69702,260.83914,0.348397,4.5,7.0,126.0,128.5,5.75,127.25
3,7,248,1059857,0.999774,1.387689,7.055122,32.356777,260.76785,260.68805,0.383396,4.5,7.0,128.5,131.0,5.75,129.75
