year,tile_y,tile_x,rows,finite_o3_rows,good_flag_rows,good_finite_o3_rows,sum_o3_good,sumsq_o3_good,min_o3_good,max_o3_good,mean_o3_good,median_o3_good,std_o3_good,q05_o3_good,q95_o3_good,good_finite_fraction,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
2025,0,0,1031568,1031568,1031568,1031568,249445784.523239,60358321497.39973,222.763535,280.965088,241.812255,241.821793,6.170249,232.348959,251.647944,1.0,-3.0,-0.5,111.0,113.5,-1.75,112.25
2025,0,1,1012869,1012869,1012869,1012869,244105654.882736,58875475544.47094,215.668655,281.037354,241.004172,240.440689,6.66503,231.63678,252.150394,1.0,-3.0,-0.5,113.5,116.0,-1.75,114.75
2025,0,2,1045399,1045399,1045399,1045399,250836125.688843,60216189124.80261,204.296829,275.479584,239.942955,239.318939,5.341581,232.404549,249.671194,1.0,-3.0,-0.5,116.0,118.5,-1.75,117.25
2025,0,3,1130349,1130349,1130349,1130349,271858953.044739,65419214945.08475,222.830521,272.658447,240.508863,240.210617,5.542794,231.942352,250.106201,1.0,-3.0,-0.5,118.5,121.0,-1.75,119.75
2025,0,4,1067309,1067309,1067309,1067309,256661475.729294,61745744243.23567,223.839203,272.4599,240.475322,240.28688,4.839112,232.876224,248.811371,1.0,-3.0,-0.5,121.0,123.5,-1.75,122.25
2025,0,5,1100419,1100419,1100419,1100419,263593552.632431,63163047859.65627,225.086929,270.105103,239.53926,239.153183,4.475695,232.918547,247.417062,1.0,-3.0,-0.5,123.5,126.0,-1.75,124.75
2025,0,6,1094977,1094977,1094977,1094977,262708235.448639,63055183477.233215,223.282074,271.744446,239.921236,239.572083,4.863379,232.542496,248.301486,1.0,-3.0,-0.5,126.0,128.5,-1.75,127.25
2025,0,7,1080578,1080578,1080578,1080578,259611571.679092,62398222515.19304,220.086746,276.430054,240.252505,240.2229,4.895027,232.333308,248.188922,1.0,-3.0,-0.5,128.5,131.0,-1.75,129.75
2025,1,0,1051498,1051498,1051498,1051498,257116527.615128,62910620933.64533,221.799606,280.096741,244.524029,244.189407,6.125316,235.163801,254.802277,1.0,-0.5,2.0,111.0,113.5,0.75,112.25
2025,1,1,1062801,1062801,1062801,1062801,260710147.5289,63991734373.49614,215.400208,277.902008,245.304763,245.524551,6.002557,235.25647,254.963867,1.0,-0.5,2.0,113.5,116.0,0.75,114.75
2025,1,2,1050771,1050771,1050771,1050771,256572703.019287,62691387298.82192,223.936981,277.730835,244.175661,243.877426,6.365596,234.51915,255.068993,1.0,-0.5,2.0,116.0,118.5,0.75,117.25
2025,1,3,1096478,1096478,1096478,1096478,266766296.841766,64929288658.81565,219.440735,276.485229,243.293798,242.680054,4.934938,236.188869,252.521461,1.0,-0.5,2.0,118.5,121.0,0.75,119.75
2025,1,4,1097252,1097252,1097252,1097252,265772352.090149,64402103097.412926,226.184738,273.786407,242.21633,241.657532,5.024383,234.960405,251.441193,1.0,-0.5,2.0,121.0,123.5,0.75,122.25
2025,1,5,1105469,1105469,1105469,1105469,267804820.856491,64903511259.95934,226.957764,271.195007,242.254483,241.76915,4.904669,235.157077,251.272491,1.0,-0.5,2.0,123.5,126.0,0.75,124.75
2025,1,6,1111163,1111163,1111163,1111163,270146761.644836,65707171824.94237,224.670639,275.345276,243.120732,242.87735,5.099306,235.219853,251.900098,1.0,-0.5,2.0,126.0,128.5,0.75,127.25
2025,1,7,1079466,1079466,1079466,1079466,262756328.839981,63984952137.46774,224.923721,274.79895,243.413251,243.213379,4.96217,235.512657,251.830456,1.0,-0.5,2.0,128.5,131.0,0.75,129.75
2025,2,0,1031975,1031975,1031975,1031975,256396083.120148,63736723269.401085,225.598373,285.0177,248.451836,248.042496,5.794162,239.274307,258.457159,1.0,2.0,4.5,111.0,113.5,3.25,112.25
2025,2,1,1060563,1060563,1060563,1060563,264230258.83728,65875640928.79952,230.607651,282.509644,249.141502,248.974045,6.507873,239.096901,259.69162,1.0,2.0,4.5,113.5,116.0,3.25,114.75
2025,2,2,1064672,1064672,1064672,1064672,264016830.777496,65518038994.00391,229.753571,283.373932,247.979501,247.380859,6.66374,238.571053,259.562497,1.0,2.0,4.5,116.0,118.5,3.25,117.25
2025,2,3,1084705,1084705,1084705,1084705,268062146.386063,66272438658.742455,232.24263,277.090881,247.129078,246.497681,4.94158,240.169955,256.081604,1.0,2.0,4.5,118.5,121.0,3.25,119.75
2025,2,4,1076199,1076199,1076199,1076199,265189944.22583,65371808269.60221,230.568939,275.375397,246.413483,245.807922,4.861053,239.487592,255.265564,1.0,2.0,4.5,121.0,123.5,3.25,122.25
2025,2,5,1082700,1082700,1082700,1082700,266948726.858612,65847703392.13739,232.005081,274.369812,246.558351,245.810577,5.199046,239.224728,255.998372,1.0,2.0,4.5,123.5,126.0,3.25,124.75
2025,2,6,1095551,1095551,1095551,1095551,269919446.904053,66528316284.508095,229.554993,279.324707,246.377802,245.804901,4.886214,239.373505,255.183083,1.0,2.0,4.5,126.0,128.5,3.25,127.25
2025,2,7,1083842,1083842,1083842,1083842,267481711.692871,66038849476.51536,223.065567,271.473022,246.790318,246.357727,4.986771,239.197572,255.360752,1.0,2.0,4.5,128.5,131.0,3.25,129.75
2025,3,0,1020897,1020897,1020897,1020897,257929658.076675,65184085598.69746,239.789062,271.86261,252.65003,252.122437,4.216415,246.624448,260.428876,1.0,4.5,7.0,111.0,113.5,5.75,112.25
2025,3,1,1047807,1047807,1047807,1047807,264389677.549362,66740365623.9381,235.732483,286.515015,252.326695,251.867599,5.150148,244.525629,261.445966,1.0,4.5,7.0,113.5,116.0,5.75,114.75
2025,3,2,1064059,1064059,1064059,1064059,268262113.790619,67679731530.034676,232.380753,288.135864,252.112067,251.733795,6.68947,242.270096,263.124332,1.0,4.5,7.0,116.0,118.5,5.75,117.25
2025,3,3,1094477,1094477,1094477,1094477,275045262.875687,69150127830.2439,232.449509,284.653168,251.302917,250.816788,5.274692,243.510529,260.379187,1.0,4.5,7.0,118.5,121.0,5.75,119.75
2025,3,4,1068788,1068788,1068788,1068788,268103425.581909,67280093292.58841,232.510757,281.695251,250.848087,250.297623,5.013277,243.67806,259.375061,1.0,4.5,7.0,121.0,123.5,5.75,122.25
2025,3,5,1077266,1077266,1077266,1077266,270711086.349899,68063201777.0561,227.1064,288.85675,251.294561,250.774353,5.698198,243.219349,261.071205,1.0,4.5,7.0,123.5,126.0,5.75,124.75
2025,3,6,1073949,1073949,1073949,1073949,269793697.99472,67809307112.01229,236.067291,283.444519,251.21649,250.866882,5.516431,243.145087,260.841809,1.0,4.5,7.0,126.0,128.5,5.75,127.25
2025,3,7,1058869,1058869,1058869,1058869,265255742.912216,66477664711.350174,236.7267,273.655396,250.508555,249.932404,5.218141,243.022043,259.754626,1.0,4.5,7.0,128.5,131.0,5.75,129.75
