lat_lag,lon_lag,ridge_norm,gamma_min,gamma_second_min,gamma_gap,gamma_rel_gap,near_min_count,near_min_tol,is_ambiguous,n_pairs,row,col,year,month,day_num,tau,lat_step,lon_step
0.0000,-0.0630,0.0630,5.0179,5.0307,0.0128,0.0026,8,0.0502,True,124498,20,19,2022,7,1,1,0.0440,0.0630
-0.0440,-0.5670,0.5687,5.7362,5.7394,0.0032,0.0006,29,0.0574,True,100337,19,11,2022,7,1,2,0.0440,0.0630
-0.0440,-0.9450,0.9460,6.0579,6.0595,0.0016,0.0003,50,0.0606,True,80152,19,5,2022,7,1,3,0.0440,0.0630
0.0000,-0.3150,0.3150,6.3471,6.3781,0.0311,0.0049,6,0.0635,True,118210,20,15,2022,7,2,1,0.0440,0.0630
0.0000,-0.6300,0.6300,7.4302,7.4305,0.0003,0.0000,15,0.0743,True,97756,20,10,2022,7,2,2,0.0440,0.0630
-0.0440,-0.9450,0.9460,7.9020,7.9051,0.0030,0.0004,35,0.0790,True,77760,19,5,2022,7,2,3,0.0440,0.0630
0.0440,-0.2520,0.2558,7.2060,7.2120,0.0060,0.0008,8,0.0721,True,101716,21,16,2022,7,3,1,0.0440,0.0630
0.0880,-0.6300,0.6361,9.0980,9.1027,0.0047,0.0005,29,0.0910,True,80719,22,10,2022,7,3,2,0.0440,0.0630
0.1760,-0.9450,0.9612,10.0327,10.0434,0.0107,0.0011,28,0.1003,True,63024,24,5,2022,7,3,3,0.0440,0.0630
0.0440,-0.1890,0.1941,6.6002,6.6301,0.0300,0.0045,5,0.0660,True,119247,21,17,2022,7,4,1,0.0440,0.0630
0.0880,-0.3780,0.3881,8.0592,8.0683,0.0090,0.0011,13,0.0806,True,99035,22,14,2022,7,4,2,0.0440,0.0630
0.1760,-0.5670,0.5937,9.0673,9.0711,0.0037,0.0004,30,0.0907,True,79338,24,11,2022,7,4,3,0.0440,0.0630
0.0000,-0.1890,0.1890,5.0935,5.1020,0.0085,0.0017,4,0.0509,False,107434,20,17,2022,7,5,1,0.0440,0.0630
0.0000,-0.3780,0.3780,6.4175,6.4236,0.0061,0.0010,9,0.0642,True,88645,20,14,2022,7,5,2,0.0440,0.0630
0.0000,-0.4410,0.4410,7.2376,7.2402,0.0025,0.0003,21,0.0724,True,72830,20,13,2022,7,5,3,0.0440,0.0630
0.0000,-0.0630,0.0630,6.0043,6.0315,0.0272,0.0045,6,0.0600,True,123173,20,19,2022,7,6,1,0.0440,0.0630
-0.0440,-0.3150,0.3181,7.1622,7.1623,0.0002,0.0000,20,0.0716,True,101894,19,15,2022,7,6,2,0.0440,0.0630
-0.0880,-0.5670,0.5738,8.0775,8.0776,0.0000,0.0000,39,0.0808,True,81838,18,11,2022,7,6,3,0.0440,0.0630
-0.0880,-0.1890,0.2085,6.7169,6.7462,0.0292,0.0044,7,0.0672,True,100013,18,17,2022,7,7,1,0.0440,0.0630
-0.2640,-0.3150,0.4110,8.5178,8.5200,0.0022,0.0003,39,0.0852,True,78178,14,15,2022,7,7,2,0.0440,0.0630
-0.3080,-0.1260,0.3328,9.2910,9.2925,0.0014,0.0002,28,0.0929,True,64880,13,18,2022,7,7,3,0.0440,0.0630
0.0000,-0.0630,0.0630,6.3429,6.3792,0.0363,0.0057,6,0.0634,True,94473,20,19,2022,7,8,1,0.0440,0.0630
-0.0880,0.0630,0.1082,8.0608,8.0643,0.0034,0.0004,21,0.0806,True,76192,18,21,2022,7,8,2,0.0440,0.0630
-0.2640,0.2520,0.3650,8.7935,8.7954,0.0019,0.0002,20,0.0879,True,58746,14,24,2022,7,8,3,0.0440,0.0630
0.0000,-0.1890,0.1890,7.1135,7.1165,0.0030,0.0004,3,0.0711,False,113865,20,17,2022,7,9,1,0.0440,0.0630
0.0880,-0.3150,0.3271,9.0739,9.0796,0.0057,0.0006,15,0.0907,True,93466,22,15,2022,7,9,2,0.0440,0.0630
0.1760,-0.3150,0.3608,10.1326,10.1496,0.0169,0.0017,18,0.1013,True,75811,24,15,2022,7,9,3,0.0440,0.0630
0.0000,-0.3150,0.3150,6.9170,6.9778,0.0608,0.0088,3,0.0692,False,102544,20,15,2022,7,10,1,0.0440,0.0630
0.0440,-0.6300,0.6315,8.8908,8.8991,0.0084,0.0009,11,0.0889,True,81386,21,10,2022,7,10,2,0.0440,0.0630
0.0000,0.1260,0.1260,9.5835,9.5875,0.0040,0.0004,19,0.0958,True,72387,20,22,2022,7,10,3,0.0440,0.0630
-0.0440,-0.2520,0.2558,5.1659,5.1700,0.0042,0.0008,6,0.0517,True,105345,19,16,2022,7,11,1,0.0440,0.0630
0.0000,0.0000,0.0000,6.3413,6.3475,0.0062,0.0010,21,0.0634,True,90535,20,20,2022,7,11,2,0.0440,0.0630
