year,tau,model,count,mean,median
2022,1,Corridor_4x4_lag643,28,0.0644,0.0366
2022,1,Debiased_Whittle,28,0.1128,0.0635
2022,1,Vecchia_mm20,28,0.0943,0.0718
2022,2,Corridor_4x4_lag643,28,0.1576,0.0862
2022,2,Debiased_Whittle,28,0.2842,0.1885
2022,2,Vecchia_mm20,28,0.1733,0.1196
2022,3,Corridor_4x4_lag643,28,0.4468,0.3158
2022,3,Debiased_Whittle,28,0.5551,0.4152
2022,3,Vecchia_mm20,28,0.4020,0.2136
2023,1,Corridor_4x4_lag643,28,0.0484,0.0216
2023,1,Debiased_Whittle,28,0.0775,0.0440
2023,1,Vecchia_mm20,28,0.0552,0.0318
2023,2,Corridor_4x4_lag643,28,0.1181,0.0492
2023,2,Debiased_Whittle,28,0.1595,0.0937
2023,2,Vecchia_mm20,28,0.1322,0.0586
2023,3,Corridor_4x4_lag643,28,0.2947,0.2244
2023,3,Debiased_Whittle,28,0.3184,0.2060
2023,3,Vecchia_mm20,28,0.3154,0.2643
2024,1,Corridor_4x4_lag643,28,0.0447,0.0306
2024,1,Debiased_Whittle,28,0.0926,0.0480
2024,1,Vecchia_mm20,28,0.0624,0.0485
2024,2,Corridor_4x4_lag643,28,0.1097,0.0557
2024,2,Debiased_Whittle,28,0.2085,0.0952
2024,2,Vecchia_mm20,28,0.1392,0.0878
2024,3,Corridor_4x4_lag643,28,0.2748,0.1559
2024,3,Debiased_Whittle,28,0.4720,0.2862
2024,3,Vecchia_mm20,28,0.2642,0.1595
2025,1,Corridor_4x4_lag643,28,0.0706,0.0286
2025,1,Debiased_Whittle,28,0.0945,0.0657
2025,1,Vecchia_mm20,28,0.0931,0.0559
2025,2,Corridor_4x4_lag643,28,0.1586,0.0742
2025,2,Debiased_Whittle,28,0.2045,0.1286
2025,2,Vecchia_mm20,28,0.1926,0.1177
2025,3,Corridor_4x4_lag643,28,0.4082,0.2992
2025,3,Debiased_Whittle,28,0.5370,0.2994
2025,3,Vecchia_mm20,28,0.3920,0.2700
