year,tau,model,count,mean_norm_bias,median_norm_bias,over_rate,mean_abs_norm_bias
2022,1,Corridor_4x4_lag643,28,-0.0519,-0.0264,0.2500,0.0610
2022,1,Debiased_Whittle,28,-0.0200,-0.0119,0.4643,0.0851
2022,1,Vecchia_mm20,28,-0.0900,-0.0711,0.0714,0.0914
2022,2,Corridor_4x4_lag643,28,-0.0298,0.0181,0.5357,0.1426
2022,2,Debiased_Whittle,28,0.0341,0.0202,0.5357,0.2362
2022,2,Vecchia_mm20,28,-0.1060,-0.0766,0.3214,0.1569
2022,3,Corridor_4x4_lag643,28,-0.0540,0.0180,0.5000,0.3644
2022,3,Debiased_Whittle,28,0.0418,0.0116,0.5714,0.4214
2022,3,Vecchia_mm20,28,-0.1683,-0.0519,0.4643,0.3104
2023,1,Corridor_4x4_lag643,28,-0.0363,-0.0088,0.4286,0.0431
2023,1,Debiased_Whittle,28,-0.0272,0.0000,0.5000,0.0497
2023,1,Vecchia_mm20,28,-0.0420,-0.0276,0.3571,0.0499
2023,2,Corridor_4x4_lag643,28,-0.0222,-0.0185,0.4286,0.1030
2023,2,Debiased_Whittle,28,-0.0039,0.0002,0.5357,0.1237
2023,2,Vecchia_mm20,28,-0.0336,-0.0204,0.3571,0.1000
2023,3,Corridor_4x4_lag643,28,-0.0917,-0.0186,0.4643,0.2486
2023,3,Debiased_Whittle,28,-0.0643,-0.0097,0.4286,0.2397
2023,3,Vecchia_mm20,28,-0.1088,-0.0251,0.4286,0.2499
2024,1,Corridor_4x4_lag643,28,-0.0314,-0.0252,0.2857,0.0398
2024,1,Debiased_Whittle,28,0.0417,0.0168,0.6071,0.0662
2024,1,Vecchia_mm20,28,-0.0525,-0.0483,0.2143,0.0591
2024,2,Corridor_4x4_lag643,28,-0.0610,-0.0020,0.4643,0.0971
2024,2,Debiased_Whittle,28,0.0852,0.0264,0.6429,0.1639
2024,2,Vecchia_mm20,28,-0.1032,-0.0514,0.2857,0.1306
2024,3,Corridor_4x4_lag643,28,-0.0946,-0.0019,0.4643,0.2469
2024,3,Debiased_Whittle,28,0.1248,0.0948,0.6786,0.3368
2024,3,Vecchia_mm20,28,-0.1578,-0.0878,0.3929,0.2411
2025,1,Corridor_4x4_lag643,28,-0.0596,-0.0254,0.3571,0.0668
2025,1,Debiased_Whittle,28,0.0320,0.0254,0.6786,0.0756
2025,1,Vecchia_mm20,28,-0.0849,-0.0487,0.2500,0.0902
2025,2,Corridor_4x4_lag643,28,-0.1034,-0.0205,0.4643,0.1462
2025,2,Debiased_Whittle,28,0.0797,0.0776,0.7143,0.1752
2025,2,Vecchia_mm20,28,-0.1541,-0.0824,0.3571,0.1792
2025,3,Corridor_4x4_lag643,28,-0.1775,-0.0109,0.4643,0.3022
2025,3,Debiased_Whittle,28,0.0972,0.0349,0.6071,0.3838
2025,3,Vecchia_mm20,28,-0.2535,-0.0909,0.3929,0.3073
