year,tau,n,ambiguous_count,median_near_min_count,median_gamma_rel_gap,max_ridge_norm,ambiguous_rate
2022,1,28,20,6.0000,0.0030,0.3806,0.7143
2022,2,28,27,16.5000,0.0006,0.7573,0.9643
2022,3,28,28,25.5000,0.0004,1.2971,1.0000
2023,1,28,9,4.0000,0.0022,0.4374,0.3214
2023,2,28,21,11.5000,0.0006,0.7611,0.7500
2023,3,28,27,26.0000,0.0005,1.2722,0.9643
2024,1,28,13,4.0000,0.0024,0.3881,0.4643
2024,2,28,26,11.5000,0.0012,0.6986,0.9286
2024,3,28,27,19.5000,0.0006,1.2002,0.9643
2025,1,28,12,4.0000,0.0018,0.6361,0.4286
2025,2,28,24,17.5000,0.0006,0.8918,0.8571
2025,3,28,25,30.5000,0.0002,1.4653,0.8929
