lat_lag,lon_lag,ridge_norm,gamma_min,gamma_second_min,gamma_gap,gamma_rel_gap,near_min_count,near_min_tol,is_ambiguous,n_pairs,row,col,year,month,day_num,tau,lat_step,lon_step
0.0000,-0.0630,0.0630,7.0566,7.0991,0.0424,0.0060,2,0.0706,False,123182,20,19,2023,7,1,1,0.0440,0.0630
0.0000,-0.1260,0.1260,8.7381,8.7552,0.0171,0.0020,7,0.0874,True,104763,20,18,2023,7,1,2,0.0440,0.0630
0.0000,-0.0630,0.0630,9.4610,9.4692,0.0083,0.0009,10,0.0946,True,87699,20,19,2023,7,1,3,0.0440,0.0630
0.0000,-0.1260,0.1260,8.1370,8.1396,0.0026,0.0003,4,0.0814,False,121275,20,18,2023,7,2,1,0.0440,0.0630
0.0000,-0.2520,0.2520,10.0955,10.1068,0.0113,0.0011,14,0.1010,True,102207,20,16,2023,7,2,2,0.0440,0.0630
0.0000,-0.5040,0.5040,10.9530,10.9650,0.0120,0.0011,36,0.1095,True,82899,20,12,2023,7,2,3,0.0440,0.0630
0.0000,-0.0630,0.0630,6.9910,7.0516,0.0605,0.0087,2,0.0699,False,123303,20,19,2023,7,3,1,0.0440,0.0630
0.0000,-0.1260,0.1260,8.6694,8.6756,0.0062,0.0007,13,0.0867,True,104913,20,18,2023,7,3,2,0.0440,0.0630
0.0000,-0.4410,0.4410,9.9036,9.9054,0.0018,0.0002,24,0.0990,True,84500,20,13,2023,7,3,3,0.0440,0.0630
0.0440,-0.2520,0.2558,6.9658,6.9771,0.0112,0.0016,2,0.0697,False,112910,21,16,2023,7,4,1,0.0440,0.0630
0.0880,-0.5040,0.5116,8.9116,8.9188,0.0072,0.0008,12,0.0891,True,92494,22,12,2023,7,4,2,0.0440,0.0630
0.2200,-0.7560,0.7874,9.6520,9.6543,0.0023,0.0002,20,0.0965,True,72535,25,8,2023,7,4,3,0.0440,0.0630
-0.0440,-0.3780,0.3806,7.8294,7.8702,0.0409,0.0052,5,0.0783,True,112120,19,14,2023,7,5,1,0.0440,0.0630
-0.0880,-0.7560,0.7611,10.4761,10.4889,0.0129,0.0012,11,0.1048,True,90812,18,8,2023,7,5,2,0.0440,0.0630
-0.0880,-1.1340,1.1374,12.2975,12.3020,0.0046,0.0004,28,0.1230,True,72720,18,2,2023,7,5,3,0.0440,0.0630
-0.0440,-0.2520,0.2558,9.2634,9.2710,0.0076,0.0008,4,0.0926,False,114410,19,16,2023,7,6,1,0.0440,0.0630
0.0000,-0.3780,0.3780,12.5807,12.5856,0.0049,0.0004,16,0.1258,True,96837,20,14,2023,7,6,2,0.0440,0.0630
0.0000,0.0000,0.0000,14.2470,14.2587,0.0117,0.0008,34,0.1425,True,83440,20,20,2023,7,6,3,0.0440,0.0630
