year,month,day_num,tau,model,ridge_lat_lag,ridge_lon_lag,ridge_norm,large_empirical_ridge,model_lat_lag,model_lon_lag,model_norm,model_norm_ge_1,err_lat,err_lon,err_euclid,ridge_gamma_min,ridge_gamma_gap,ridge_gamma_rel_gap,ridge_near_min_count,ridge_is_ambiguous,ridge_n_pairs,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,norm_bias,abs_norm_bias,overestimated_norm
2025,7,1,1,Corridor_4x4_lag643,0.0440,-0.2520,0.2558,False,0.0139,-0.1563,0.1569,False,0.0301,-0.0957,0.1004,9.6274,0.0079,0.0008,8,True,106991,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686,-0.0989,0.0989,False
2025,7,1,1,Debiased_Whittle,0.0440,-0.2520,0.2558,False,0.0438,-0.3324,0.3353,False,0.0002,0.0804,0.0804,9.6274,0.0079,0.0008,8,True,106991,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751,0.0795,0.0795,True
2025,7,1,1,Vecchia_mm20,0.0440,-0.2520,0.2558,False,0.0078,-0.0997,0.1000,False,0.0362,-0.1523,0.1565,9.6274,0.0079,0.0008,8,True,106991,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940,-0.1558,0.1558,False
2025,7,1,2,Corridor_4x4_lag643,0.0880,-0.6300,0.6361,False,0.0278,-0.3125,0.3138,False,0.0602,-0.3175,0.3231,11.2959,0.0023,0.0002,22,True,84981,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686,-0.3223,0.3223,False
2025,7,1,2,Debiased_Whittle,0.0880,-0.6300,0.6361,False,0.0876,-0.6648,0.6705,False,0.0004,0.0348,0.0348,11.2959,0.0023,0.0002,22,True,84981,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751,0.0344,0.0344,True
2025,7,1,2,Vecchia_mm20,0.0880,-0.6300,0.6361,False,0.0156,-0.1994,0.2000,False,0.0724,-0.4306,0.4366,11.2959,0.0023,0.0002,22,True,84981,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940,-0.4361,0.4361,False
2025,7,1,3,Corridor_4x4_lag643,0.3080,-1.0710,1.1144,True,0.0417,-0.4688,0.4706,False,0.2663,-0.6022,0.6584,11.8327,0.0019,0.0002,48,True,63548,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686,-0.6438,0.6438,False
2025,7,1,3,Debiased_Whittle,0.3080,-1.0710,1.1144,True,0.1314,-0.9972,1.0058,True,0.1766,-0.0738,0.1914,11.8327,0.0019,0.0002,48,True,63548,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751,-0.1086,0.1086,False
2025,7,1,3,Vecchia_mm20,0.3080,-1.0710,1.1144,True,0.0234,-0.2991,0.3000,False,0.2846,-0.7719,0.8227,11.8327,0.0019,0.0002,48,True,63548,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940,-0.8144,0.8144,False
2025,7,2,1,Corridor_4x4_lag643,0.0000,-0.3780,0.3780,False,-0.0053,-0.2916,0.2917,False,0.0053,-0.0864,0.0865,5.8204,0.0283,0.0049,4,False,96173,7.5882,0.1887,0.2685,0.9915,-0.0053,-0.2916,1.0556,-0.0863,0.0863,False
