year,month,day_num,tau,model,ridge_lat_lag,ridge_lon_lag,model_lat_lag,model_lon_lag,err_lat,err_lon,err_euclid,ridge_gamma_min,ridge_n_pairs,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2025,7,1,1,Corridor_4x4_lag643,0.0440,-0.2520,0.0139,-0.1563,0.0301,-0.0957,0.1004,9.6274,106991,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,1,Debiased_Whittle,0.0440,-0.2520,0.0438,-0.3324,0.0002,0.0804,0.0804,9.6274,106991,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751
2025,7,1,1,Vecchia_mm20,0.0440,-0.2520,0.0078,-0.0997,0.0362,-0.1523,0.1565,9.6274,106991,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940
2025,7,1,2,Corridor_4x4_lag643,0.0880,-0.6300,0.0278,-0.3125,0.0602,-0.3175,0.3231,11.2959,84981,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,2,Debiased_Whittle,0.0880,-0.6300,0.0876,-0.6648,0.0004,0.0348,0.0348,11.2959,84981,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751
2025,7,1,2,Vecchia_mm20,0.0880,-0.6300,0.0156,-0.1994,0.0724,-0.4306,0.4366,11.2959,84981,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940
2025,7,1,3,Corridor_4x4_lag643,0.3080,-1.0710,0.0417,-0.4688,0.2663,-0.6022,0.6584,11.8327,63548,11.1683,0.1768,0.2280,0.8872,0.0139,-0.1563,1.7686
2025,7,1,3,Debiased_Whittle,0.3080,-1.0710,0.1314,-0.9972,0.1766,-0.0738,0.1914,11.8327,63548,8.4155,0.1261,0.1795,0.7922,0.0438,-0.3324,1.2751
2025,7,1,3,Vecchia_mm20,0.3080,-1.0710,0.0234,-0.2991,0.2846,-0.7719,0.8227,11.8327,63548,13.4357,0.2876,0.3948,1.4318,0.0078,-0.0997,2.8940
2025,7,2,1,Corridor_4x4_lag643,0.0000,-0.3780,-0.0053,-0.2916,0.0053,-0.0864,0.0865,5.8204,96173,7.5882,0.1887,0.2685,0.9915,-0.0053,-0.2916,1.0556
2025,7,2,1,Debiased_Whittle,0.0000,-0.3780,0.0043,-0.4466,-0.0043,0.0686,0.0687,5.8204,96173,4.8618,0.1520,0.1904,1.0636,0.0043,-0.4466,0.9543
2025,7,2,1,Vecchia_mm20,0.0000,-0.3780,0.0041,-0.1889,-0.0041,-0.1891,0.1891,5.8204,96173,8.5452,0.3268,0.5688,1.6053,0.0041,-0.1889,1.9327
2025,7,2,2,Corridor_4x4_lag643,-0.0440,-0.7560,-0.0106,-0.5833,-0.0334,-0.1727,0.1759,7.3109,75262,7.5882,0.1887,0.2685,0.9915,-0.0053,-0.2916,1.0556
2025,7,2,2,Debiased_Whittle,-0.0440,-0.7560,0.0086,-0.8932,-0.0526,0.1372,0.1469,7.3109,75262,4.8618,0.1520,0.1904,1.0636,0.0043,-0.4466,0.9543
2025,7,2,2,Vecchia_mm20,-0.0440,-0.7560,0.0082,-0.3778,-0.0522,-0.3782,0.3818,7.3109,75262,8.5452,0.3268,0.5688,1.6053,0.0041,-0.1889,1.9327
2025,7,2,3,Corridor_4x4_lag643,-0.4400,-0.7560,-0.0159,-0.8749,-0.4241,0.1189,0.4404,8.1407,56151,7.5882,0.1887,0.2685,0.9915,-0.0053,-0.2916,1.0556
2025,7,2,3,Debiased_Whittle,-0.4400,-0.7560,0.0129,-1.3398,-0.4529,0.5838,0.7389,8.1407,56151,4.8618,0.1520,0.1904,1.0636,0.0043,-0.4466,0.9543
2025,7,2,3,Vecchia_mm20,-0.4400,-0.7560,0.0123,-0.5667,-0.4523,-0.1893,0.4903,8.1407,56151,8.5452,0.3268,0.5688,1.6053,0.0041,-0.1889,1.9327
2025,7,3,1,Corridor_4x4_lag643,-0.0440,-0.2520,-0.0400,-0.2507,-0.0040,-0.0013,0.0043,9.4411,120431,11.0159,0.1530,0.2222,0.9926,-0.0400,-0.2507,2.1888
2025,7,3,1,Debiased_Whittle,-0.0440,-0.2520,-0.0633,-0.3094,0.0193,0.0574,0.0606,9.4411,120431,7.3905,0.1373,0.1929,0.9083,-0.0633,-0.3094,1.2716
2025,7,3,1,Vecchia_mm20,-0.0440,-0.2520,-0.0230,-0.1381,-0.0210,-0.1139,0.1158,9.4411,120431,12.4526,0.2550,0.3930,1.4604,-0.0230,-0.1381,3.2648
2025,7,3,2,Corridor_4x4_lag643,-0.0880,-0.5670,-0.0799,-0.5014,-0.0081,-0.0656,0.0661,11.5108,98814,11.0159,0.1530,0.2222,0.9926,-0.0400,-0.2507,2.1888
